model,decoding_group,semantic_category,discourse_relation,n_runs,mean_localization_rate,sd_localization_rate,min_localization_rate,max_localization_rate,total_n_with_both,total_n_same_sentence
Gemma 4 2B,Stochastic,Mechanical,Comparison,3,0.4666666666666666,0.5033222956847166,0.0,1.0,10,3
Gemma 4 2B,Stochastic,Mechanical,Contingency,3,0.3611111111111111,0.1272937693043289,0.25,0.5,14,5
Gemma 4 2B,Stochastic,Mechanical,Expansion,3,0.7000000000000001,0.2645751311064591,0.5,1.0,10,7
Gemma 4 2B,Stochastic,Mechanical,Temporal,3,0.25,0.3535533905932738,0.0,0.5,3,1
Gemma 4 2B,Stochastic,Mechanical,Any explicit,3,0.6944444444444445,0.17347216662217774,0.5,0.8333333333333334,16,11
Gemma 4 2B,Stochastic,Testimony,Comparison,3,0.6790777230432403,0.055797017133286914,0.6166666666666667,0.7241379310344828,174,118
Gemma 4 2B,Stochastic,Testimony,Contingency,3,0.22947083707696914,0.08605952653067704,0.16981132075471697,0.328125,159,38
Gemma 4 2B,Stochastic,Testimony,Expansion,3,0.7875686691476166,0.008991042245871116,0.7777777777777778,0.7954545454545454,146,115
Gemma 4 2B,Stochastic,Testimony,Temporal,3,0.8691844553913519,0.18686294144592747,0.6551724137931034,1.0,66,55
Gemma 4 2B,Stochastic,Testimony,Any explicit,3,0.7814515046491911,0.03811328498643586,0.7378640776699029,0.8085106382978723,296,231
Gemma 4 2B,Stochastic,SocialJudgment,Comparison,3,0.8346394984326019,0.0800332880007783,0.75,0.9090909090909091,196,163
Gemma 4 2B,Stochastic,SocialJudgment,Contingency,3,0.3911860540892799,0.04545218919184596,0.3387096774193548,0.41818181818181815,177,69
Gemma 4 2B,Stochastic,SocialJudgment,Expansion,3,0.8002423469387755,0.06927225695667283,0.7551020408163265,0.88,163,130
Gemma 4 2B,Stochastic,SocialJudgment,Temporal,3,0.8502986857825569,0.0815964075972715,0.8,0.9444444444444444,64,54
Gemma 4 2B,Stochastic,SocialJudgment,Any explicit,3,0.8655586124311255,0.05769536846949396,0.8285714285714286,0.9320388349514563,330,285
Gemma 4 2B,Stochastic,Behavioral,Comparison,3,0.6681372549019607,0.18259195278710036,0.5294117647058824,0.875,48,32
Gemma 4 2B,Stochastic,Behavioral,Contingency,3,0.3682539682539683,0.11754608623221346,0.23809523809523808,0.4666666666666667,51,18
Gemma 4 2B,Stochastic,Behavioral,Expansion,3,0.5189614307261367,0.1294376627383423,0.38461538461538464,0.6428571428571429,44,23
Gemma 4 2B,Stochastic,Behavioral,Temporal,3,0.7083333333333334,0.2602082499332666,0.5,1.0,17,11
Gemma 4 2B,Stochastic,Behavioral,Any explicit,3,0.7021943573667713,0.021718505424061143,0.6896551724137931,0.7272727272727273,91,64
Gemma 4 2B,Stochastic,ClaimComparison,Comparison,3,0.7454545454545455,0.2211913647381171,0.6,1.0,25,17
Gemma 4 2B,Stochastic,ClaimComparison,Contingency,3,0.15873015873015872,0.16723259925163075,0.0,0.3333333333333333,23,3
Gemma 4 2B,Stochastic,ClaimComparison,Expansion,3,0.6712962962962963,0.1985350152073293,0.5,0.8888888888888888,25,17
Gemma 4 2B,Stochastic,ClaimComparison,Temporal,3,0.7781385281385281,0.06935701285719527,0.7272727272727273,0.8571428571428571,22,17
Gemma 4 2B,Stochastic,ClaimComparison,Any explicit,3,0.7531422825540472,0.07965933562730361,0.6666666666666666,0.8235294117647058,45,34
Gemma 4 2B,Stochastic,Payoff,Comparison,3,0.1435920078494336,0.016648952681589797,0.13,0.16216216216216217,312,45
Gemma 4 2B,Stochastic,Payoff,Contingency,3,0.9305839002267574,0.009858201666427228,0.9196428571428571,0.9387755102040817,315,293
Gemma 4 2B,Stochastic,Payoff,Expansion,3,0.4099669530733642,0.08555601341974492,0.3146067415730337,0.48,249,101
Gemma 4 2B,Stochastic,Payoff,Temporal,3,0.0772378516624041,0.02982255109811225,0.043478260869565216,0.1,77,6
Gemma 4 2B,Stochastic,Payoff,Any explicit,3,0.6798487952740534,0.03577665736208293,0.6390532544378699,0.7058823529411765,506,344
Gemma 4 2B,Stochastic,Uncertainty,Comparison,3,0.6656515319306017,0.04420700803856751,0.627906976744186,0.7142857142857143,247,164
Gemma 4 2B,Stochastic,Uncertainty,Contingency,3,0.5532969446012924,0.015162130333714045,0.5362318840579711,0.5652173913043478,215,119
Gemma 4 2B,Stochastic,Uncertainty,Expansion,3,0.5532212885154061,0.046850780626548266,0.5,0.5882352941176471,172,95
Gemma 4 2B,Stochastic,Uncertainty,Temporal,3,0.12916666666666668,0.11203608049790627,0.0,0.2,38,5
Gemma 4 2B,Stochastic,Uncertainty,Any explicit,3,0.708360637833115,0.04022180812276833,0.6697247706422018,0.75,333,236
Gemma 4 2B,Greedy,Mechanical,Comparison,1,0.0,,0.0,0.0,2,0
Gemma 4 2B,Greedy,Mechanical,Contingency,1,0.25,,0.25,0.25,4,1
Gemma 4 2B,Greedy,Mechanical,Expansion,1,0.5,,0.5,0.5,2,1
Gemma 4 2B,Greedy,Mechanical,Temporal,1,1.0,,1.0,1.0,1,1
Gemma 4 2B,Greedy,Mechanical,Any explicit,1,0.2,,0.2,0.2,5,1
Gemma 4 2B,Greedy,Testimony,Comparison,1,0.7101449275362319,,0.7101449275362319,0.7101449275362319,69,49
Gemma 4 2B,Greedy,Testimony,Contingency,1,0.24242424242424243,,0.24242424242424243,0.24242424242424243,66,16
Gemma 4 2B,Greedy,Testimony,Expansion,1,0.7962962962962963,,0.7962962962962963,0.7962962962962963,54,43
Gemma 4 2B,Greedy,Testimony,Temporal,1,0.9,,0.9,0.9,20,18
Gemma 4 2B,Greedy,Testimony,Any explicit,1,0.7821782178217822,,0.7821782178217822,0.7821782178217822,101,79
Gemma 4 2B,Greedy,SocialJudgment,Comparison,1,0.9354838709677419,,0.9354838709677419,0.9354838709677419,62,58
Gemma 4 2B,Greedy,SocialJudgment,Contingency,1,0.3275862068965517,,0.3275862068965517,0.3275862068965517,58,19
Gemma 4 2B,Greedy,SocialJudgment,Expansion,1,0.74,,0.74,0.74,50,37
Gemma 4 2B,Greedy,SocialJudgment,Temporal,1,0.7333333333333333,,0.7333333333333333,0.7333333333333333,15,11
