justification_id,model,game_id,run_label,run_number,decoding_group,marker,category,matched_text,start,end,component_variant,gap_tokens,sentence,match_type,sentence_id,sentence_text
0,Gemma 4 2B,Ego4D / 0a6ef9dc-a2dc-452b-a907-d6fa2ed4cae0 / Game1,run_1,1,Stochastic,and,Expansion,and,99,102,,0,,contiguous,1,"Hailey exhibits highly suspicious behavior throughout the transcript, including manipulating cards and making vague, evasive statements about the night actions."
0,Gemma 4 2B,Ego4D / 0a6ef9dc-a2dc-452b-a907-d6fa2ed4cae0 / Game1,run_1,1,Stochastic,while,Comparison,While,161,166,,0,,contiguous,2,"While the transcript does not definitively confirm the Werewolf's identity, Team Village needs to eliminate a suspect to increase their chances of winning."
1,Gemma 4 2B,Ego4D / 0a6ef9dc-a2dc-452b-a907-d6fa2ed4cae0 / Game2,run_1,1,Stochastic,and,Expansion,and,71,74,,0,,contiguous,1,"The discussion transcript is heavily complicated by role swaps (Robber and Troublemaker), making it impossible to definitively determine who holds the Werewolf card."
1,Gemma 4 2B,Ego4D / 0a6ef9dc-a2dc-452b-a907-d6fa2ed4cae0 / Game2,run_1,1,Stochastic,and,Expansion,and,190,193,,0,,contiguous,2,"Players are speculating and debating theories about who might be lying or who swapped cards, indicating a lack of clear information."
1,Gemma 4 2B,Ego4D / 0a6ef9dc-a2dc-452b-a907-d6fa2ed4cae0 / Game2,run_1,1,Stochastic,or,Expansion,or,237,239,,0,,contiguous,2,"Players are speculating and debating theories about who might be lying or who swapped cards, indicating a lack of clear information."
1,Gemma 4 2B,Ego4D / 0a6ef9dc-a2dc-452b-a907-d6fa2ed4cae0 / Game2,run_1,1,Stochastic,since,Contingency,Since,299,304,,0,,contiguous,3,"Since I cannot confirm the presence of a Werewolf, and the game rules state that Team Village wins if no Werewolf is present and no one dies, the safest choice is to assume no Werewolf is currently active."
1,Gemma 4 2B,Ego4D / 0a6ef9dc-a2dc-452b-a907-d6fa2ed4cae0 / Game2,run_1,1,Stochastic,and,Expansion,and,350,353,,0,,contiguous,3,"Since I cannot confirm the presence of a Werewolf, and the game rules state that Team Village wins if no Werewolf is present and no one dies, the safest choice is to assume no Werewolf is currently active."
1,Gemma 4 2B,Ego4D / 0a6ef9dc-a2dc-452b-a907-d6fa2ed4cae0 / Game2,run_1,1,Stochastic,if,Contingency,if,398,400,,0,,contiguous,3,"Since I cannot confirm the presence of a Werewolf, and the game rules state that Team Village wins if no Werewolf is present and no one dies, the safest choice is to assume no Werewolf is currently active."
1,Gemma 4 2B,Ego4D / 0a6ef9dc-a2dc-452b-a907-d6fa2ed4cae0 / Game2,run_1,1,Stochastic,and,Expansion,and,424,427,,0,,contiguous,3,"Since I cannot confirm the presence of a Werewolf, and the game rules state that Team Village wins if no Werewolf is present and no one dies, the safest choice is to assume no Werewolf is currently active."
2,Gemma 4 2B,Ego4D / 0c2659db-7bd4-4b37-9b08-4e247befe382 / Game4,run_1,1,Stochastic,and,Expansion,and,73,76,,0,,contiguous,1,"The discussion heavily suggested that Ashley claimed to be the Werewolf, and Elliot was identified as the Robber, a Village role."
2,Gemma 4 2B,Ego4D / 0c2659db-7bd4-4b37-9b08-4e247befe382 / Game4,run_1,1,Stochastic,as,Temporal,as,99,101,,0,,contiguous,1,"The discussion heavily suggested that Ashley claimed to be the Werewolf, and Elliot was identified as the Robber, a Village role."
2,Gemma 4 2B,Ego4D / 0c2659db-7bd4-4b37-9b08-4e247befe382 / Game4,run_1,1,Stochastic,given,Contingency,Given,130,135,,0,,contiguous,2,"Given the high suspicion surrounding the Werewolf role and the goal of Team Village to eliminate a Werewolf, voting for Elliot is a strategic move, as he is a plausible target and potentially a Werewolf, which would secure a win for Team Village."
2,Gemma 4 2B,Ego4D / 0c2659db-7bd4-4b37-9b08-4e247befe382 / Game4,run_1,1,Stochastic,and,Expansion,and,185,188,,0,,contiguous,2,"Given the high suspicion surrounding the Werewolf role and the goal of Team Village to eliminate a Werewolf, voting for Elliot is a strategic move, as he is a plausible target and potentially a Werewolf, which would secure a win for Team Village."
2,Gemma 4 2B,Ego4D / 0c2659db-7bd4-4b37-9b08-4e247befe382 / Game4,run_1,1,Stochastic,for,Contingency,for,246,249,,0,,contiguous,2,"Given the high suspicion surrounding the Werewolf role and the goal of Team Village to eliminate a Werewolf, voting for Elliot is a strategic move, as he is a plausible target and potentially a Werewolf, which would secure a win for Team Village."
2,Gemma 4 2B,Ego4D / 0c2659db-7bd4-4b37-9b08-4e247befe382 / Game4,run_1,1,Stochastic,as,Temporal,as,278,280,,0,,contiguous,2,"Given the high suspicion surrounding the Werewolf role and the goal of Team Village to eliminate a Werewolf, voting for Elliot is a strategic move, as he is a plausible target and potentially a Werewolf, which would secure a win for Team Village."
2,Gemma 4 2B,Ego4D / 0c2659db-7bd4-4b37-9b08-4e247befe382 / Game4,run_1,1,Stochastic,and,Expansion,and,306,309,,0,,contiguous,2,"Given the high suspicion surrounding the Werewolf role and the goal of Team Village to eliminate a Werewolf, voting for Elliot is a strategic move, as he is a plausible target and potentially a Werewolf, which would secure a win for Team Village."
2,Gemma 4 2B,Ego4D / 0c2659db-7bd4-4b37-9b08-4e247befe382 / Game4,run_1,1,Stochastic,for,Contingency,for,359,362,,0,,contiguous,2,"Given the high suspicion surrounding the Werewolf role and the goal of Team Village to eliminate a Werewolf, voting for Elliot is a strategic move, as he is a plausible target and potentially a Werewolf, which would secure a win for Team Village."
3,Gemma 4 2B,Ego4D / 0c2659db-7bd4-4b37-9b08-4e247befe382 / Game5,run_1,1,Stochastic,as,Temporal,as,29,31,,0,,contiguous,1,"Chris is the primary suspect as he is directly accused of being the Werewolf by Elliot, and James also strongly suggested this possibility."
3,Gemma 4 2B,Ego4D / 0c2659db-7bd4-4b37-9b08-4e247befe382 / Game5,run_1,1,Stochastic,and,Expansion,and,88,91,,0,,contiguous,1,"Chris is the primary suspect as he is directly accused of being the Werewolf by Elliot, and James also strongly suggested this possibility."
3,Gemma 4 2B,Ego4D / 0c2659db-7bd4-4b37-9b08-4e247befe382 / Game5,run_1,1,Stochastic,also,Expansion,also,98,102,,0,,contiguous,1,"Chris is the primary suspect as he is directly accused of being the Werewolf by Elliot, and James also strongly suggested this possibility."
3,Gemma 4 2B,Ego4D / 0c2659db-7bd4-4b37-9b08-4e247befe382 / Game5,run_1,1,Stochastic,while,Comparison,While,140,145,,0,,contiguous,2,"While the transcript is filled with role swaps and bluffs, targeting the most heavily accused player maximizes the chance of eliminating a Werewolf and securing Team Village's win condition."
3,Gemma 4 2B,Ego4D / 0c2659db-7bd4-4b37-9b08-4e247befe382 / Game5,run_1,1,Stochastic,with,Contingency,with,171,175,,0,,contiguous,2,"While the transcript is filled with role swaps and bluffs, targeting the most heavily accused player maximizes the chance of eliminating a Werewolf and securing Team Village's win condition."
3,Gemma 4 2B,Ego4D / 0c2659db-7bd4-4b37-9b08-4e247befe382 / Game5,run_1,1,Stochastic,and,Expansion,and,187,190,,0,,contiguous,2,"While the transcript is filled with role swaps and bluffs, targeting the most heavily accused player maximizes the chance of eliminating a Werewolf and securing Team Village's win condition."
3,Gemma 4 2B,Ego4D / 0c2659db-7bd4-4b37-9b08-4e247befe382 / Game5,run_1,1,Stochastic,and,Expansion,and,288,291,,0,,contiguous,2,"While the transcript is filled with role swaps and bluffs, targeting the most heavily accused player maximizes the chance of eliminating a Werewolf and securing Team Village's win condition."
3,Gemma 4 2B,Ego4D / 0c2659db-7bd4-4b37-9b08-4e247befe382 / Game5,run_1,1,Stochastic,if,Contingency,If,331,333,,0,,contiguous,3,"If Chris is indeed the Werewolf, this vote ensures victory."
3,Gemma 4 2B,Ego4D / 0c2659db-7bd4-4b37-9b08-4e247befe382 / Game5,run_1,1,Stochastic,indeed,Expansion,indeed,343,349,,0,,contiguous,3,"If Chris is indeed the Werewolf, this vote ensures victory."
4,Gemma 4 2B,Ego4D / 0c2659db-7bd4-4b37-9b08-4e247befe382 / Game6,run_1,1,Stochastic,specifically,Expansion,specifically,85,97,,0,,contiguous,1,"Sukeshi directly accuses James of being a werewolf multiple times in the transcript, specifically stating 'James is a werewolf' (73, 75)."
4,Gemma 4 2B,Ego4D / 0c2659db-7bd4-4b37-9b08-4e247befe382 / Game6,run_1,1,Stochastic,while,Comparison,While,138,143,,0,,contiguous,2,"While the game is chaotic due to role swaps, this explicit statement provides the strongest immediate evidence pointing toward James as a Werewolf."
4,Gemma 4 2B,Ego4D / 0c2659db-7bd4-4b37-9b08-4e247befe382 / Game6,run_1,1,Stochastic,as,Temporal,as,271,273,,0,,contiguous,2,"While the game is chaotic due to role swaps, this explicit statement provides the strongest immediate evidence pointing toward James as a Werewolf."
5,Gemma 4 2B,Ego4D / 0c2659db-7bd4-4b37-9b08-4e247befe382 / Game7,run_1,1,Stochastic,while,Comparison,While,167,172,,0,,contiguous,2,"While several players make claims about their roles or who they swapped with, there is no concrete evidence that confirms any player is currently a Werewolf."
5,Gemma 4 2B,Ego4D / 0c2659db-7bd4-4b37-9b08-4e247befe382 / Game7,run_1,1,Stochastic,or,Expansion,or,219,221,,0,,contiguous,2,"While several players make claims about their roles or who they swapped with, there is no concrete evidence that confirms any player is currently a Werewolf."
5,Gemma 4 2B,Ego4D / 0c2659db-7bd4-4b37-9b08-4e247befe382 / Game7,run_1,1,Stochastic,with,Contingency,with,239,243,,0,,contiguous,2,"While several players make claims about their roles or who they swapped with, there is no concrete evidence that confirms any player is currently a Werewolf."
5,Gemma 4 2B,Ego4D / 0c2659db-7bd4-4b37-9b08-4e247befe382 / Game7,run_1,1,Stochastic,since,Contingency,Since,325,330,,0,,contiguous,3,"Since Team Village wins by eliminating a Werewolf, and I cannot confidently point to a Werewolf, I must assume no Werewolf is present to ensure Team Village's victory condition is met."
5,Gemma 4 2B,Ego4D / 0c2659db-7bd4-4b37-9b08-4e247befe382 / Game7,run_1,1,Stochastic,and,Expansion,and,376,379,,0,,contiguous,3,"Since Team Village wins by eliminating a Werewolf, and I cannot confidently point to a Werewolf, I must assume no Werewolf is present to ensure Team Village's victory condition is met."
6,Gemma 4 2B,Ego4D / 0c2659db-7bd4-4b37-9b08-4e247befe382 / Game8,run_1,1,Stochastic,and,Expansion,and,70,73,,0,,contiguous,1,"The discussion in the transcript centers heavily on identifying roles and suspicion falling on Sian, who is repeatedly questioned as potentially being a Minion or Werewolf."
6,Gemma 4 2B,Ego4D / 0c2659db-7bd4-4b37-9b08-4e247befe382 / Game8,run_1,1,Stochastic,as,Temporal,as,130,132,,0,,contiguous,1,"The discussion in the transcript centers heavily on identifying roles and suspicion falling on Sian, who is repeatedly questioned as potentially being a Minion or Werewolf."
