model,decoding_group,form,total_occurrences,per_100_words,sd_per_100_words,pct_justifications
Gemma 4 2B,Stochastic,given,39.666666666666664,0.31940614567559716,0.036738606735940385,20.593368237347295
Gemma 4 2B,Stochastic,given that,3.0,0.02414095394499781,0.01610710908934248,1.5706806282722514
Gemma 4 2B,Stochastic,given + given that,42.666666666666664,0.34354709962059493,0.02064034171803315,22.16404886561955
Gemma 4 2B,Greedy,given,35.0,0.2836764467498784,,18.32460732984293
Gemma 4 2B,Greedy,given that,4.0,0.03242016534284325,,2.094240837696335
Gemma 4 2B,Greedy,given + given that,39.0,0.31609661209272166,,20.418848167539267
Gemma 4 4B,Stochastic,given,60.0,0.38327278177771823,0.054608311520249884,31.239092495636996
Gemma 4 4B,Stochastic,given that,4.0,0.025571106550567536,0.0064680624569038595,2.094240837696335
Gemma 4 4B,Stochastic,given + given that,64.0,0.40884388832828583,0.048773924555342435,33.333333333333336
Gemma 4 4B,Greedy,given,71.0,0.4566797452884801,,37.17277486910995
Gemma 4 4B,Greedy,given that,4.0,0.025728436354280567,,2.094240837696335
Gemma 4 4B,Greedy,given + given that,75.0,0.48240818164276067,,39.26701570680628
Gemma 4 31B,Stochastic,given,17.333333333333332,0.12007267419376244,0.034152537659122205,9.075043630017452
Gemma 4 31B,Stochastic,given that,7.0,0.04849436998504153,0.012025676702818242,3.664921465968586
Gemma 4 31B,Stochastic,given + given that,24.333333333333332,0.16856704417880397,0.02233111628102624,12.739965095986038
Gemma 4 31B,Greedy,given,20.0,0.13945056477478734,,10.471204188481675
Gemma 4 31B,Greedy,given that,4.0,0.02789011295495747,,2.094240837696335
Gemma 4 31B,Greedy,given + given that,24.0,0.1673406777297448,,12.565445026178011
