occurrence_id,justification_id,model,game_id,run_label,run_number,decoding_group,marker,category,matched_text,start,end,component_variant,gap_tokens,sentence,match_type,sentence_id,sentence_text,char_spans,alignment_status,discopy_occurrence_id,discopy_surface,discopy_raw_sense,discopy_top_level,discopy_confidence,category_changed,is_coverage_evidence,is_classification_evidence,sent_start,sent_end,triage
11,2,Gemma 4 2B,Ego4D / 0c2659db-7bd4-4b37-9b08-4e247befe382 / Game4,run_1,1,Stochastic,given,Contingency,Given,130,135,,0,,contiguous,2,"Given the high suspicion surrounding the Werewolf role and the goal of Team Village to eliminate a Werewolf, voting for Elliot is a strategic move, as he is a plausible target and potentially a Werewolf, which would secure a win for Team Village.",130-135,NOT_A_CANDIDATE_FORM_OUTSIDE_INVENTORY,,,,,,,True,False,0,5,CLAUSE_INITIAL_PLAUSIBLE
21,3,Gemma 4 2B,Ego4D / 0c2659db-7bd4-4b37-9b08-4e247befe382 / Game5,run_1,1,Stochastic,with,Contingency,with,171,175,,0,,contiguous,2,"While the transcript is filled with role swaps and bluffs, targeting the most heavily accused player maximizes the chance of eliminating a Werewolf and securing Team Village's win condition.",171-175,NOT_A_CANDIDATE_FORM_OUTSIDE_INVENTORY,,,,,,,True,False,31,35,NON_CONNECTIVE_LIKELY
31,5,Gemma 4 2B,Ego4D / 0c2659db-7bd4-4b37-9b08-4e247befe382 / Game7,run_1,1,Stochastic,with,Contingency,with,239,243,,0,,contiguous,2,"While several players make claims about their roles or who they swapped with, there is no concrete evidence that confirms any player is currently a Werewolf.",239-243,NOT_A_CANDIDATE_FORM_OUTSIDE_INVENTORY,,,,,,,True,False,72,76,NON_CONNECTIVE_LIKELY
39,7,Gemma 4 2B,Ego4D / 0c2659db-7bd4-4b37-9b08-4e247befe382 / Game9,run_1,1,Stochastic,with,Contingency,with,36,40,,0,,contiguous,1,"The discussion is highly confusing, with multiple players claiming different roles, especially the Villager role.",36-40,NOT_A_CANDIDATE_FORM_OUTSIDE_INVENTORY,,,,,,,True,False,36,40,CLAUSE_INITIAL_PLAUSIBLE
42,7,Gemma 4 2B,Ego4D / 0c2659db-7bd4-4b37-9b08-4e247befe382 / Game9,run_1,1,Stochastic,given,Contingency,Given,215,220,,0,,contiguous,3,"Given the high level of uncertainty and the need to eliminate a Werewolf to secure a victory for Team Village, targeting the player who is most frequently implicated by other players is the safest choice.",215-220,NOT_A_CANDIDATE_FORM_OUTSIDE_INVENTORY,,,,,,,True,False,0,5,CLAUSE_INITIAL_PLAUSIBLE
58,10,Gemma 4 2B,Ego4D / 1a0d3e22-a6d6-4723-91a0-52fc2c87d5ce / Game6,run_1,1,Stochastic,particularly,Expansion,particularly,59,71,,0,,contiguous,1,"The discussion heavily implies the presence of Werewolves, particularly when players debate the number of Werewolves in a deck.",59-71,NOT_A_CANDIDATE_FORM_OUTSIDE_INVENTORY,,,,,,,True,False,59,71,NON_CONNECTIVE_LIKELY
63,10,Gemma 4 2B,Ego4D / 1a0d3e22-a6d6-4723-91a0-52fc2c87d5ce / Game6,run_1,1,Stochastic,with,Contingency,with,364,368,,0,,contiguous,3,"To maximize the chances of Team Village winning, I will vote for Hunter, as he made a direct claim about his role that could be a lie, aligning with the goal of eliminating a Werewolf.",364-368,NOT_A_CANDIDATE_FORM_OUTSIDE_INVENTORY,,,,,,,True,False,144,148,NON_CONNECTIVE_LIKELY
74,13,Gemma 4 2B,Ego4D / 1a0d3e22-a6d6-4723-91a0-52fc2c87d5ce / Game9,run_1,1,Stochastic,with,Contingency,with,77,81,,0,,contiguous,1,"The discussion centers heavily on the possibility that Zack is the Werewolf, with Jacob suggesting Sean is the Robber who switched cards with Zack to cover up.",77-81,NOT_A_CANDIDATE_FORM_OUTSIDE_INVENTORY,,,,,,,True,False,77,81,UNCLEAR
75,13,Gemma 4 2B,Ego4D / 1a0d3e22-a6d6-4723-91a0-52fc2c87d5ce / Game9,run_1,1,Stochastic,with,Contingency,with,137,141,,0,,contiguous,1,"The discussion centers heavily on the possibility that Zack is the Werewolf, with Jacob suggesting Sean is the Robber who switched cards with Zack to cover up.",137-141,NOT_A_CANDIDATE_FORM_OUTSIDE_INVENTORY,,,,,,,True,False,77,81,UNCLEAR
80,14,Gemma 4 2B,Ego4D / 2ba4023c-a8bf-43ad-ad5a-80ba222ce990 / Game10,run_1,1,Stochastic,with,Contingency,with,265,269,,0,,contiguous,2,"Tyler claims the Troublemaker role and engages in complex arguments designed to deflect suspicion, which aligns with the behavior of a Werewolf trying to sow discord.",265-269,NOT_A_CANDIDATE_FORM_OUTSIDE_INVENTORY,,,,,,,True,False,112,116,NON_CONNECTIVE_LIKELY
81,14,Gemma 4 2B,Ego4D / 2ba4023c-a8bf-43ad-ad5a-80ba222ce990 / Game10,run_1,1,Stochastic,given,Contingency,Given,320,325,,0,,contiguous,3,"Given the high level of deception and the focus on who is lying, Tyler is the most likely candidate to be the Werewolf.",320-325,NOT_A_CANDIDATE_FORM_OUTSIDE_INVENTORY,,,,,,,True,False,0,5,CLAUSE_INITIAL_PLAUSIBLE
90,15,Gemma 4 2B,Ego4D / 2ba4023c-a8bf-43ad-ad5a-80ba222ce990 / Game6,run_1,1,Stochastic,given,Contingency,Given,337,342,,0,,contiguous,4,"Given the high level of suspicion directed at Clint, he is the primary target to eliminate a potential Werewolf.",337-342,NOT_A_CANDIDATE_FORM_OUTSIDE_INVENTORY,,,,,,,True,False,0,5,CLAUSE_INITIAL_PLAUSIBLE
94,16,Gemma 4 2B,Ego4D / 2ba4023c-a8bf-43ad-ad5a-80ba222ce990 / Game7,run_1,1,Stochastic,given,Contingency,Given,261,266,,0,,contiguous,3,"Given the goal is to eliminate a Werewolf, targeting the player who is the subject of the most direct suspicion is the most logical move to maximize the chance of winning.",261-266,NOT_A_CANDIDATE_FORM_OUTSIDE_INVENTORY,,,,,,,True,False,0,5,CLAUSE_INITIAL_PLAUSIBLE
99,17,Gemma 4 2B,Ego4D / 2ba4023c-a8bf-43ad-ad5a-80ba222ce990 / Game8,run_1,1,Stochastic,given that,Contingency,Given that,149,159,,0,,contiguous,2,"Given that Team Village wins by eliminating a Werewolf, voting out Erin is the most logical move based on the gathered evidence and consensus within the transcript.",149-159,NOT_A_CANDIDATE_FORM_OUTSIDE_INVENTORY,,,,,,,True,False,0,10,CLAUSE_INITIAL_PLAUSIBLE
101,18,Gemma 4 2B,Ego4D / 2ba4023c-a8bf-43ad-ad5a-80ba222ce990 / Game9,run_1,1,Stochastic,with,Contingency,with,56,60,,0,,contiguous,1,"The discussion centers around identifying the Werewolf, with multiple players making claims and accusations.",56-60,NOT_A_CANDIDATE_FORM_OUTSIDE_INVENTORY,,,,,,,True,False,56,60,UNCLEAR
116,20,Gemma 4 2B,Ego4D / 324bccd2-adff-4e9a-8ff4-03491e144ac3 / Game2,run_1,1,Stochastic,given,Contingency,Given,227,232,,0,,contiguous,3,"Given the ambiguity introduced by card swaps, targeting the player directly implicated by another player is the most logical move to try and eliminate the Werewolf.",227-232,NOT_A_CANDIDATE_FORM_OUTSIDE_INVENTORY,,,,,,,True,False,0,5,CLAUSE_INITIAL_PLAUSIBLE
129,22,Gemma 4 2B,Ego4D / 324bccd2-adff-4e9a-8ff4-03491e144ac3 / Game4,run_1,1,Stochastic,given,Contingency,given,381,386,,0,,contiguous,3,"Since Team Village wins if no Werewolf is present and no one dies, and given the ambiguity, the safest strategy is to assume no Werewolf is currently active.",381-386,NOT_A_CANDIDATE_FORM_OUTSIDE_INVENTORY,,,,,,,True,False,71,76,CLAUSE_INITIAL_PLAUSIBLE
130,23,Gemma 4 2B,Ego4D / 324bccd2-adff-4e9a-8ff4-03491e144ac3 / Game5,run_1,1,Stochastic,particularly,Expansion,particularly,68,80,,0,,contiguous,1,"The transcript shows significant confusion regarding role swapping, particularly involving Jacob and Sean, and the Troublemaker's actions.",68-80,NOT_A_CANDIDATE_FORM_OUTSIDE_INVENTORY,,,,,,,True,False,68,80,NON_CONNECTIVE_LIKELY
147,26,Gemma 4 2B,Ego4D / 3ba069be-60fa-47fc-bd7b-f85bf649a5bd / Game3,run_1,1,Stochastic,with,Contingency,with,189,193,,0,,contiguous,2,"Furthermore, Kevin was identified as the Minion, a role aligned with Team Werewolf.",189-193,NOT_A_CANDIDATE_FORM_OUTSIDE_INVENTORY,,,,,,,True,False,64,68,NON_CONNECTIVE_LIKELY
