model,feature,representation,delta_beta_ft_minus_base,ci_lo,ci_hi,interval_excludes_zero,n_boot_used,n_failures,penalty_base,penalty_ft
2B,accusation,count_overall,0.03061173163871431,-0.15564460008758088,0.18427031389193033,False,1000,0,10.0,10.0
2B,defense,count_overall,0.05363904228032992,-0.09101562496507455,0.20886322811109637,False,1000,0,10.0,10.0
2B,interrogation,count_overall,-0.10517433377905978,-0.23130579668059373,0.023528532912073834,False,1000,0,10.0,10.0
2B,evidence,count_overall,0.15250103462124137,0.016906653632667235,0.27971443710980093,True,1000,0,10.0,10.0
2B,identity_declaration,count_overall,0.13271966243074015,-0.1280935388877538,0.4027909847313915,False,1000,0,10.0,10.0
2B,call_for_action,count_overall,-0.08579772987372915,-0.2145202018928729,0.07022951040983076,False,1000,0,10.0,10.0
2B,werewolf_accusations_made,count_overall,0.0336027847474795,-0.15180447840095637,0.20790134385116515,False,1000,0,10.0,10.0
2B,deception_accusations_made,count_overall,-0.024084553999982737,-0.22837491873733157,0.14392473532723818,False,1000,0,10.0,10.0
2B,werewolf_accusations_received,count_overall,-0.03349242737853569,-0.15946255571793097,0.09907714556175287,False,1000,0,10.0,10.0
2B,deception_accusations_received,count_overall,-0.15240680430326975,-0.3094608774666012,-0.008260804476084528,True,1000,0,10.0,10.0
2B,claims_werewolf,count_overall,0.10895363009738186,-0.13415370787933964,0.36930320344557593,False,1000,0,10.0,10.0
2B,claims_tanner,count_overall,-0.11363091435111651,-0.2598162193324099,0.027814725532799796,False,1000,0,10.0,10.0
2B,claims_night_action_role,count_overall,-0.11086309923818502,-0.32163228985402215,0.09734728977366237,False,1000,0,10.0,10.0
2B,accusation,rate_overall,0.04088228925693692,-0.11858135128443892,0.18366299471435438,False,1000,0,10.0,10.0
2B,defense,rate_overall,0.05909407101447823,-0.047747076077126006,0.16992729114216037,False,1000,0,10.0,10.0
2B,interrogation,rate_overall,0.055520788755886244,-0.05346107959212928,0.18516928533207933,False,1000,0,10.0,10.0
2B,evidence,rate_overall,0.11814296682488647,-0.006684717396061703,0.2581458612318611,False,1000,0,10.0,10.0
2B,identity_declaration,rate_overall,0.09346420726543796,-0.10823968049363607,0.291796377428256,False,1000,0,10.0,10.0
2B,call_for_action,rate_overall,-0.07739929188682515,-0.20528825195752679,0.04436754474252616,False,1000,0,10.0,10.0
2B,werewolf_accusations_made,rate_overall,0.04047008770171473,-0.11959178708808979,0.1892049723877582,False,1000,0,10.0,10.0
2B,deception_accusations_made,rate_overall,-0.05577444717476754,-0.21799044952392882,0.09397977055725741,False,1000,0,10.0,10.0
2B,werewolf_accusations_received,rate_overall,-0.01064968743360395,-0.13857131461488711,0.11192727403450227,False,1000,0,10.0,10.0
2B,deception_accusations_received,rate_overall,-0.11666824268282673,-0.2607061264483349,0.0268844507953841,False,1000,0,10.0,10.0
2B,claims_werewolf,rate_overall,0.13624340298514226,-0.07777087293039345,0.34523794124886364,False,1000,0,10.0,10.0
2B,claims_tanner,rate_overall,-0.06451313553641705,-0.16294182471072183,0.051524565515912966,False,1000,0,10.0,10.0
2B,claims_night_action_role,rate_overall,-0.07729078360211221,-0.2889976089658384,0.1326255624507823,False,1000,0,10.0,10.0
4B,accusation,count_overall,-0.11264959610865485,-0.3087210047345922,0.06200974387913719,False,1000,0,10.0,10.0
4B,defense,count_overall,0.08608234886777058,-0.07359565060690942,0.23383076857491802,False,1000,0,10.0,10.0
4B,interrogation,count_overall,-0.040709324087386096,-0.18001573508665344,0.12656093861385362,False,1000,0,10.0,10.0
4B,evidence,count_overall,0.18486207424566187,0.018942689130031345,0.3334663809035282,True,1000,0,10.0,10.0
4B,identity_declaration,count_overall,-0.020039664627018273,-0.20439619847701,0.1607078339752044,False,1000,0,10.0,10.0
4B,call_for_action,count_overall,0.05444608131588673,-0.10656533381591766,0.19466709104372265,False,1000,0,10.0,10.0
4B,werewolf_accusations_made,count_overall,0.25714859837501697,0.05567161443568086,0.46080735732742145,True,1000,0,10.0,10.0
4B,deception_accusations_made,count_overall,-0.04949611591224569,-0.2295556362873815,0.14220176915914853,False,1000,0,10.0,10.0
4B,werewolf_accusations_received,count_overall,0.33093769290391534,0.11513932143853481,0.5973355878188765,True,1000,0,10.0,10.0
4B,deception_accusations_received,count_overall,-0.06627923069601727,-0.20807904849581332,0.06445424435980718,False,1000,0,10.0,10.0
4B,claims_werewolf,count_overall,0.016825362811710043,-0.2111567168389345,0.21733789885128893,False,1000,0,10.0,10.0
4B,claims_tanner,count_overall,0.009834459243732947,-0.13187993655419686,0.16898826648841012,False,1000,0,10.0,10.0
4B,claims_night_action_role,count_overall,0.03101757726074344,-0.16528954594366274,0.20872817645982014,False,1000,0,10.0,10.0
4B,accusation,rate_overall,-0.057411011034285774,-0.22225365363948626,0.0974019385066386,False,1000,0,10.0,10.0
4B,defense,rate_overall,0.16071988883185004,-0.00621250598158182,0.3194023679812986,False,1000,0,10.0,10.0
4B,interrogation,rate_overall,0.024399799192376115,-0.08969348228601472,0.14219689042783668,False,1000,0,10.0,10.0
