relation_id,justification_id,model,game_id,run_label,decoding_group,sentence_id,sentence_text,char_spans,start,end,raw_sense,top_level,confidence,provenance,source_form
0,0,Gemma 4 2B,Ego4D / 0a6ef9dc-a2dc-452b-a907-d6fa2ed4cae0 / Game1,run_1,Stochastic,2,"While the transcript does not definitively confirm the Werewolf's identity, Team Village needs to eliminate a suspect to increase their chances of winning.",161-166,161,166,Comparison.Contrast,Comparison,0.7670810222625732,standard_discopy,while
1,1,Gemma 4 2B,Ego4D / 0a6ef9dc-a2dc-452b-a907-d6fa2ed4cae0 / Game2,run_1,Stochastic,2,"Players are speculating and debating theories about who might be lying or who swapped cards, indicating a lack of clear information.",237-239,237,239,Expansion.Alternative,Expansion,0.9280335903167723,standard_discopy,or
2,1,Gemma 4 2B,Ego4D / 0a6ef9dc-a2dc-452b-a907-d6fa2ed4cae0 / Game2,run_1,Stochastic,3,"Since I cannot confirm the presence of a Werewolf, and the game rules state that Team Village wins if no Werewolf is present and no one dies, the safest choice is to assume no Werewolf is currently active.",299-304,299,304,Contingency.Cause,Contingency,0.9987239241600036,standard_discopy,since
3,1,Gemma 4 2B,Ego4D / 0a6ef9dc-a2dc-452b-a907-d6fa2ed4cae0 / Game2,run_1,Stochastic,3,"Since I cannot confirm the presence of a Werewolf, and the game rules state that Team Village wins if no Werewolf is present and no one dies, the safest choice is to assume no Werewolf is currently active.",350-353,350,353,Expansion.Conjunction,Expansion,0.989463210105896,standard_discopy,and
4,1,Gemma 4 2B,Ego4D / 0a6ef9dc-a2dc-452b-a907-d6fa2ed4cae0 / Game2,run_1,Stochastic,3,"Since I cannot confirm the presence of a Werewolf, and the game rules state that Team Village wins if no Werewolf is present and no one dies, the safest choice is to assume no Werewolf is currently active.",398-400,398,400,Contingency.Condition,Contingency,0.9865972399711608,standard_discopy,if
5,1,Gemma 4 2B,Ego4D / 0a6ef9dc-a2dc-452b-a907-d6fa2ed4cae0 / Game2,run_1,Stochastic,3,"Since I cannot confirm the presence of a Werewolf, and the game rules state that Team Village wins if no Werewolf is present and no one dies, the safest choice is to assume no Werewolf is currently active.",424-427,424,427,Expansion.Conjunction,Expansion,0.9994841814041138,standard_discopy,and
6,2,Gemma 4 2B,Ego4D / 0c2659db-7bd4-4b37-9b08-4e247befe382 / Game4,run_1,Stochastic,1,"The discussion heavily suggested that Ashley claimed to be the Werewolf, and Elliot was identified as the Robber, a Village role.",73-76,73,76,Expansion.Conjunction,Expansion,0.9850452542304992,standard_discopy,and
7,2,Gemma 4 2B,Ego4D / 0c2659db-7bd4-4b37-9b08-4e247befe382 / Game4,run_1,Stochastic,2,"Given the high suspicion surrounding the Werewolf role and the goal of Team Village to eliminate a Werewolf, voting for Elliot is a strategic move, as he is a plausible target and potentially a Werewolf, which would secure a win for Team Village.",278-280,278,280,Contingency.Cause,Contingency,0.9756450653076172,standard_discopy,as
8,3,Gemma 4 2B,Ego4D / 0c2659db-7bd4-4b37-9b08-4e247befe382 / Game5,run_1,Stochastic,1,"Chris is the primary suspect as he is directly accused of being the Werewolf by Elliot, and James also strongly suggested this possibility.",29-31,29,31,Contingency.Cause,Contingency,0.9487289190292358,standard_discopy,as
9,3,Gemma 4 2B,Ego4D / 0c2659db-7bd4-4b37-9b08-4e247befe382 / Game5,run_1,Stochastic,1,"Chris is the primary suspect as he is directly accused of being the Werewolf by Elliot, and James also strongly suggested this possibility.",88-91,88,91,Expansion.Conjunction,Expansion,0.9690743684768676,standard_discopy,and
