feature,coef,run,prompt_version,feature_kind
candidate_late_Identity Declaration,1.3418470449372164,1,prompt_v3_run_1,candidate_temporal
candidate_early_Defense,0.6028806304671378,1,prompt_v3_run_1,candidate_temporal
candidate_early_Call for Action,0.3924835864946047,1,prompt_v3_run_1,candidate_temporal
candidate_early_Evidence,0.14829221712779878,1,prompt_v3_run_1,candidate_temporal
candidate_late_No Strategy,0.07479203868753778,1,prompt_v3_run_1,candidate_temporal
candidate_late_Call for Action,-0.012533216056373116,1,prompt_v3_run_1,candidate_temporal
candidate_late_Defense,-0.053923919619549246,1,prompt_v3_run_1,candidate_temporal
candidate_late_Evidence,-0.06861194373952438,1,prompt_v3_run_1,candidate_temporal
candidate_early_Interrogation,-0.11950168919060135,1,prompt_v3_run_1,candidate_temporal
candidate_early_Identity Declaration,-0.1321111690665783,1,prompt_v3_run_1,candidate_temporal
candidate_early_No Strategy,-0.2834526193706191,1,prompt_v3_run_1,candidate_temporal
candidate_early_Accusation,-0.365064311588097,1,prompt_v3_run_1,candidate_temporal
candidate_late_Interrogation,-0.604309560849328,1,prompt_v3_run_1,candidate_temporal
candidate_late_Accusation,-1.409962376031416,1,prompt_v3_run_1,candidate_temporal
