game_id,run_1,run_2,run_3,greedy_t0,n_unique_votes,all_same,agreement_type,vote_pattern,correct_run_1,correct_run_2,correct_run_3,n_correct_runs,agreement_case
Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF#7##November#6th#2016 / Game4,Caitlynn,Mitchell,Mitchell,Mitchell,2,False,two_vs_one,Caitlynn | Mitchell | Mitchell,True,True,True,3,different_votes_all_correct
Youtube / One#Night#Ultimate#Love#Letter##ONE#NIGHT#ULTIMATE#WEREWOLF / Game3,Tyler,Justin,Tyler,Justin,2,False,two_vs_one,Tyler | Justin | Tyler,True,True,True,3,different_votes_all_correct
Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF#4##July#14th#2016 / Game2,No Werewolf,Mike,Paul,Mitchell,3,False,all_different,No Werewolf | Mike | Paul,False,False,False,0,different_votes_all_wrong
Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF#9##November#6th#2016 / Game3,No Werewolf,Mitchell,Mitchell,Mitchell,2,False,two_vs_one,No Werewolf | Mitchell | Mitchell,False,False,False,0,different_votes_all_wrong
Youtube / The#Return#of#the#King##ONE#NIGHT#ULTIMATE#WEREWOLF / Game7,Tyler,James,Tyler,Tyler,2,False,two_vs_one,Tyler | James | Tyler,False,False,False,0,different_votes_all_wrong
Ego4D / 0c2659db-7bd4-4b37-9b08-4e247befe382 / Game4,Elliot,Ashley,Ashley,Sian,2,False,two_vs_one,Elliot | Ashley | Ashley,False,True,True,2,different_votes_mixed_correctness
Youtube / One#Night#Ultimate#Werewolf#363#Even#More#Classic#Werewolf / Game1,Kelsey,Pete,Katie,Pete,3,False,all_different,Kelsey | Pete | Katie,False,False,True,1,different_votes_mixed_correctness
Youtube / Visions#from#2016##ONE#NIGHT#ULTIMATE#WEREWOLF##Retro#11 / Game3,Laura,Laura,No Werewolf,Laura,2,False,two_vs_one,Laura | Laura | No Werewolf,True,True,False,2,different_votes_mixed_correctness
Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF##Retro#1 / Game5,Mitchell,Mitchell,Mitchell,Mitchell,1,True,unanimous,Mitchell | Mitchell | Mitchell,True,True,True,3,same_vote_all_correct
Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF##Retro#2 / Game2,No Werewolf,No Werewolf,No Werewolf,No Werewolf,1,True,unanimous,No Werewolf | No Werewolf | No Werewolf,True,True,True,3,same_vote_all_correct
Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF#44##October#13th#2018 / Game2,Justin,Justin,Justin,Justin,1,True,unanimous,Justin | Justin | Justin,True,True,True,3,same_vote_all_correct
Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF#43##October#13th#2018 / Game3,Justin,Justin,Justin,Justin,1,True,unanimous,Justin | Justin | Justin,False,False,False,0,same_vote_all_wrong
Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF#44##October#13th#2018 / Game5,Mitchell,Mitchell,Mitchell,Mitchell,1,True,unanimous,Mitchell | Mitchell | Mitchell,False,False,False,0,same_vote_all_wrong
Youtube / One#Night#Ultimate#Werewolf#533#Even#More#Classic#ONUW / Game1,DeAndre,DeAndre,DeAndre,DeAndre,1,True,unanimous,DeAndre | DeAndre | DeAndre,False,False,False,0,same_vote_all_wrong
