path,run_label,decoding,source,session_name,game_key,game_id,status,chosen_vote_raw,chosen_player_name,is_circle_vote,is_correct,voted_player_end_role,voted_player_start_role,justification
C:\Users\annab\Documents\GitHub\masters_thesis_sdg\results\voting\unsloth_gemma-4-E4B-it-unsloth-bnb-4bit__ft_gemma-4-E4B-role-inference-traced-final_adapter\prompt_v4_run_1\Ego4D\0a6ef9dc-a2dc-452b-a907-d6fa2ed4cae0_Game1.json,run_1,stochastic,Ego4D,0a6ef9dc-a2dc-452b-a907-d6fa2ed4cae0,Game1,Ego4D / 0a6ef9dc-a2dc-452b-a907-d6fa2ed4cae0 / Game1,player_vote,Erin,Erin,False,False,Robber,Werewolf,"Erin is the most likely target because she openly declared, 'I was the werewolf,' during the discussion phase. While roles can be swapped via the Doppelganger or Troublemaker, this direct admission provides the strongest piece of evidence of Werewolf alignment in the public record. Although her statement could be a bluff, in the absence of any definitive counter-evidence, she represents the highest probability threat to Team Village's victory condition. Eliminating her is the most direct path to achieving the goal of removing a Werewolf."
C:\Users\annab\Documents\GitHub\masters_thesis_sdg\results\voting\unsloth_gemma-4-E4B-it-unsloth-bnb-4bit__ft_gemma-4-E4B-role-inference-traced-final_adapter\prompt_v4_run_1\Ego4D\0a6ef9dc-a2dc-452b-a907-d6fa2ed4cae0_Game2.json,run_1,stochastic,Ego4D,0a6ef9dc-a2dc-452b-a907-d6fa2ed4cae0,Game2,Ego4D / 0a6ef9dc-a2dc-452b-a907-d6fa2ed4cae0 / Game2,circle_vote,No Werewolf,,True,False,,,"The public discussion is highly theoretical and focuses heavily on the mechanics of role swapping and potential deception, rather than providing concrete evidence of a Werewolf's identity or actions. While there are accusations of collusion, no player has been definitively identified as a Werewolf. Given the lack of verifiable information, the most prudent strategy for Team Village is to assume that the Werewolves were successfully contained or that they were never present among the players, thereby meeting the secondary win condition."
C:\Users\annab\Documents\GitHub\masters_thesis_sdg\results\voting\unsloth_gemma-4-E4B-it-unsloth-bnb-4bit__ft_gemma-4-E4B-role-inference-traced-final_adapter\prompt_v4_run_1\Ego4D\0c2659db-7bd4-4b37-9b08-4e247befe382_Game4.json,run_1,stochastic,Ego4D,0c2659db-7bd4-4b37-9b08-4e247befe382,Game4,Ego4D / 0c2659db-7bd4-4b37-9b08-4e247befe382 / Game4,player_vote,Ashley,Ashley,False,True,Werewolf,Werewolf,"Ashley is the most direct target because she explicitly admitted to being a Werewolf during the discussion (136, 140). While this could be a sophisticated bluff, in the absence of private information, a direct confession must be treated as the highest probability of truth. Targeting her immediately eliminates a confirmed threat, fulfilling Team Village's primary win condition. Furthermore, her willingness to disclose her role suggests a level of confidence or desperation that makes her a prime suspect."
C:\Users\annab\Documents\GitHub\masters_thesis_sdg\results\voting\unsloth_gemma-4-E4B-it-unsloth-bnb-4bit__ft_gemma-4-E4B-role-inference-traced-final_adapter\prompt_v4_run_1\Ego4D\0c2659db-7bd4-4b37-9b08-4e247befe382_Game5.json,run_1,stochastic,Ego4D,0c2659db-7bd4-4b37-9b08-4e247befe382,Game5,Ego4D / 0c2659db-7bd4-4b37-9b08-4e247befe382 / Game5,player_vote,Chris,Chris,False,True,Werewolf,Werewolf,"Elliot made a direct and repeated accusation against Chris, stating, 'Chris is a Werewolve,' which is a significant piece of information in this chaotic discussion. While the entire transcript is filled with role-swapping confusion and bluffs, Elliot's claim, especially if they are indeed the Seer, provides the strongest public lead. Given the high stakes and the need to eliminate a Werewolf, Chris is the most targeted and directly accused player."
C:\Users\annab\Documents\GitHub\masters_thesis_sdg\results\voting\unsloth_gemma-4-E4B-it-unsloth-bnb-4bit__ft_gemma-4-E4B-role-inference-traced-final_adapter\prompt_v4_run_1\Ego4D\0c2659db-7bd4-4b37-9b08-4e247befe382_Game6.json,run_1,stochastic,Ego4D,0c2659db-7bd4-4b37-9b08-4e247befe382,Game6,Ego4D / 0c2659db-7bd4-4b37-9b08-4e247befe382 / Game6,player_vote,Elliot,Elliot,False,True,Werewolf,Werewolf,"Elliot is the most suspicious player due to their highly inconsistent claims regarding their role. They repeatedly claim to be the Doppelganger, Insomniac, and even the Tanner, which suggests a deliberate attempt to confuse the group and evade suspicion. Multiple players have directly accused Elliot of lying and acting suspiciously, making them a prime target for elimination to fulfill Team Village's win condition. The sheer volume of role-swapping claims makes them the highest probability Werewolf."
C:\Users\annab\Documents\GitHub\masters_thesis_sdg\results\voting\unsloth_gemma-4-E4B-it-unsloth-bnb-4bit__ft_gemma-4-E4B-role-inference-traced-final_adapter\prompt_v4_run_1\Ego4D\0c2659db-7bd4-4b37-9b08-4e247befe382_Game7.json,run_1,stochastic,Ego4D,0c2659db-7bd4-4b37-9b08-4e247befe382,Game7,Ego4D / 0c2659db-7bd4-4b37-9b08-4e247befe382 / Game7,player_vote,Elliot,Elliot,False,False,Tanner,Robber,"Elliot explicitly claimed to be the Minion during the discussion (57, 61). The Minion is a member of Team Werewolf, making Elliot a primary suspect for Team Village. While other players made complex claims about role swaps, Elliot's direct identification as a Werewolf-aligned role provides the clearest evidence of a target. Eliminating Elliot directly addresses Team Village's win condition: eliminating a Werewolf."
C:\Users\annab\Documents\GitHub\masters_thesis_sdg\results\voting\unsloth_gemma-4-E4B-it-unsloth-bnb-4bit__ft_gemma-4-E4B-role-inference-traced-final_adapter\prompt_v4_run_1\Ego4D\0c2659db-7bd4-4b37-9b08-4e247befe382_Game8.json,run_1,stochastic,Ego4D,0c2659db-7bd4-4b37-9b08-4e247befe382,Game8,Ego4D / 0c2659db-7bd4-4b37-9b08-4e247befe382 / Game8,player_vote,Sian,Sian,False,False,Tanner,Tanner,"Sian is the most heavily targeted player, primarily due to her consistent silence and refusal to engage in the discussion. James directly suggests that Sian could be a Minion, a member of Team Werewolf, which aligns with the goal of eliminating a Werewolf. Her evasiveness, coupled with the high level of role-swapping complexity in the game, makes her a prime suspect for deception. Given the strong consensus among the players to eliminate her, she represents the highest probability target for Team Village to secure a win."
C:\Users\annab\Documents\GitHub\masters_thesis_sdg\results\voting\unsloth_gemma-4-E4B-it-unsloth-bnb-4bit__ft_gemma-4-E4B-role-inference-traced-final_adapter\prompt_v4_run_1\Ego4D\0c2659db-7bd4-4b37-9b08-4e247befe382_Game9.json,run_1,stochastic,Ego4D,0c2659db-7bd4-4b37-9b08-4e247befe382,Game9,Ego4D / 0c2659db-7bd4-4b37-9b08-4e247befe382 / Game9,player_vote,Sukeshi,Sukeshi,False,False,Robber,Villager,"The discussion heavily features accusations regarding James and Sukeshi, with Sian (who claims to be the Seer) suggesting both could be Werewolves. Sukeshi, in particular, is extremely defensive and insists on being 'double confirmed Villager,' which can be a tactic to deflect suspicion. While multiple players are targeted, Sukeshi's insistence on his verified status, despite being implicated by the Seer, makes him a prime suspect for a Werewolf trying to maintain a false narrative."
C:\Users\annab\Documents\GitHub\masters_thesis_sdg\results\voting\unsloth_gemma-4-E4B-it-unsloth-bnb-4bit__ft_gemma-4-E4B-role-inference-traced-final_adapter\prompt_v4_run_1\Ego4D\1a0d3e22-a6d6-4723-91a0-52fc2c87d5ce_Game10.json,run_1,stochastic,Ego4D,1a0d3e22-a6d6-4723-91a0-52fc2c87d5ce,Game10,Ego4D / 1a0d3e22-a6d6-4723-91a0-52fc2c87d5ce / Game10,player_vote,Sean,Sean,False,True,Werewolf,Villager,"Sean displayed highly suspicious behavior early in the discussion by confidently stating that 'Everyone knows who the werewolf is,' which is often a tactic used by Werewolves to control the narrative. Although he later admitted to being a Drunk, the discussion also strongly implicated him as a potential Werewolf. His aggressive certainty and subsequent attempts to deflect suspicion make him a primary target for Team Village."
C:\Users\annab\Documents\GitHub\masters_thesis_sdg\results\voting\unsloth_gemma-4-E4B-it-unsloth-bnb-4bit__ft_gemma-4-E4B-role-inference-traced-final_adapter\prompt_v4_run_1\Ego4D\1a0d3e22-a6d6-4723-91a0-52fc2c87d5ce_Game11.json,run_1,stochastic,Ego4D,1a0d3e22-a6d6-4723-91a0-52fc2c87d5ce,Game11,Ego4D / 1a0d3e22-a6d6-4723-91a0-52fc2c87d5ce / Game11,player_vote,Hunter,Hunter,False,False,Troublemaker,Troublemaker,"Hunter is the most suspicious player due to their overly detailed and defensive explanations regarding card swapping and the Troublemaker role. They repeatedly justify complex maneuvers, which is a common tactic for a Werewolf attempting to sow confusion and deflect suspicion. While Jacob also exhibits uncertainty, Hunter's narrative is aggressively focused on manipulating the group's perception of events. Given the high level of role manipulation in the discussion, Hunter presents the clearest target for elimination."
