check,observed,expected,status
justifications,2292,2292,OK
unique justification ids,2292,2292,OK
duplicate justification ids,0,0,OK
games,191,191,OK
models,3,3,OK
runs,4,4,OK
justifications per model,[764],[764],OK
justifications per model x run,[191],[191],OK
model x game x run fully crossed,2292,2292,OK
sentences,8044,8044,OK
sentences match the input shards,8044,8044,OK
sentence count matches metadata n_sentences,0,0,OK
category assignments (labels),11526,11526,OK
labels use only frozen-schema categories,[],[],OK
empty-label sentences,407,descriptive,descriptive
max labels on one sentence,6,descriptive,descriptive
justifications with no substantive category,0,descriptive,descriptive
Other assignments,36,descriptive,descriptive
missing vote,0,0,OK
missing is_correct,0,0,OK
missing evidence_span,0,descriptive,descriptive
non-verbatim evidence spans,51,descriptive,descriptive
justifications carrying a validation flag,47,descriptive,descriptive
sentence texts repaired from source,1,descriptive,descriptive
