model,stage,feature,column,beta,odds_ratio,selected_penalty,beta_ci_lo,beta_ci_hi
2B,BASE,accusation,accusation,-0.05130417777191588,0.9499896608411156,10.0,-0.22377318065412477,0.17761718567516302
2B,BASE,defense,defense,0.25175204065417667,1.2862770533222583,10.0,0.10606725049390128,0.4133617567225252
2B,BASE,interrogation,interrogation,-0.08348729616370142,0.9199027728912438,10.0,-0.27162599292521866,0.06311665322085112
2B,BASE,evidence,evidence,-0.060661514351448044,0.9411417488428311,10.0,-0.2452782837070447,0.10329846417888212
2B,BASE,identity_declaration,identity_declaration,-0.24864958153033245,0.7798532004750709,10.0,-0.511535039667694,0.05358959700426064
2B,BASE,call_for_action,call_for_action,-0.16672117458937563,0.846435586187653,10.0,-0.31478782991484733,-0.02244218226933152
2B,BASE,werewolf_accusations_made,werewolf_accusations_made,0.3115695073401383,1.3655667000343101,10.0,0.10122563584764514,0.46910931582742527
2B,BASE,deception_accusations_made,deception_accusations_made,-0.005790365601251558,0.9942263662555467,10.0,-0.19624874342753507,0.1806834614275098
2B,BASE,werewolf_accusations_received,werewolf_accusations_received,0.870592414469758,2.388325312983685,10.0,0.6863532210670826,1.0929505367070693
2B,BASE,deception_accusations_received,deception_accusations_received,-0.02138649056916702,0.9788405788004797,10.0,-0.17120545438675805,0.11859470824615528
2B,BASE,claims_werewolf,claims_werewolf,0.5323570947226716,1.7029415762529072,10.0,0.28284881221120933,0.8209952985888616
2B,BASE,claims_tanner,claims_tanner,0.05611998715714613,1.0577245894894651,10.0,-0.09908282188162099,0.18744022651899325
2B,BASE,claims_night_action_role,claims_night_action_role,0.010234317989424724,1.010286867739065,10.0,-0.24271771854962115,0.23731860361616935
2B,FT,accusation,accusation,-0.007551159962110433,0.9924772784203307,10.0,-0.16002044209510888,0.1414783693624819
2B,FT,defense,defense,0.3019903453785657,1.3525481683059088,10.0,0.14389756280801044,0.4726229924964483
2B,FT,interrogation,interrogation,-0.19621050361904968,0.8218392163390159,10.0,-0.3776615909513419,-0.03859564938406308
2B,FT,evidence,evidence,0.09100079854143647,1.0952698798764995,10.0,-0.12386069823182586,0.27382602283581464
2B,FT,identity_declaration,identity_declaration,-0.10948462618556463,0.8962959437437061,10.0,-0.35093508881775276,0.12814581574665063
2B,FT,call_for_action,call_for_action,-0.25196247789398807,0.7772739024755567,10.0,-0.4341694957897686,-0.08417130891006239
2B,FT,werewolf_accusations_made,werewolf_accusations_made,0.331054793887027,1.3924360872035828,10.0,0.11747218226049312,0.5311975575384326
2B,FT,deception_accusations_made,deception_accusations_made,-0.016345481092818148,0.9837873813978508,10.0,-0.27563367129971367,0.20398140638094614
2B,FT,werewolf_accusations_received,werewolf_accusations_received,0.8230097849090576,2.277343848012613,10.0,0.6234735236466662,1.123281173263897
2B,FT,deception_accusations_received,deception_accusations_received,-0.16041974912935497,0.8517861774115275,10.0,-0.3999793373621385,0.033908131435909226
