game_id,run_1,run_2,run_3,greedy_t0
Ego4D / 0a6ef9dc-a2dc-452b-a907-d6fa2ed4cae0 / Game1,Hailey,Hailey,No Werewolf,Hailey
Ego4D / 0a6ef9dc-a2dc-452b-a907-d6fa2ed4cae0 / Game2,No Werewolf,No Werewolf,No Werewolf,No Werewolf
Ego4D / 0c2659db-7bd4-4b37-9b08-4e247befe382 / Game4,Elliot,Ashley,Ashley,Sian
Ego4D / 0c2659db-7bd4-4b37-9b08-4e247befe382 / Game5,Chris,No Werewolf,Chris,Chris
Ego4D / 0c2659db-7bd4-4b37-9b08-4e247befe382 / Game6,James,Elliot,James,James
Ego4D / 0c2659db-7bd4-4b37-9b08-4e247befe382 / Game7,No Werewolf,No Werewolf,No Werewolf,No Werewolf
Ego4D / 0c2659db-7bd4-4b37-9b08-4e247befe382 / Game8,Sian,No Werewolf,Sian,Sian
Ego4D / 0c2659db-7bd4-4b37-9b08-4e247befe382 / Game9,Chris,Chris,James,Chris
Ego4D / 1a0d3e22-a6d6-4723-91a0-52fc2c87d5ce / Game10,Sean,Hunter,Hunter,No Werewolf
Ego4D / 1a0d3e22-a6d6-4723-91a0-52fc2c87d5ce / Game11,No Werewolf,No Werewolf,No Werewolf,No Werewolf
Ego4D / 1a0d3e22-a6d6-4723-91a0-52fc2c87d5ce / Game6,Hunter,Hunter,Hunter,Hunter
Ego4D / 1a0d3e22-a6d6-4723-91a0-52fc2c87d5ce / Game7,Hunter,No Werewolf,Hunter,No Werewolf
Ego4D / 1a0d3e22-a6d6-4723-91a0-52fc2c87d5ce / Game8,No Werewolf,Zack,No Werewolf,Zack
Ego4D / 1a0d3e22-a6d6-4723-91a0-52fc2c87d5ce / Game9,Sean,Zack,Zack,Zack
Ego4D / 2ba4023c-a8bf-43ad-ad5a-80ba222ce990 / Game10,Tyler,Tyler,Tyler,Tyler
Ego4D / 2ba4023c-a8bf-43ad-ad5a-80ba222ce990 / Game6,Clint,Clint,No Werewolf,Clint
Ego4D / 2ba4023c-a8bf-43ad-ad5a-80ba222ce990 / Game7,Erin,Erin,Erin,Erin
Ego4D / 2ba4023c-a8bf-43ad-ad5a-80ba222ce990 / Game8,Erin,Erin,Erin,Erin
Ego4D / 2ba4023c-a8bf-43ad-ad5a-80ba222ce990 / Game9,Tyler,Erin,Erin,Clint
Ego4D / 324bccd2-adff-4e9a-8ff4-03491e144ac3 / Game1,No Werewolf,No Werewolf,No Werewolf,No Werewolf
Ego4D / 324bccd2-adff-4e9a-8ff4-03491e144ac3 / Game2,Hunter,No Werewolf,No Werewolf,Hunter
Ego4D / 324bccd2-adff-4e9a-8ff4-03491e144ac3 / Game3,No Werewolf,No Werewolf,No Werewolf,No Werewolf
Ego4D / 324bccd2-adff-4e9a-8ff4-03491e144ac3 / Game4,No Werewolf,No Werewolf,No Werewolf,No Werewolf
Ego4D / 324bccd2-adff-4e9a-8ff4-03491e144ac3 / Game5,Sean,No Werewolf,Sean,Jacob
Ego4D / 3ba069be-60fa-47fc-bd7b-f85bf649a5bd / Game1,No Werewolf,No Werewolf,No Werewolf,No Werewolf
Ego4D / 3ba069be-60fa-47fc-bd7b-f85bf649a5bd / Game2,No Werewolf,No Werewolf,Kaelan,No Werewolf
Ego4D / 3ba069be-60fa-47fc-bd7b-f85bf649a5bd / Game3,Jessica,Jessica,Jessica,Jessica
Ego4D / 3ba069be-60fa-47fc-bd7b-f85bf649a5bd / Game4,Daniel,No Werewolf,Daniel,Daniel
Ego4D / 3ba069be-60fa-47fc-bd7b-f85bf649a5bd / Game5,Daniel,Daniel,Daniel,Daniel
Ego4D / 3ba069be-60fa-47fc-bd7b-f85bf649a5bd / Game6,No Werewolf,No Werewolf,No Werewolf,No Werewolf
Ego4D / 62c4bc58-3776-4791-ac30-4c9ca5619503 / Game10,No Werewolf,No Werewolf,No Werewolf,No Werewolf
Ego4D / 62c4bc58-3776-4791-ac30-4c9ca5619503 / Game11,Kaelan,Jessica,Kaelan,No Werewolf
Ego4D / 62c4bc58-3776-4791-ac30-4c9ca5619503 / Game12,No Werewolf,Daniel,No Werewolf,No Werewolf
Ego4D / 62c4bc58-3776-4791-ac30-4c9ca5619503 / Game7,Jessica,Jessica,Jessica,Kevin
Ego4D / 62c4bc58-3776-4791-ac30-4c9ca5619503 / Game8,No Werewolf,Jessica,No Werewolf,No Werewolf
Ego4D / 62c4bc58-3776-4791-ac30-4c9ca5619503 / Game9,No Werewolf,No Werewolf,No Werewolf,No Werewolf
Ego4D / 64076f60-f3fc-4ee6-93e1-3489d8ec7b12 / Game3,Jack,Hailey,No Werewolf,Jack
Ego4D / 698f6bbe-4347-4a06-bd5d-3482f5e4fbbe / Game1,Elliot,No Werewolf,Elliot,Elliot
Ego4D / 698f6bbe-4347-4a06-bd5d-3482f5e4fbbe / Game2,Sukeshi,Sukeshi,Sukeshi,Sukeshi
Ego4D / 698f6bbe-4347-4a06-bd5d-3482f5e4fbbe / Game3,Sukeshi,Sukeshi,James,No Werewolf
Youtube / Flashback##ONE#NIGHT#ULTIMATE#WEREWOLF##Retro#9 / Game1,Mitchell,Mitchell,Mitchell,Mitchell
Youtube / Flashback##ONE#NIGHT#ULTIMATE#WEREWOLF##Retro#9 / Game2,Laura,Mitchell,Paul,Mitchell
Youtube / Flashback##ONE#NIGHT#ULTIMATE#WEREWOLF##Retro#9 / Game3,James,No Werewolf,Mitchell,Mitchell
Youtube / Flashback##ONE#NIGHT#ULTIMATE#WEREWOLF##Retro#9 / Game4,No Werewolf,No Werewolf,No Werewolf,Laura
Youtube / Flashback##ONE#NIGHT#ULTIMATE#WEREWOLF##Retro#9 / Game5,Laura,Laura,Mitchell,Mitchell
Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF##Retro#1 / Game1,Mitchell,Mitchell,Mitchell,Mitchell
Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF##Retro#1 / Game10,Justin,Justin,Mitchell,Mitchell
Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF##Retro#1 / Game2,Mitchell,Mitchell,James,No Werewolf
Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF##Retro#1 / Game3,Justin,Justin,No Werewolf,Alvin
Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF##Retro#1 / Game4,James,Mitchell,James,James
Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF##Retro#1 / Game5,Mitchell,Mitchell,Mitchell,Mitchell
Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF##Retro#1 / Game6,Justin,Justin,Justin,Justin
Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF##Retro#1 / Game7,James,James,James,James
Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF##Retro#1 / Game8,Alvin,No Werewolf,Mitchell,No Werewolf
Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF##Retro#1 / Game9,Mitchell,Mitchell,Mitchell,Mitchell
Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF##Retro#2 / Game1,Caitlynn,Caitlynn,Caitlynn,Caitlynn
Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF##Retro#2 / Game2,No Werewolf,No Werewolf,No Werewolf,No Werewolf
Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF##Retro#2 / Game3,Justin,,Justin,Justin
Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF##Retro#2 / Game4,Mike,Mike,Mike,Mike
Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF##Retro#2 / Game5,Justin,Justin,Justin,Justin
Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF##Retro#2 / Game6,Mitchell,Mitchell,Mitchell,Mitchell
Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF##Retro#2 / Game7,Caitlynn,Caitlynn,Caitlynn,Caitlynn
Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF##Retro#2 / Game8,Dan,Dan,Justin,Justin
Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF##Retro#3 / Game2,Mike,No Werewolf,Mike,Mike
Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF##Retro#3 / Game3,James,Mitchell,,Mitchell
Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF##Retro#3 / Game4,Mitchell,No Werewolf,Mike,Mike
Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF##Retro#3 / Game5,Mitchell,Mitchell,Mitchell,James
Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF##Retro#3 / Game6,Mike,Mike,Mike,Mike
Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF##Retro#3 / Game7,Mitchell,Mitchell,Mitchell,Mitchell
Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF##Retro#3 / Game8,No Werewolf,No Werewolf,No Werewolf,No Werewolf
Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF##Retro#4 / Game10,Mitchell,No Werewolf,No Werewolf,Mitchell
Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF##Retro#4 / Game11,Mitchell,Mitchell,Justin,Mitchell
Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF##Retro#4 / Game3,Mitchell,Mitchell,Mitchell,Mitchell
Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF##Retro#4 / Game4,Mitchell,Mitchell,Mitchell,Mitchell
Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF##Retro#4 / Game5,Justin,Justin,Justin,Justin
Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF##Retro#4 / Game6,Mitchell,Mitchell,No Werewolf,Mitchell
Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF##Retro#4 / Game7,Caitlynn,Caitlynn,Caitlynn,No Werewolf
Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF##Retro#4 / Game9,Justin,Justin,Justin,Justin
Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF##Retro#5 / Game1,No Werewolf,Mitchell,Mitchell,Mitchell
Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF##Retro#5 / Game2,Mitchell,No Werewolf,No Werewolf,Justin
Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF##Retro#5 / Game3,Paul,No Werewolf,Paul,Paul
Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF##Retro#5 / Game4,No Werewolf,Paul,No Werewolf,No Werewolf
Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF##Retro#5 / Game5,Justin,Justin,Mitchell,Justin
Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF##Retro#5 / Game6,No Werewolf,No Werewolf,No Werewolf,No Werewolf
Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF##Retro#5 / Game7,Paul,Paul,Justin,Justin
Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF##Retro#5 / Game8,No Werewolf,Justin,Mitchell,No Werewolf
Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF#-#Drinking#Play#Through / Game1,Meryl,Jordan1,Jordan2,Jordan2
Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF#-#Drinking#Play#Through / Game2,Haak,Jordan2,No Werewolf,Jordan2
Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF#1##July#5th#2016 / Game2,Mike,Mike,Mike,Mike
Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF#10##November#6th#2016 / Game1,Mitchell,No Werewolf,Mitchell,Mitchell
Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF#13##July#29th#2017 / Game1,Mike,Justin,Mike,Julie
Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF#13##July#29th#2017 / Game2,Mitchell,Mitchell,No Werewolf,Mitchell
Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF#13##July#29th#2017 / Game3,Justin,Justin,Justin,Justin
Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF#14##August#26th#2017 / Game1,Caitlynn,Justin,Caitlynn,Justin
Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF#14##August#26th#2017 / Game2,Justin,Justin,Justin,Justin
Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF#18##September#30th#2017 / Game1,Paul,Paul,No Werewolf,Paul
Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF#26##January#20th#2018 / Game2,Meghan,Meghan,Meghan,Meghan
Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF#26##January#20th#2018 / Game3,Meghan,Meghan,Meghan,Meghan
Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF#28##February#17th#2018 / Game1,Mitchell,Mitchell,Mitchell,Mitchell
Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF#28##February#17th#2018 / Game2,Mike,Mike,Mike,Mike
Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF#28##February#17th#2018 / Game3,Justin,Justin,Justin,Justin
Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF#30##February#17th#2018 / Game2,Mike,,Mike,Mike
Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF#30##February#17th#2018 / Game4,No Werewolf,Alysha,No Werewolf,Alysha
Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF#34##March#24th#2018 / Game2,,Mitchell,Mitchell,Mitchell
Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF#34##March#24th#2018 / Game3,No Werewolf,Mitchell,No Werewolf,No Werewolf
Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF#37##April#21st#2018 / Game2,No Werewolf,Mitchell,Mike,Mike
Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF#38##April#21st#2018 / Game3,Mike,James,Mike,James
Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF#38##April#21st#2018 / Game4,No Werewolf,Mike,Mike,Mike
Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF#39##April#21st#2018 / Game3,Mike,Justin,No Werewolf,No Werewolf
Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF#4##July#14th#2016 / Game1,No Werewolf,Mitchell,Justin,Justin
Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF#4##July#14th#2016 / Game2,No Werewolf,Mike,Paul,Mitchell
Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF#4##July#14th#2016 / Game3,No Werewolf,No Werewolf,Mitchell,Mitchell
Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF#43##October#13th#2018 / Game1,Mitchell,Mitchell,Mitchell,Mitchell
Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF#43##October#13th#2018 / Game3,Justin,Justin,Justin,Justin
Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF#43##October#13th#2018 / Game4,Mike,Mike,Paul,No Werewolf
Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF#44##October#13th#2018 / Game1,No Werewolf,No Werewolf,Mitchell,Mitchell
Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF#44##October#13th#2018 / Game2,Justin,Justin,Justin,Justin
Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF#44##October#13th#2018 / Game3,Justin,No Werewolf,Mitchell,No Werewolf
Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF#44##October#13th#2018 / Game4,No Werewolf,No Werewolf,No Werewolf,Paul
Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF#44##October#13th#2018 / Game5,Mitchell,Mitchell,Mitchell,Mitchell
Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF#45##October#13th#2018 / Game4,Justin,No Werewolf,Justin,Justin
Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF#45##October#13th#2018 / Game6,Mitchell,No Werewolf,No Werewolf,No Werewolf
Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF#5##October#29th#2016 / Game1,Chris,Chris,Chris,Chris
Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF#55##January#26th#2019 / Game3,No Werewolf,No Werewolf,No Werewolf,No Werewolf
Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF#6##November#6th#2016 / Game1,Caitlynn,Caitlynn,Mitchell,Caitlynn
Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF#6##November#6th#2016 / Game2,Mitchell,Mitchell,Mitchell,Mitchell
Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF#62##March#23rd#2019 / Game1,Paul,James,Mitchell,No Werewolf
Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF#62##March#23rd#2019 / Game2,James,James,No Werewolf,Mitchell
Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF#63##March#23rd#2019 / Game1,Justin,Justin,Justin,Justin
Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF#64##March#23rd#2019 / Game3,James,James,James,James
Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF#64##March#23rd#2019 / Game4,Paul,Paul,Paul,Paul
Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF#64##March#23rd#2019 / Game5,James,James,No Werewolf,James
Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF#7##November#6th#2016 / Game1,Alana,Alana,Mitchell,Mitchell
Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF#7##November#6th#2016 / Game2,Caitlynn,Caitlynn,Caitlynn,Caitlynn
Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF#7##November#6th#2016 / Game3,Mitchell,Mitchell,No Werewolf,Mitchell
Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF#7##November#6th#2016 / Game4,Caitlynn,Mitchell,Mitchell,Mitchell
Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF#8##November#6th#2016 / Game1,Mitchell,Mitchell,Mitchell,No Werewolf
Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF#8##November#6th#2016 / Game4,Alana,Mike,Mike,No Werewolf
Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF#83##October#15th#2019 / Game2,Caitlynn,Mike,Mike,No Werewolf
Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF#83##October#15th#2019 / Game3,Mike,Mike,Mike,Mike
Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF#86##November#9th#2019 / Game1,No Werewolf,No Werewolf,No Werewolf,No Werewolf
Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF#86##November#9th#2019 / Game3,Mitchell,Mitchell,Mitchell,Mitchell
Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF#86##November#9th#2019 / Game4,Mike,Mike,Mike,Mike
Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF#87##November#9th#2019 / Game1,No Werewolf,Mitchell,Mitchell,No Werewolf
Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF#87##November#9th#2019 / Game2,Justin,Mitchell,No Werewolf,Justin
Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF#89##November#30th#2019 / Game2,Justin,Justin,Justin,Justin
Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF#89##November#30th#2019 / Game3,Mitchell,Mitchell,Mitchell,Mitchell
Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF#9##November#6th#2016 / Game1,Caitlynn,Mitchell,Mitchell,Mitchell
Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF#9##November#6th#2016 / Game2,Mike,Mike,Mike,No Werewolf
Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF#9##November#6th#2016 / Game3,No Werewolf,Mitchell,Mitchell,Mitchell
Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF#9##November#6th#2016 / Game4,No Werewolf,No Werewolf,Alana,No Werewolf
Youtube / One#Night#Ultimate#Love#Letter##ONE#NIGHT#ULTIMATE#WEREWOLF / Game2,Mitchell,Mitchell,Mitchell,Mitchell
Youtube / One#Night#Ultimate#Love#Letter##ONE#NIGHT#ULTIMATE#WEREWOLF / Game3,Tyler,Justin,Tyler,Justin
Youtube / One#Night#Ultimate#Love#Letter##ONE#NIGHT#ULTIMATE#WEREWOLF / Game7,Paul,Justin,Paul,No Werewolf
Youtube / One#Night#Ultimate#Werewolf#1#How-To#and#Playthrough / Game1,Brett,Audrey,Brett,No Werewolf
Youtube / One#Night#Ultimate#Werewolf#2#The#Drunk / Game1,Dan,Audrey,,Audrey
Youtube / One#Night#Ultimate#Werewolf#3#Insomniac / Game1,Brett,Brett,Brett,Brett
Youtube / One#Night#Ultimate#Werewolf#361#Classic#Werewolf / Game1,Dylan,Kelsey,No Werewolf,Dylan
Youtube / One#Night#Ultimate#Werewolf#362#More#Classic#Werewolf / Game1,No Werewolf,Kelsey,Kelsey,Kelsey
Youtube / One#Night#Ultimate#Werewolf#363#Even#More#Classic#Werewolf / Game1,Kelsey,Pete,Katie,Pete
Youtube / One#Night#Ultimate#Werewolf#381#The#Hunt#Is#On / Game1,Dustin,Dustin,Dustin,Dustin
