game_id,run_1,run_2,run_3,greedy_t0,n_unique_votes,all_same,agreement_type,vote_pattern,correct_run_1,correct_run_2,correct_run_3,n_correct_runs,agreement_case
Ego4D / 0a6ef9dc-a2dc-452b-a907-d6fa2ed4cae0 / Game1,Erin,Erin,Erin,Erin,1,True,unanimous,Erin | Erin | Erin,False,False,False,0,same_vote_all_wrong
Ego4D / 0a6ef9dc-a2dc-452b-a907-d6fa2ed4cae0 / Game2,No Werewolf,No Werewolf,Sebastian,No Werewolf,2,False,two_vs_one,No Werewolf | No Werewolf | Sebastian,False,False,False,0,different_votes_all_wrong
Ego4D / 0c2659db-7bd4-4b37-9b08-4e247befe382 / Game4,Sukeshi,Sukeshi,Ashley,Elliot,2,False,two_vs_one,Sukeshi | Sukeshi | Ashley,True,True,True,3,different_votes_all_correct
Ego4D / 0c2659db-7bd4-4b37-9b08-4e247befe382 / Game5,Chris,Chris,Chris,Chris,1,True,unanimous,Chris | Chris | Chris,True,True,True,3,same_vote_all_correct
Ego4D / 0c2659db-7bd4-4b37-9b08-4e247befe382 / Game6,Elliot,Elliot,James,Elliot,2,False,two_vs_one,Elliot | Elliot | James,True,True,False,2,different_votes_mixed_correctness
Ego4D / 0c2659db-7bd4-4b37-9b08-4e247befe382 / Game7,Sian,Sukeshi,Sukeshi,Sukeshi,2,False,two_vs_one,Sian | Sukeshi | Sukeshi,False,False,False,0,different_votes_all_wrong
Ego4D / 0c2659db-7bd4-4b37-9b08-4e247befe382 / Game8,Sian,No Werewolf,Sian,Sian,2,False,two_vs_one,Sian | No Werewolf | Sian,False,False,False,0,different_votes_all_wrong
Ego4D / 0c2659db-7bd4-4b37-9b08-4e247befe382 / Game9,Elliot,Ashley,James,James,3,False,all_different,Elliot | Ashley | James,False,False,False,0,different_votes_all_wrong
Ego4D / 1a0d3e22-a6d6-4723-91a0-52fc2c87d5ce / Game10,Sean,Sean,Sean,Sean,1,True,unanimous,Sean | Sean | Sean,True,True,True,3,same_vote_all_correct
Ego4D / 1a0d3e22-a6d6-4723-91a0-52fc2c87d5ce / Game11,Hunter,Hunter,Hunter,Jacob,1,True,unanimous,Hunter | Hunter | Hunter,False,False,False,0,same_vote_all_wrong
Ego4D / 1a0d3e22-a6d6-4723-91a0-52fc2c87d5ce / Game6,Hunter,Hunter,Hunter,Hunter,1,True,unanimous,Hunter | Hunter | Hunter,False,False,False,0,same_vote_all_wrong
Ego4D / 1a0d3e22-a6d6-4723-91a0-52fc2c87d5ce / Game7,Sean,Sean,Zack,Sean,2,False,two_vs_one,Sean | Sean | Zack,True,True,False,2,different_votes_mixed_correctness
Ego4D / 1a0d3e22-a6d6-4723-91a0-52fc2c87d5ce / Game8,Zack,Zack,Zack,Zack,1,True,unanimous,Zack | Zack | Zack,True,True,True,3,same_vote_all_correct
Ego4D / 1a0d3e22-a6d6-4723-91a0-52fc2c87d5ce / Game9,Sean,Zack,Sean,Zack,2,False,two_vs_one,Sean | Zack | Sean,False,True,False,1,different_votes_mixed_correctness
Ego4D / 2ba4023c-a8bf-43ad-ad5a-80ba222ce990 / Game10,Tyler,Tyler,Tyler,Tyler,1,True,unanimous,Tyler | Tyler | Tyler,True,True,True,3,same_vote_all_correct
Ego4D / 2ba4023c-a8bf-43ad-ad5a-80ba222ce990 / Game6,Clint,Clint,Tyler,Clint,2,False,two_vs_one,Clint | Clint | Tyler,True,True,True,3,different_votes_all_correct
Ego4D / 2ba4023c-a8bf-43ad-ad5a-80ba222ce990 / Game7,No Werewolf,Erin,No Werewolf,Erin,2,False,two_vs_one,No Werewolf | Erin | No Werewolf,False,False,False,0,different_votes_all_wrong
Ego4D / 2ba4023c-a8bf-43ad-ad5a-80ba222ce990 / Game8,Tyler,Erin,Erin,Erin,2,False,two_vs_one,Tyler | Erin | Erin,True,False,False,1,different_votes_mixed_correctness
Ego4D / 2ba4023c-a8bf-43ad-ad5a-80ba222ce990 / Game9,Tyler,Tyler,Tyler,Clint,1,True,unanimous,Tyler | Tyler | Tyler,True,True,True,3,same_vote_all_correct
Ego4D / 324bccd2-adff-4e9a-8ff4-03491e144ac3 / Game1,Hunter,Hunter,No Werewolf,No Werewolf,2,False,two_vs_one,Hunter | Hunter | No Werewolf,True,True,False,2,different_votes_mixed_correctness
Ego4D / 324bccd2-adff-4e9a-8ff4-03491e144ac3 / Game2,Hunter,Hunter,Hunter,Hunter,1,True,unanimous,Hunter | Hunter | Hunter,False,False,False,0,same_vote_all_wrong
Ego4D / 324bccd2-adff-4e9a-8ff4-03491e144ac3 / Game3,No Werewolf,No Werewolf,Sean,Sean,2,False,two_vs_one,No Werewolf | No Werewolf | Sean,False,False,False,0,different_votes_all_wrong
Ego4D / 324bccd2-adff-4e9a-8ff4-03491e144ac3 / Game4,Jacob,Zack,Jacob,No Werewolf,2,False,two_vs_one,Jacob | Zack | Jacob,True,False,True,2,different_votes_mixed_correctness
Ego4D / 324bccd2-adff-4e9a-8ff4-03491e144ac3 / Game5,Jacob,Jacob,Jacob,Jacob,1,True,unanimous,Jacob | Jacob | Jacob,True,True,True,3,same_vote_all_correct
Ego4D / 3ba069be-60fa-47fc-bd7b-f85bf649a5bd / Game1,No Werewolf,No Werewolf,Jessica,Jessica,2,False,two_vs_one,No Werewolf | No Werewolf | Jessica,False,False,False,0,different_votes_all_wrong
Ego4D / 3ba069be-60fa-47fc-bd7b-f85bf649a5bd / Game2,Jessica,Kevin,Kaelan,No Werewolf,3,False,all_different,Jessica | Kevin | Kaelan,False,False,False,0,different_votes_all_wrong
Ego4D / 3ba069be-60fa-47fc-bd7b-f85bf649a5bd / Game3,Jessica,Jessica,Jessica,Jessica,1,True,unanimous,Jessica | Jessica | Jessica,True,True,True,3,same_vote_all_correct
Ego4D / 3ba069be-60fa-47fc-bd7b-f85bf649a5bd / Game4,Daniel,Daniel,Daniel,Daniel,1,True,unanimous,Daniel | Daniel | Daniel,False,False,False,0,same_vote_all_wrong
Ego4D / 3ba069be-60fa-47fc-bd7b-f85bf649a5bd / Game5,Daniel,Daniel,Daniel,Daniel,1,True,unanimous,Daniel | Daniel | Daniel,False,False,False,0,same_vote_all_wrong
Ego4D / 3ba069be-60fa-47fc-bd7b-f85bf649a5bd / Game6,No Werewolf,No Werewolf,No Werewolf,No Werewolf,1,True,unanimous,No Werewolf | No Werewolf | No Werewolf,True,True,True,3,same_vote_all_correct
Ego4D / 62c4bc58-3776-4791-ac30-4c9ca5619503 / Game10,Daniel,No Werewolf,No Werewolf,No Werewolf,2,False,two_vs_one,Daniel | No Werewolf | No Werewolf,True,False,False,1,different_votes_mixed_correctness
Ego4D / 62c4bc58-3776-4791-ac30-4c9ca5619503 / Game11,Kaelan,Kaelan,Kaelan,Kaelan,1,True,unanimous,Kaelan | Kaelan | Kaelan,False,False,False,0,same_vote_all_wrong
Ego4D / 62c4bc58-3776-4791-ac30-4c9ca5619503 / Game12,No Werewolf,No Werewolf,No Werewolf,No Werewolf,1,True,unanimous,No Werewolf | No Werewolf | No Werewolf,True,True,True,3,same_vote_all_correct
Ego4D / 62c4bc58-3776-4791-ac30-4c9ca5619503 / Game7,Kaelan,Kaelan,Jessica,Kaelan,2,False,two_vs_one,Kaelan | Kaelan | Jessica,False,False,True,1,different_votes_mixed_correctness
Ego4D / 62c4bc58-3776-4791-ac30-4c9ca5619503 / Game8,Jessica,Kevin,No Werewolf,No Werewolf,3,False,all_different,Jessica | Kevin | No Werewolf,False,False,True,1,different_votes_mixed_correctness
Ego4D / 62c4bc58-3776-4791-ac30-4c9ca5619503 / Game9,No Werewolf,No Werewolf,Jessica,No Werewolf,2,False,two_vs_one,No Werewolf | No Werewolf | Jessica,False,False,True,1,different_votes_mixed_correctness
Ego4D / 64076f60-f3fc-4ee6-93e1-3489d8ec7b12 / Game3,Jack,Jack,Hailey,No Werewolf,2,False,two_vs_one,Jack | Jack | Hailey,False,False,False,0,different_votes_all_wrong
Ego4D / 698f6bbe-4347-4a06-bd5d-3482f5e4fbbe / Game1,James,Elliot,James,Elliot,2,False,two_vs_one,James | Elliot | James,False,True,False,1,different_votes_mixed_correctness
Ego4D / 698f6bbe-4347-4a06-bd5d-3482f5e4fbbe / Game2,Sukeshi,Sukeshi,Sukeshi,Sukeshi,1,True,unanimous,Sukeshi | Sukeshi | Sukeshi,True,True,True,3,same_vote_all_correct
Ego4D / 698f6bbe-4347-4a06-bd5d-3482f5e4fbbe / Game3,Sukeshi,James,Chris,James,3,False,all_different,Sukeshi | James | Chris,False,True,False,1,different_votes_mixed_correctness
