model,decoding_group,semantic_category,discourse_relation,n_runs,mean_conditional_prevalence,sd_conditional_prevalence,min_conditional_prevalence,max_conditional_prevalence,mean_n_semantic_sentences,total_n_semantic_sentences,total_n_joint_sentences,support_is_thin
Gemma 4 2B,Stochastic,Mechanical,Any explicit,3,0.6047619047619047,0.10722219284950193,0.5,0.7142857142857143,6.0,18,11,True
Gemma 4 2B,Stochastic,Testimony,Any explicit,3,0.6313678804855276,0.023775557966413285,0.6102941176470589,0.6571428571428571,142.0,426,269,False
Gemma 4 2B,Stochastic,SocialJudgment,Any explicit,3,0.6486594956693669,0.029197949301117753,0.6206896551724138,0.6789473684210526,185.66666666666666,557,361,False
Gemma 4 2B,Stochastic,Behavioral,Any explicit,3,0.5798660927785749,0.04080974202427615,0.5365853658536586,0.6176470588235294,38.666666666666664,116,67,False
Gemma 4 2B,Stochastic,ClaimComparison,Any explicit,3,0.6905839258780436,0.09279639854621355,0.5882352941176471,0.7692307692307693,17.0,51,35,True
Gemma 4 2B,Stochastic,Payoff,Any explicit,3,0.6158666855663718,0.027368290737984743,0.5897435897435898,0.6443298969072165,198.66666666666666,596,367,False
Gemma 4 2B,Stochastic,Uncertainty,Any explicit,3,0.5225088324181671,0.03285400811010482,0.5,0.5602094240837696,196.0,588,307,False
Gemma 4 2B,Greedy,Mechanical,Any explicit,1,0.2,,0.2,0.2,5.0,5,1,True
Gemma 4 2B,Greedy,Testimony,Any explicit,1,0.6375838926174496,,0.6375838926174496,0.6375838926174496,149.0,149,95,False
Gemma 4 2B,Greedy,SocialJudgment,Any explicit,1,0.6794871794871795,,0.6794871794871795,0.6794871794871795,156.0,156,106,False
Gemma 4 2B,Greedy,Behavioral,Any explicit,1,0.6136363636363636,,0.6136363636363636,0.6136363636363636,44.0,44,27,False
Gemma 4 2B,Greedy,ClaimComparison,Any explicit,1,0.875,,0.875,0.875,16.0,16,14,True
Gemma 4 2B,Greedy,Payoff,Any explicit,1,0.6666666666666666,,0.6666666666666666,0.6666666666666666,189.0,189,126,False
Gemma 4 2B,Greedy,Uncertainty,Any explicit,1,0.553921568627451,,0.553921568627451,0.553921568627451,204.0,204,113,False
Gemma 4 4B,Stochastic,Mechanical,Any explicit,3,0.6712936186620397,0.05070001694736265,0.6153846153846154,0.7142857142857143,15.333333333333334,46,31,True
Gemma 4 4B,Stochastic,Testimony,Any explicit,3,0.6489586946018481,0.019332386123680427,0.6348547717842323,0.670995670995671,235.33333333333334,706,458,False
Gemma 4 4B,Stochastic,SocialJudgment,Any explicit,3,0.4823521925888464,0.050089619112945565,0.45045045045045046,0.540084388185654,229.66666666666666,689,333,False
Gemma 4 4B,Stochastic,Behavioral,Any explicit,3,0.49856025039123636,0.004676332866357598,0.49333333333333335,0.5023474178403756,218.0,654,326,False
Gemma 4 4B,Stochastic,ClaimComparison,Any explicit,3,0.6317693744164332,0.009680174738442588,0.625,0.6428571428571429,54.333333333333336,163,103,False
Gemma 4 4B,Stochastic,Payoff,Any explicit,3,0.37306059121345747,0.037421156205956714,0.3333333333333333,0.40764331210191085,159.33333333333334,478,178,False
Gemma 4 4B,Stochastic,Uncertainty,Any explicit,3,0.44824737608896026,0.06556833873060101,0.37623762376237624,0.5045045045045045,112.33333333333333,337,152,False
Gemma 4 4B,Greedy,Mechanical,Any explicit,1,0.5714285714285714,,0.5714285714285714,0.5714285714285714,14.0,14,8,True
Gemma 4 4B,Greedy,Testimony,Any explicit,1,0.6126126126126126,,0.6126126126126126,0.6126126126126126,222.0,222,136,False
Gemma 4 4B,Greedy,SocialJudgment,Any explicit,1,0.519650655021834,,0.519650655021834,0.519650655021834,229.0,229,119,False
Gemma 4 4B,Greedy,Behavioral,Any explicit,1,0.480225988700565,,0.480225988700565,0.480225988700565,177.0,177,85,False
Gemma 4 4B,Greedy,ClaimComparison,Any explicit,1,0.47761194029850745,,0.47761194029850745,0.47761194029850745,67.0,67,32,False
Gemma 4 4B,Greedy,Payoff,Any explicit,1,0.4370860927152318,,0.4370860927152318,0.4370860927152318,151.0,151,66,False
Gemma 4 4B,Greedy,Uncertainty,Any explicit,1,0.39316239316239315,,0.39316239316239315,0.39316239316239315,117.0,117,46,False
