game_id,run_1,run_2,run_3,greedy_t0,stochastic_majority_vote,has_stochastic_majority,stochastic_majority_correct,agreement_type,greedy_vote,greedy_in_stochastic_vote_set,greedy_matches_stochastic_majority,greedy_correct
Ego4D / 0a6ef9dc-a2dc-452b-a907-d6fa2ed4cae0 / Game1,Erin,Brent,Erin,Brent,Erin,True,False,two_vs_one,Brent,True,False,True
Ego4D / 0a6ef9dc-a2dc-452b-a907-d6fa2ed4cae0 / Game2,Jack,Jack,Jack,Jack,Jack,True,True,unanimous,Jack,True,True,True
Ego4D / 0c2659db-7bd4-4b37-9b08-4e247befe382 / Game4,Elliot,Elliot,Elliot,Elliot,Elliot,True,False,unanimous,Elliot,True,True,False
Ego4D / 0c2659db-7bd4-4b37-9b08-4e247befe382 / Game5,Sian,Sian,Sian,Sian,Sian,True,False,unanimous,Sian,True,True,False
Ego4D / 0c2659db-7bd4-4b37-9b08-4e247befe382 / Game6,Elliot,Elliot,Elliot,Elliot,Elliot,True,True,unanimous,Elliot,True,True,True
Ego4D / 0c2659db-7bd4-4b37-9b08-4e247befe382 / Game7,Sukeshi,Sukeshi,Sukeshi,Sukeshi,Sukeshi,True,False,unanimous,Sukeshi,True,True,False
Ego4D / 0c2659db-7bd4-4b37-9b08-4e247befe382 / Game8,Sian,Sian,Sian,Sian,Sian,True,False,unanimous,Sian,True,True,False
Ego4D / 0c2659db-7bd4-4b37-9b08-4e247befe382 / Game9,Sian,James,James,Sian,James,True,False,two_vs_one,Sian,True,False,False
Ego4D / 1a0d3e22-a6d6-4723-91a0-52fc2c87d5ce / Game10,No Werewolf,Hunter,Zack,Hunter,,False,,all_different,Hunter,True,False,False
Ego4D / 1a0d3e22-a6d6-4723-91a0-52fc2c87d5ce / Game11,Zack,Sean,No Werewolf,Zack,,False,,all_different,Zack,True,False,False
Ego4D / 1a0d3e22-a6d6-4723-91a0-52fc2c87d5ce / Game6,No Werewolf,No Werewolf,No Werewolf,No Werewolf,No Werewolf,True,True,unanimous,No Werewolf,True,True,True
Ego4D / 1a0d3e22-a6d6-4723-91a0-52fc2c87d5ce / Game7,Hunter,Sean,Sean,Sean,Sean,True,True,two_vs_one,Sean,True,True,True
Ego4D / 1a0d3e22-a6d6-4723-91a0-52fc2c87d5ce / Game8,Zack,Zack,Hunter,Zack,Zack,True,True,two_vs_one,Zack,True,True,True
Ego4D / 1a0d3e22-a6d6-4723-91a0-52fc2c87d5ce / Game9,Zack,Zack,Sean,Zack,Zack,True,True,two_vs_one,Zack,True,True,True
Ego4D / 2ba4023c-a8bf-43ad-ad5a-80ba222ce990 / Game10,Clint,Clint,Clint,Clint,Clint,True,False,unanimous,Clint,True,True,False
Ego4D / 2ba4023c-a8bf-43ad-ad5a-80ba222ce990 / Game6,Clint,Clint,Clint,Clint,Clint,True,True,unanimous,Clint,True,True,True
Ego4D / 2ba4023c-a8bf-43ad-ad5a-80ba222ce990 / Game7,Erin,Erin,Erin,Clint,Erin,True,False,unanimous,Clint,False,False,True
