model,decoding_group,run_label,n_justifications,n_sentences,mean_sentences,sd_sentences,median_sentences,min_sentences,max_sentences
Gemma 4 2B,Stochastic,run_1,191,610,3.193717277486911,0.4803094437469962,3.0,2,5
Gemma 4 2B,Stochastic,run_2,191,605,3.167539267015707,0.42697678634975594,3.0,2,5
Gemma 4 2B,Stochastic,run_3,191,593,3.1047120418848166,0.4347156309607446,3.0,2,4
Gemma 4 2B,Greedy,greedy_t0,191,599,3.136125654450262,0.4380623182312931,3.0,2,5
Gemma 4 4B,Stochastic,run_1,191,758,3.968586387434555,0.5016368907182887,4.0,3,7
Gemma 4 4B,Stochastic,run_2,191,735,3.8481675392670156,0.46224201133823634,4.0,3,6
Gemma 4 4B,Stochastic,run_3,191,737,3.858638743455497,0.4767391765851055,4.0,3,6
Gemma 4 4B,Greedy,greedy_t0,191,758,3.968586387434555,0.4218475549332916,4.0,3,6
Gemma 4 31B,Stochastic,run_1,191,662,3.4659685863874348,0.5597405217058795,3.0,3,6
Gemma 4 31B,Stochastic,run_2,191,669,3.5026178010471205,0.5607733902927299,3.0,2,5
Gemma 4 31B,Stochastic,run_3,191,663,3.4712041884816753,0.6052038501140675,3.0,2,5
Gemma 4 31B,Greedy,greedy_t0,191,655,3.4293193717277486,0.5656659397202586,3.0,2,5
