game_id,run_1,run_2,run_3,greedy_t0,n_unique_votes,all_same,agreement_type,vote_pattern,correct_run_1,correct_run_2,correct_run_3,n_correct_runs,agreement_case
Ego4D / 62c4bc58-3776-4791-ac30-4c9ca5619503 / Game7,Jessica,Jessica,Daniel,Jessica,2,False,two_vs_one,Jessica | Jessica | Daniel,True,True,True,3,different_votes_all_correct
Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF#7##November#6th#2016 / Game4,Mitchell,Caitlynn,Caitlynn,Caitlynn,2,False,two_vs_one,Mitchell | Caitlynn | Caitlynn,True,True,True,3,different_votes_all_correct
Ego4D / 0c2659db-7bd4-4b37-9b08-4e247befe382 / Game9,Sian,James,James,Sian,2,False,two_vs_one,Sian | James | James,False,False,False,0,different_votes_all_wrong
Youtube / Flashback##ONE#NIGHT#ULTIMATE#WEREWOLF##Retro#9 / Game3,James,Laura,No Werewolf,No Werewolf,3,False,all_different,James | Laura | No Werewolf,False,False,False,0,different_votes_all_wrong
Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF#13##July#29th#2017 / Game1,No Werewolf,Julie,No Werewolf,Julie,2,False,two_vs_one,No Werewolf | Julie | No Werewolf,False,False,False,0,different_votes_all_wrong
Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF##Retro#5 / Game1,Mitchell,No Werewolf,Mitchell,No Werewolf,2,False,two_vs_one,Mitchell | No Werewolf | Mitchell,False,True,False,1,different_votes_mixed_correctness
Youtube / Retrovision##ONE#NIGHT#ULTIMATE#WEREWOLF##Retro#7 / Game4,Mike,Mike,Eric,Mike,2,False,two_vs_one,Mike | Mike | Eric,True,True,False,2,different_votes_mixed_correctness
Youtube / Way#Way#Back##ONE#NIGHT#ULTIMATE#WEREWOLF##Retro#10 / Game4,Laura,Laura,No Werewolf,James,2,False,two_vs_one,Laura | Laura | No Werewolf,True,True,False,2,different_votes_mixed_correctness
Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF##Retro#3 / Game3,No Werewolf,No Werewolf,No Werewolf,No Werewolf,1,True,unanimous,No Werewolf | No Werewolf | No Werewolf,True,True,True,3,same_vote_all_correct
Youtube / Visions#from#2016##ONE#NIGHT#ULTIMATE#WEREWOLF##Retro#11 / Game4,Paul,Paul,Paul,Paul,1,True,unanimous,Paul | Paul | Paul,True,True,True,3,same_vote_all_correct
Youtube / Way#Way#Back##ONE#NIGHT#ULTIMATE#WEREWOLF##Retro#10 / Game1,Laura,Laura,Laura,Laura,1,True,unanimous,Laura | Laura | Laura,True,True,True,3,same_vote_all_correct
Ego4D / 0c2659db-7bd4-4b37-9b08-4e247befe382 / Game4,Elliot,Elliot,Elliot,Elliot,1,True,unanimous,Elliot | Elliot | Elliot,False,False,False,0,same_vote_all_wrong
Youtube / One#Night#Ultimate#Werewolf#362#More#Classic#Werewolf / Game1,Kelsey,Kelsey,Kelsey,Pete,1,True,unanimous,Kelsey | Kelsey | Kelsey,False,False,False,0,same_vote_all_wrong
Youtube / Retrovision##ONE#NIGHT#ULTIMATE#WEREWOLF##Retro#7 / Game5,Eric,Eric,Eric,Eric,1,True,unanimous,Eric | Eric | Eric,False,False,False,0,same_vote_all_wrong
