model,game_id,run_label,justification_text,vote,is_correct,n_sentences,category_sentences,relation_sentences,arrangement,sentence_distance,semantic_labels_by_sentence,connectives
Gemma 4 31B,Youtube / One#Night#Ultimate#Werewolf#533#Even#More#Classic#ONUW / Game1,run_2,"Ryan claimed to be the Troublemaker and swapped Katie and Brett. Katie claimed to be the Robber and stole Ryan's Troublemaker card. Brett claimed to be the Tanner. DeAndre claimed to be the Drunk, and since the Drunk swaps their card with one from the center, he is the only player who could have ended the night as a Werewolf if a Werewolf card was in the center. Furthermore, DeAndre jokingly admitted to 'wolfing,' and the other players have converged on him as the most likely Werewolf.",DeAndre,False,5,4,4,same sentence,0,s1:Testimony | s2:Testimony | s3:Testimony | s4:Mechanical+Testimony | s5:SocialJudgment+Behavioral,and(Expansion.Conjunction) | since(Contingency.Cause) | if(Contingency.Condition) | Furthermore(Expansion.Conjunction) | and(Expansion.Conjunction)
Gemma 4 31B,Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF#89##November#30th#2019 / Game2,run_1,"James (Troublemaker) claimed to have swapped Justin and Paul. Paul (Witch) claimed to have swapped Mitchell with a center card. If Paul was the Werewolf or became one through the Witch's ability, the Troublemaker's swap would have transferred the Werewolf role to Justin. Justin himself eventually admits he believes he is now the Werewolf, and the other players reach a consensus to vote him out.",Justin,True,4,3,3,same sentence,0,s1:Testimony | s2:Testimony | s3:Mechanical | s4:Testimony+SocialJudgment,If(Contingency.Condition) | and(Expansion.Conjunction)
Gemma 4 31B,Ego4D / 1a0d3e22-a6d6-4723-91a0-52fc2c87d5ce / Game10,run_1,"Sean's early comment suggesting he knows who the werewolf is implies he may be the Minion, who identifies the Werewolf during the Night phase. If Zack was the starting Werewolf and Hunter was the Troublemaker who swapped Zack and Jacob, the Werewolf card moved to Jacob. Since the Drunk action (performed by Jacob) occurs after the Troublemaker action, Jacob would have swapped the Werewolf card into the center. Consequently, no player currently holds the Werewolf card.",No Werewolf,False,4,"1,2,3",2,same sentence,0,s1:Mechanical+Behavioral | s2:Mechanical | s3:Mechanical,If(Contingency.Condition) | and(Expansion.Conjunction) | Since(Contingency.Cause) | Consequently(Contingency.Cause)
Gemma 4 31B,Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF##Retro#5 / Game3,run_1,"Paul explicitly admits to starting as a Werewolf ('I was a werewolf. A hundred percent') and acknowledges that if Justin (the Troublemaker) did not perform a switch, he remains the Werewolf. Mitchell, claiming to be the Seer, also identifies Paul as a Werewolf. Justin confirms he did not switch any players, which leaves Paul as the most likely Werewolf.",Paul,True,4,2,2,same sentence,0,s1:Testimony | s2:Mechanical | s3:Testimony | s4:Testimony,if(Contingency.Condition) | also(Expansion.Conjunction)
Gemma 4 31B,Ego4D / 3ba069be-60fa-47fc-bd7b-f85bf649a5bd / Game4,run_2,"Kaelan claimed to be the Seer and identified Jessica as the Werewolf. Kevin claimed to be the Troublemaker and stated he swapped the roles of Daniel and Jessica. If Kaelan's information was correct, the swap performed by Kevin would have transferred the Werewolf role from Jessica to Daniel. Furthermore, Daniel's claims were contradictory (claiming to be the Robber at [5] and the Minion at [59]), and he actively attempted to divert suspicion back to Jessica, which is characteristic of a Werewolf.",Daniel,False,4,3,3,same sentence,0,s1:Testimony | s2:Testimony | s3:Mechanical | s4:Testimony+Behavioral+ClaimComparison,If(Contingency.Condition) | Furthermore(Expansion.Conjunction) | and(Expansion.Conjunction)
Gemma 4 31B,Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF##Retro#4 / Game3,run_1,"Mike claims to be the Seer and identifies Mitchell as the Werewolf, but then immediately claims to know that Caitlynn was the Drunk. Since the Seer can only look at one player's card or two center cards, Mike cannot possibly have this information if he is the Seer. Furthermore, his phrasing ('I'm going to say that I was the seer') and the unnatural support from Justin ('I'm going to confirm Mike's story') strongly suggest a coordinated bluff by Team Werewolf.",Mike,False,3,2,2,same sentence,0,s1:Testimony | s2:Mechanical+Testimony | s3:Behavioral,then(Temporal.Asynchronous) | Since(Contingency.Cause) | if(Contingency.Condition) | Furthermore(Expansion.Conjunction)
Gemma 4 31B,Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF#86##November#9th#2019 / Game4,run_2,"Paul claims to be the Seer and saw Mitchell as a Werewolf. Justin claims to be the Troublemaker and states he swapped Mitchell and Mike. If these claims are true, the Werewolf role was moved from Mitchell to Mike. Mike's claim to be the Tanner further supports this, as the Tanner often attempts to attract votes, and if he was swapped with the Werewolf, he would now be the Werewolf while Mitchell became the Tanner.",Mike,True,4,"3,4","3,4",same sentence,0,s1:Testimony | s2:Testimony | s3:Mechanical | s4:Mechanical+Testimony+Behavioral,If(Contingency.Condition) | as(Contingency.Cause) | and(Expansion.Conjunction) | if(Contingency.Condition) | while(Temporal.Synchrony)
Gemma 4 31B,Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF#13##July#29th#2017 / Game3,run_2,"Justin's behavior is highly erratic, as he claims to be the Werewolf, then the Tanner, and finally the Drunk. This pattern of claiming multiple roles, including the Werewolf and the Tanner, is characteristic of the Tanner role, who aims to be voted out to win. Julie, Mitchell, and Mike provide a consistent narrative claiming to be the Seer, Robber, and Troublemaker, respectively. If their claims are true, particularly Julie's observation that Justin was the Drunk, then Justin cannot be the Werewolf, and it is likely that all Werewolf cards are in the center.",No Werewolf,False,4,4,4,same sentence,0,s1:Testimony+Behavioral+ClaimComparison | s2:Behavioral+Payoff | s3:Testimony+ClaimComparison | s4:Mechanical+Testimony,as(Contingency.Cause) | then(Temporal.Asynchronous) | If then(Contingency.Condition) | and(Expansion.Conjunction)
Gemma 4 31B,Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF##Retro#4 / Game7,run_3,"Justin claims to be the Minion and states he saw no werewolves, which Mike (claiming Seer) confirms by stating he saw Justin as the Minion. If these claims are true, no player started as a Werewolf. While the Drunk could have swapped into a Werewolf role, there is no evidence to support this, and the Minion's attempt to convince the group that no werewolves exist is a classic bluff to bait the Village into voting someone out, which would prevent a 'no one dies' victory for the Village. Therefore, the most likely scenario is that all Werewolf cards are in the center.",No Werewolf,True,4,3,2,adjacent sentences,1,s1:Testimony+ClaimComparison | s3:Mechanical+Behavioral+Payoff+Uncertainty,If(Contingency.Condition) | While(Comparison.Contrast) | and(Expansion.Conjunction) | Therefore(Contingency.Cause)
Gemma 4 31B,Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF#64##March#23rd#2019 / Game5,run_2,"James admits to being a Werewolf ('I was a werewolf. I was alone'), and Paul subsequently claims to have robbed James ('I robbed from James'). According to the game rules, the Robber swaps their card with another player's card and takes on that role. If both claims are true, Paul has taken the Werewolf card from James and is now the Werewolf. While Justin claims to be the Tanner, this would mean Paul (the Werewolf) is attempting to divert suspicion toward Justin, which is consistent with the Werewolf's goal.",Paul,False,5,"3,4",4,same sentence,0,s1:Testimony | s2:Testimony | s3:Mechanical | s4:Mechanical | s5:Testimony+Behavioral,and(Expansion.Conjunction) | If(Contingency.Condition) | While(Comparison.Contrast)
