model,feature,representation,block,n_outer_models,selection_freq,positive_selection_freq,negative_selection_freq,median_nonzero_coef,median_selected_lambda
2B,accusation,rate_overall,combined,25,0.28,0.2,0.08,0.010315407086988086,10.0
2B,defense,rate_overall,combined,25,1.0,1.0,0.0,0.20576195014152615,10.0
2B,interrogation,rate_overall,combined,25,0.68,0.64,0.04,0.015749211718943907,10.0
2B,evidence,rate_overall,combined,25,0.2,0.08,0.12,-0.0038104199026672597,10.0
2B,identity_declaration,rate_overall,combined,25,0.56,0.0,0.56,-0.07933414803974814,10.0
2B,call_for_action,rate_overall,combined,25,0.56,0.08,0.48,-0.017499328208411973,10.0
2B,werewolf_accusations_made,rate_overall,combined,25,0.96,0.96,0.0,0.12315097938264949,10.0
2B,deception_accusations_made,rate_overall,combined,25,0.32,0.12,0.2,-0.002946291551049882,10.0
2B,werewolf_accusations_received,rate_overall,combined,25,1.0,1.0,0.0,0.7187106567151929,10.0
2B,deception_accusations_received,rate_overall,combined,25,0.52,0.52,0.0,0.01503735462365731,10.0
2B,claims_werewolf,rate_overall,combined,25,1.0,1.0,0.0,0.4136129960346728,10.0
2B,claims_tanner,rate_overall,combined,25,0.52,0.52,0.0,0.029462100667309046,10.0
2B,claims_night_action_role,rate_overall,combined,25,0.76,0.0,0.76,-0.06963577689812399,10.0
4B,accusation,rate_overall,combined,25,0.24,0.24,0.0,0.019796513688817463,10.0
4B,defense,rate_overall,combined,25,0.92,0.92,0.0,0.07404299241948314,10.0
4B,interrogation,rate_overall,combined,25,0.4,0.0,0.4,-0.029507989104065276,10.0
4B,evidence,rate_overall,combined,25,0.72,0.0,0.72,-0.043557907357249244,10.0
4B,identity_declaration,rate_overall,combined,25,0.76,0.0,0.76,-0.056266208750748566,10.0
4B,call_for_action,rate_overall,combined,25,0.24,0.0,0.24,-0.04605386151591602,10.0
4B,werewolf_accusations_made,rate_overall,combined,25,1.0,1.0,0.0,0.10627264571996207,10.0
4B,deception_accusations_made,rate_overall,combined,25,1.0,0.0,1.0,-0.15854837447383474,10.0
4B,werewolf_accusations_received,rate_overall,combined,25,1.0,1.0,0.0,0.5685726534270279,10.0
4B,deception_accusations_received,rate_overall,combined,25,1.0,1.0,0.0,0.22809530852186216,10.0
4B,claims_werewolf,rate_overall,combined,25,1.0,1.0,0.0,0.9600246063785454,10.0
4B,claims_tanner,rate_overall,combined,25,0.44,0.32,0.12,0.007827747459934867,10.0
4B,claims_night_action_role,rate_overall,combined,25,0.4,0.08,0.32,-0.026861547147040504,10.0
31B,accusation,rate_overall,combined,25,0.36,0.32,0.04,0.024377400843873957,10.0
31B,defense,rate_overall,combined,25,0.72,0.72,0.0,0.08042949637516741,10.0
31B,interrogation,rate_overall,combined,25,0.4,0.0,0.4,-0.0378199034924296,10.0
31B,evidence,rate_overall,combined,25,0.6,0.0,0.6,-0.0592134172980315,10.0
31B,identity_declaration,rate_overall,combined,25,0.56,0.0,0.56,-0.0675880472611406,10.0
31B,call_for_action,rate_overall,combined,25,0.68,0.12,0.56,-0.02461896111823969,10.0
31B,werewolf_accusations_made,rate_overall,combined,25,0.8,0.8,0.0,0.06384196128834523,10.0
31B,deception_accusations_made,rate_overall,combined,25,0.44,0.0,0.44,-0.04399633473109146,10.0
31B,werewolf_accusations_received,rate_overall,combined,25,1.0,1.0,0.0,0.6220380756180033,10.0
31B,deception_accusations_received,rate_overall,combined,25,0.92,0.92,0.0,0.2026956169940652,10.0
31B,claims_werewolf,rate_overall,combined,25,0.92,0.92,0.0,0.12381356167385309,10.0
31B,claims_tanner,rate_overall,combined,25,0.2,0.16,0.04,0.01144120472999309,10.0
31B,claims_night_action_role,rate_overall,combined,25,0.2,0.0,0.2,-0.027336938982618623,10.0
