game_id,run_1,run_2,run_3,greedy_t0,n_unique_votes,all_same,agreement_type,vote_pattern,correct_run_1,correct_run_2,correct_run_3,n_correct_runs,agreement_case
Ego4D / 0a6ef9dc-a2dc-452b-a907-d6fa2ed4cae0 / Game1,Hailey,Hailey,No Werewolf,Hailey,2,False,two_vs_one,Hailey | Hailey | No Werewolf,False,False,False,0,different_votes_all_wrong
Ego4D / 0a6ef9dc-a2dc-452b-a907-d6fa2ed4cae0 / Game2,No Werewolf,No Werewolf,No Werewolf,No Werewolf,1,True,unanimous,No Werewolf | No Werewolf | No Werewolf,False,False,False,0,same_vote_all_wrong
Ego4D / 0c2659db-7bd4-4b37-9b08-4e247befe382 / Game4,Elliot,Ashley,Ashley,Sian,2,False,two_vs_one,Elliot | Ashley | Ashley,False,True,True,2,different_votes_mixed_correctness
Ego4D / 0c2659db-7bd4-4b37-9b08-4e247befe382 / Game5,Chris,No Werewolf,Chris,Chris,2,False,two_vs_one,Chris | No Werewolf | Chris,True,False,True,2,different_votes_mixed_correctness
Ego4D / 0c2659db-7bd4-4b37-9b08-4e247befe382 / Game6,James,Elliot,James,James,2,False,two_vs_one,James | Elliot | James,False,True,False,1,different_votes_mixed_correctness
Ego4D / 0c2659db-7bd4-4b37-9b08-4e247befe382 / Game7,No Werewolf,No Werewolf,No Werewolf,No Werewolf,1,True,unanimous,No Werewolf | No Werewolf | No Werewolf,True,True,True,3,same_vote_all_correct
Ego4D / 0c2659db-7bd4-4b37-9b08-4e247befe382 / Game8,Sian,No Werewolf,Sian,Sian,2,False,two_vs_one,Sian | No Werewolf | Sian,False,False,False,0,different_votes_all_wrong
Ego4D / 0c2659db-7bd4-4b37-9b08-4e247befe382 / Game9,Chris,Chris,James,Chris,2,False,two_vs_one,Chris | Chris | James,True,True,False,2,different_votes_mixed_correctness
Ego4D / 1a0d3e22-a6d6-4723-91a0-52fc2c87d5ce / Game10,Sean,Hunter,Hunter,No Werewolf,2,False,two_vs_one,Sean | Hunter | Hunter,True,False,False,1,different_votes_mixed_correctness
Ego4D / 1a0d3e22-a6d6-4723-91a0-52fc2c87d5ce / Game11,No Werewolf,No Werewolf,No Werewolf,No Werewolf,1,True,unanimous,No Werewolf | No Werewolf | No Werewolf,False,False,False,0,same_vote_all_wrong
Ego4D / 1a0d3e22-a6d6-4723-91a0-52fc2c87d5ce / Game6,Hunter,Hunter,Hunter,Hunter,1,True,unanimous,Hunter | Hunter | Hunter,False,False,False,0,same_vote_all_wrong
Ego4D / 1a0d3e22-a6d6-4723-91a0-52fc2c87d5ce / Game7,Hunter,No Werewolf,Hunter,No Werewolf,2,False,two_vs_one,Hunter | No Werewolf | Hunter,False,False,False,0,different_votes_all_wrong
Ego4D / 1a0d3e22-a6d6-4723-91a0-52fc2c87d5ce / Game8,No Werewolf,Zack,No Werewolf,Zack,2,False,two_vs_one,No Werewolf | Zack | No Werewolf,False,True,False,1,different_votes_mixed_correctness
Ego4D / 1a0d3e22-a6d6-4723-91a0-52fc2c87d5ce / Game9,Sean,Zack,Zack,Zack,2,False,two_vs_one,Sean | Zack | Zack,False,True,True,2,different_votes_mixed_correctness
Ego4D / 2ba4023c-a8bf-43ad-ad5a-80ba222ce990 / Game10,Tyler,Tyler,Tyler,Tyler,1,True,unanimous,Tyler | Tyler | Tyler,True,True,True,3,same_vote_all_correct
Ego4D / 2ba4023c-a8bf-43ad-ad5a-80ba222ce990 / Game6,Clint,Clint,No Werewolf,Clint,2,False,two_vs_one,Clint | Clint | No Werewolf,True,True,False,2,different_votes_mixed_correctness
Ego4D / 2ba4023c-a8bf-43ad-ad5a-80ba222ce990 / Game7,Erin,Erin,Erin,Erin,1,True,unanimous,Erin | Erin | Erin,False,False,False,0,same_vote_all_wrong
Ego4D / 2ba4023c-a8bf-43ad-ad5a-80ba222ce990 / Game8,Erin,Erin,Erin,Erin,1,True,unanimous,Erin | Erin | Erin,False,False,False,0,same_vote_all_wrong
Ego4D / 2ba4023c-a8bf-43ad-ad5a-80ba222ce990 / Game9,Tyler,Erin,Erin,Clint,2,False,two_vs_one,Tyler | Erin | Erin,True,False,False,1,different_votes_mixed_correctness
Ego4D / 324bccd2-adff-4e9a-8ff4-03491e144ac3 / Game1,No Werewolf,No Werewolf,No Werewolf,No Werewolf,1,True,unanimous,No Werewolf | No Werewolf | No Werewolf,False,False,False,0,same_vote_all_wrong
Ego4D / 324bccd2-adff-4e9a-8ff4-03491e144ac3 / Game2,Hunter,No Werewolf,No Werewolf,Hunter,2,False,two_vs_one,Hunter | No Werewolf | No Werewolf,False,False,False,0,different_votes_all_wrong
Ego4D / 324bccd2-adff-4e9a-8ff4-03491e144ac3 / Game3,No Werewolf,No Werewolf,No Werewolf,No Werewolf,1,True,unanimous,No Werewolf | No Werewolf | No Werewolf,False,False,False,0,same_vote_all_wrong
Ego4D / 324bccd2-adff-4e9a-8ff4-03491e144ac3 / Game4,No Werewolf,No Werewolf,No Werewolf,No Werewolf,1,True,unanimous,No Werewolf | No Werewolf | No Werewolf,False,False,False,0,same_vote_all_wrong
Ego4D / 324bccd2-adff-4e9a-8ff4-03491e144ac3 / Game5,Sean,No Werewolf,Sean,Jacob,2,False,two_vs_one,Sean | No Werewolf | Sean,True,False,True,2,different_votes_mixed_correctness
Ego4D / 3ba069be-60fa-47fc-bd7b-f85bf649a5bd / Game1,No Werewolf,No Werewolf,No Werewolf,No Werewolf,1,True,unanimous,No Werewolf | No Werewolf | No Werewolf,False,False,False,0,same_vote_all_wrong
Ego4D / 3ba069be-60fa-47fc-bd7b-f85bf649a5bd / Game2,No Werewolf,No Werewolf,Kaelan,No Werewolf,2,False,two_vs_one,No Werewolf | No Werewolf | Kaelan,True,True,False,2,different_votes_mixed_correctness
Ego4D / 3ba069be-60fa-47fc-bd7b-f85bf649a5bd / Game3,Jessica,Jessica,Jessica,Jessica,1,True,unanimous,Jessica | Jessica | Jessica,True,True,True,3,same_vote_all_correct
Ego4D / 3ba069be-60fa-47fc-bd7b-f85bf649a5bd / Game4,Daniel,No Werewolf,Daniel,Daniel,2,False,two_vs_one,Daniel | No Werewolf | Daniel,False,True,False,1,different_votes_mixed_correctness
Ego4D / 3ba069be-60fa-47fc-bd7b-f85bf649a5bd / Game5,Daniel,Daniel,Daniel,Daniel,1,True,unanimous,Daniel | Daniel | Daniel,False,False,False,0,same_vote_all_wrong
Ego4D / 3ba069be-60fa-47fc-bd7b-f85bf649a5bd / Game6,No Werewolf,No Werewolf,No Werewolf,No Werewolf,1,True,unanimous,No Werewolf | No Werewolf | No Werewolf,True,True,True,3,same_vote_all_correct
Ego4D / 62c4bc58-3776-4791-ac30-4c9ca5619503 / Game10,No Werewolf,No Werewolf,No Werewolf,No Werewolf,1,True,unanimous,No Werewolf | No Werewolf | No Werewolf,False,False,False,0,same_vote_all_wrong
Ego4D / 62c4bc58-3776-4791-ac30-4c9ca5619503 / Game11,Kaelan,Jessica,Kaelan,No Werewolf,2,False,two_vs_one,Kaelan | Jessica | Kaelan,False,False,False,0,different_votes_all_wrong
Ego4D / 62c4bc58-3776-4791-ac30-4c9ca5619503 / Game12,No Werewolf,Daniel,No Werewolf,No Werewolf,2,False,two_vs_one,No Werewolf | Daniel | No Werewolf,True,False,True,2,different_votes_mixed_correctness
