occurrence_id,model,game_id,session_name,run_label,run_number,decoding_group,justification_id,sentence_id,sentence_text,candidate_surface,connective_surface,char_spans,start,end,n_char_spans,is_discontinuous,is_connective,raw_sense,top_level,confidence,relation_type
0,Gemma 4 2B,Ego4D / 0a6ef9dc-a2dc-452b-a907-d6fa2ed4cae0 / Game1,0a6ef9dc-a2dc-452b-a907-d6fa2ed4cae0,run_1,1,Stochastic,0,2,"The voting phase concluded with Erin being eliminated, suggesting that the Werewolf was successfully identified and voted out.",and,and,207-210,207,210,1,False,False,NoSense,,0.999998927116394,Explicit
1,Gemma 4 2B,Ego4D / 0a6ef9dc-a2dc-452b-a907-d6fa2ed4cae0 / Game1,0a6ef9dc-a2dc-452b-a907-d6fa2ed4cae0,run_1,1,Stochastic,0,3,"Since Team Village wins by eliminating a Werewolf, voting for Erin is the action that aligns with the stated goal of winning the game.",since,Since,222-227,222,227,1,False,True,Contingency.Cause,Contingency,0.9227921366691589,Explicit
2,Gemma 4 2B,Ego4D / 0a6ef9dc-a2dc-452b-a907-d6fa2ed4cae0 / Game1,0a6ef9dc-a2dc-452b-a907-d6fa2ed4cae0,run_1,1,Stochastic,0,3,"Since Team Village wins by eliminating a Werewolf, voting for Erin is the action that aligns with the stated goal of winning the game.",for,for,280-283,280,283,1,False,False,NoSense,,1.0,Explicit
3,Gemma 4 2B,Ego4D / 0a6ef9dc-a2dc-452b-a907-d6fa2ed4cae0 / Game2,0a6ef9dc-a2dc-452b-a907-d6fa2ed4cae0,run_1,1,Stochastic,1,1,The discussion primarily revolves around card swapping and identity confusion rather than concrete evidence pointing to a specific Werewolf.,and,and,55-58,55,58,1,False,False,NoSense,,0.9999959468841553,Explicit
4,Gemma 4 2B,Ego4D / 0a6ef9dc-a2dc-452b-a907-d6fa2ed4cae0 / Game2,0a6ef9dc-a2dc-452b-a907-d6fa2ed4cae0,run_1,1,Stochastic,1,1,The discussion primarily revolves around card swapping and identity confusion rather than concrete evidence pointing to a specific Werewolf.,rather,rather,78-84,78,84,1,False,False,NoSense,,0.9999939203262329,Explicit
5,Gemma 4 2B,Ego4D / 0a6ef9dc-a2dc-452b-a907-d6fa2ed4cae0 / Game2,0a6ef9dc-a2dc-452b-a907-d6fa2ed4cae0,run_1,1,Stochastic,1,2,"Players are debating various theories about who might be lying or who might have swapped roles, but no player is definitively accused or linked to the Werewolf role.",or,or,204-206,204,206,1,False,True,Expansion.Alternative,Expansion,0.9185805320739746,Explicit
6,Gemma 4 2B,Ego4D / 0a6ef9dc-a2dc-452b-a907-d6fa2ed4cae0 / Game2,0a6ef9dc-a2dc-452b-a907-d6fa2ed4cae0,run_1,1,Stochastic,1,2,"Players are debating various theories about who might be lying or who might have swapped roles, but no player is definitively accused or linked to the Werewolf role.",but,but,237-240,237,240,1,False,True,Comparison.Contrast,Comparison,0.5833709239959717,Explicit
7,Gemma 4 2B,Ego4D / 0a6ef9dc-a2dc-452b-a907-d6fa2ed4cae0 / Game2,0a6ef9dc-a2dc-452b-a907-d6fa2ed4cae0,run_1,1,Stochastic,1,2,"Players are debating various theories about who might be lying or who might have swapped roles, but no player is definitively accused or linked to the Werewolf role.",or,or,275-277,275,277,1,False,False,NoSense,,0.9999986886978149,Explicit
8,Gemma 4 2B,Ego4D / 0a6ef9dc-a2dc-452b-a907-d6fa2ed4cae0 / Game2,0a6ef9dc-a2dc-452b-a907-d6fa2ed4cae0,run_1,1,Stochastic,1,3,"Since there is no clear consensus or strong accusation, I cannot confidently identify a Werewolf.",since,Since,307-312,307,312,1,False,True,Contingency.Cause,Contingency,0.9908015131950378,Explicit
9,Gemma 4 2B,Ego4D / 0a6ef9dc-a2dc-452b-a907-d6fa2ed4cae0 / Game2,0a6ef9dc-a2dc-452b-a907-d6fa2ed4cae0,run_1,1,Stochastic,1,3,"Since there is no clear consensus or strong accusation, I cannot confidently identify a Werewolf.",or,or,341-343,341,343,1,False,False,NoSense,,1.0,Explicit
10,Gemma 4 2B,Ego4D / 0c2659db-7bd4-4b37-9b08-4e247befe382 / Game4,0c2659db-7bd4-4b37-9b08-4e247befe382,run_1,1,Stochastic,2,1,"Ashley explicitly claimed to be the Werewolf during the discussion, which is a strong indicator for Team Werewolf.",for,for,96-99,96,99,1,False,False,NoSense,,1.0,Explicit
11,Gemma 4 2B,Ego4D / 0c2659db-7bd4-4b37-9b08-4e247befe382 / Game4,0c2659db-7bd4-4b37-9b08-4e247befe382,run_1,1,Stochastic,2,2,"While other players like Sukeshi are also suspected, Ashley's self-identification provides the most direct path to eliminating a Werewolf and securing a Team Village victory.",while,While,115-120,115,120,1,False,True,Comparison.Contrast,Comparison,0.8700500726699829,Explicit
12,Gemma 4 2B,Ego4D / 0c2659db-7bd4-4b37-9b08-4e247befe382 / Game4,0c2659db-7bd4-4b37-9b08-4e247befe382,run_1,1,Stochastic,2,2,"While other players like Sukeshi are also suspected, Ashley's self-identification provides the most direct path to eliminating a Werewolf and securing a Team Village victory.",also,also,152-156,152,156,1,False,True,Expansion.Conjunction,Expansion,0.991638720035553,Explicit
13,Gemma 4 2B,Ego4D / 0c2659db-7bd4-4b37-9b08-4e247befe382 / Game4,0c2659db-7bd4-4b37-9b08-4e247befe382,run_1,1,Stochastic,2,2,"While other players like Sukeshi are also suspected, Ashley's self-identification provides the most direct path to eliminating a Werewolf and securing a Team Village victory.",and,and,253-256,253,256,1,False,False,NoSense,,0.9999479055404663,Explicit
14,Gemma 4 2B,Ego4D / 0c2659db-7bd4-4b37-9b08-4e247befe382 / Game4,0c2659db-7bd4-4b37-9b08-4e247befe382,run_1,1,Stochastic,2,3,Voting for her maximizes the chance of eliminating a Werewolf.,for,for,297-300,297,300,1,False,False,NoSense,,1.0,Explicit
15,Gemma 4 2B,Ego4D / 0c2659db-7bd4-4b37-9b08-4e247befe382 / Game5,0c2659db-7bd4-4b37-9b08-4e247befe382,run_1,1,Stochastic,3,1,"The discussion is highly confusing due to multiple role swaps and accusations, but James is repeatedly identified as the Doppelganger and is accused of being a Werewolf by multiple players (Sian, Chris, and himself).",and,and,62-65,62,65,1,False,False,NoSense,,1.0,Explicit
16,Gemma 4 2B,Ego4D / 0c2659db-7bd4-4b37-9b08-4e247befe382 / Game5,0c2659db-7bd4-4b37-9b08-4e247befe382,run_1,1,Stochastic,3,1,"The discussion is highly confusing due to multiple role swaps and accusations, but James is repeatedly identified as the Doppelganger and is accused of being a Werewolf by multiple players (Sian, Chris, and himself).",but,but,79-82,79,82,1,False,True,Comparison.Contrast,Comparison,0.6839290261268616,Explicit
17,Gemma 4 2B,Ego4D / 0c2659db-7bd4-4b37-9b08-4e247befe382 / Game5,0c2659db-7bd4-4b37-9b08-4e247befe382,run_1,1,Stochastic,3,1,"The discussion is highly confusing due to multiple role swaps and accusations, but James is repeatedly identified as the Doppelganger and is accused of being a Werewolf by multiple players (Sian, Chris, and himself).",as,as,114-116,114,116,1,False,False,NoSense,,1.0,Explicit
18,Gemma 4 2B,Ego4D / 0c2659db-7bd4-4b37-9b08-4e247befe382 / Game5,0c2659db-7bd4-4b37-9b08-4e247befe382,run_1,1,Stochastic,3,1,"The discussion is highly confusing due to multiple role swaps and accusations, but James is repeatedly identified as the Doppelganger and is accused of being a Werewolf by multiple players (Sian, Chris, and himself).",and,and,134-137,134,137,1,False,False,NoSense,,0.9999494552612305,Explicit
