model,metric,level,n_games,base,ft,delta,ci_low,ci_high,ci_excludes_zero
Gemma 4 2B,Comparison.Concession,sense,190,0.02159880547469703,0.01902659739674228,-0.0025722080779547497,-0.02410600431069397,0.018788152376332565,False
Gemma 4 2B,Comparison.Contrast,sense,190,0.9169484795394771,0.9496454508620152,0.032696971322538126,-0.06826224503739783,0.12999929793291798,False
Gemma 4 2B,Contingency.Cause,sense,190,0.9576034434393229,1.1048961585515709,0.14729271511224795,0.047338257517221385,0.24910790143802233,True
Gemma 4 2B,Contingency.Condition,sense,190,0.18076221904027326,0.17719399805734234,-0.003568220982930914,-0.06582952880311009,0.058793871460965944,False
Gemma 4 2B,Expansion.Alternative,sense,190,0.03502174147355399,0.02172152569867707,-0.01330021577487692,-0.040436194281724167,0.016219164813581845,False
Gemma 4 2B,Expansion.Conjunction,sense,190,0.9357408184241343,1.1678213258100338,0.23208050738589958,0.10069074524075304,0.364663881171665,True
Gemma 4 2B,Expansion.Restatement,sense,190,0.0,0.0,0.0,0.0,0.0,False
Gemma 4 2B,Temporal.Asynchronous,sense,190,0.18607538325232387,0.28919917190973893,0.10312378865741506,0.03498775722067767,0.17102491094154473,True
Gemma 4 2B,Temporal.Synchrony,sense,190,0.08631926519447018,0.06290881948537208,-0.0234104457090981,-0.06386211616412624,0.01744589896220203,False
Gemma 4 4B,Comparison.Concession,sense,191,0.01493044250389257,0.013567828002659014,-0.0013626145012335562,-0.01681449875073455,0.013985869594006883,False
Gemma 4 4B,Comparison.Contrast,sense,191,1.1862870824529013,1.0461542782233828,-0.14013280422951846,-0.2277064860427882,-0.05277538622256685,True
Gemma 4 4B,Contingency.Cause,sense,191,0.4303394961396476,0.34024969294186896,-0.09008980319777865,-0.16216182825014008,-0.01986542249354324,True
Gemma 4 4B,Contingency.Condition,sense,191,0.07883144110180756,0.05637437845229237,-0.02245706264951519,-0.05994063246294872,0.01255866907430455,False
Gemma 4 4B,Expansion.Alternative,sense,191,0.0042732303484819345,0.006740025189604255,0.0024667948411223207,-0.006407422368321303,0.011544517417409835,False
Gemma 4 4B,Expansion.Conjunction,sense,191,0.6474230993763611,0.73041857135709,0.08299547198072887,-0.01794341681880985,0.18211169891138854,False
Gemma 4 4B,Expansion.Restatement,sense,191,0.0,0.0,0.0,0.0,0.0,False
Gemma 4 4B,Temporal.Asynchronous,sense,191,0.3280756467668948,0.2433926182489953,-0.08468302851789952,-0.15008925750687618,-0.02029053220543709,True
Gemma 4 4B,Temporal.Synchrony,sense,191,0.11081058504967872,0.07885852170203227,-0.031952063347646456,-0.0818843559973877,0.016661538629951844,False
Gemma 4 31B,Comparison.Concession,sense,188,0.023442298873927802,0.02235279307888402,-0.0010895057950437818,-0.02070011226957789,0.018163472979080664,False
Gemma 4 31B,Comparison.Contrast,sense,188,0.6664657512844064,0.6935417395489253,0.027075988264518847,-0.06108442220978147,0.1198361919094127,False
Gemma 4 31B,Contingency.Cause,sense,188,0.5910819970355884,0.5467498470966704,-0.044332149938917986,-0.12862773350827056,0.040541278601785954,False
Gemma 4 31B,Contingency.Condition,sense,188,0.4832700298978392,0.4672671216739679,-0.016002908223871293,-0.10210242934803905,0.07027445356069162,False
Gemma 4 31B,Expansion.Alternative,sense,188,0.02350338911188368,0.0323165542651481,0.008813165153264423,-0.01460341532208236,0.033176776014155966,False
Gemma 4 31B,Expansion.Conjunction,sense,188,0.9969891853662917,1.0883574284431778,0.09136824307688618,-0.0211894557971416,0.20255041452915037,False
Gemma 4 31B,Expansion.Restatement,sense,188,0.0023623907394283014,0.0,-0.0023623907394283014,-0.007175158168293322,0.0,False
Gemma 4 31B,Temporal.Asynchronous,sense,188,0.6217656205930014,0.6637278202543173,0.04196219966131587,-0.058101067457743724,0.14405405686270245,False
Gemma 4 31B,Temporal.Synchrony,sense,188,0.13823649039382874,0.11189362065550967,-0.026342869738319064,-0.08080691905231416,0.029135641765678896,False
