model,feature,column,beta_ci_lo,beta_ci_hi,odds_ratio_ci_lo,odds_ratio_ci_hi,n_boot_used,n_failures,beta,odds_ratio
2B,accusation,accusation,-0.1821219306109492,0.1483559408797177,0.8334997050913648,1.1599256878636761,1000,0,0.007020943766564579,1.0070456483749637
2B,defense,defense,-0.006463723510371231,0.3748750217882373,0.9935571214143136,1.4548095837557569,1000,0,0.20078750061809308,1.2223649924174698
2B,interrogation,interrogation,-0.36668158752159635,0.027866047515782685,0.6930302794050349,1.0282579374907161,1000,0,-0.1401604432257898,0.8692187639480754
2B,evidence,evidence,-0.2506425124947329,0.19902948086431485,0.7783005545561181,1.220217938449097,1000,0,0.008867183066682662,1.0089066129924058
2B,identity_declaration,identity_declaration,-0.4794265818765805,0.11388821481849638,0.6191383151674923,1.1206268484066095,1000,0,-0.19611097940974517,0.8219210133075192
2B,call_for_action,call_for_action,-0.29241457111679503,0.11050675740150535,0.7464590114718036,1.1168438959892433,1000,0,-0.09238650772361441,0.9117526819801487
2B,werewolf_accusations_made,werewolf_accusations_made,0.18030801978082528,0.5163478289153836,1.197586186551139,1.6758958010490268,1000,0,0.3393043946838,1.4039706413755326
2B,deception_accusations_made,deception_accusations_made,-0.2633884970519461,0.18879942387475407,0.7684433013559272,1.2077986726081058,1000,0,-0.04532005208472764,0.9556915618038277
2B,werewolf_accusations_received,werewolf_accusations_received,0.719458849438662,1.1311002137956887,2.0533217537186097,3.0990642584004466,1000,0,0.894086043402032,2.445100052608942
2B,deception_accusations_received,deception_accusations_received,-0.1915503534609007,0.19073758603225388,0.8256780483124017,1.2101418522868168,1000,0,0.026020697987768578,1.0263621918856871
2B,claims_werewolf,claims_werewolf,0.17218041783949545,0.5977058325228921,1.1878921308135646,1.8179433461262695,1000,0,0.37246306318575456,1.4513048715746582
2B,claims_tanner,claims_tanner,-0.1651931395592516,0.1743873677902378,0.8477299580850405,1.1905166443128676,1000,0,0.0004769523711364003,1.0004770661310038
2B,claims_night_action_role,claims_night_action_role,-0.23158281757016322,0.3223979110456916,0.7932769955093704,1.3804339566066586,1000,0,0.03606884529310544,1.036727217823287
4B,accusation,accusation,-0.16087994869971348,0.013218535113675817,0.8513942759620012,1.0133062861694722,1000,0,-0.07083788031890975,0.9316129126738621
4B,defense,defense,-0.061817782718358714,0.13775836981861156,0.9400541653002594,1.1476981982433967,1000,0,0.04288293007387273,1.043815688271878
4B,interrogation,interrogation,-0.2374858578097611,-0.009499490163396207,0.7886080435471914,0.990545487459119,1000,0,-0.11620789021831093,0.8902901214499992
4B,evidence,evidence,-0.1740903377725924,0.06652994014672521,0.8402209905370724,1.068792963414282,1000,0,-0.04269446600445118,0.9582041092769773
4B,identity_declaration,identity_declaration,-0.03130890699151004,0.19347214965003598,0.9691761415440325,1.2134555909180191,1000,0,0.08219234495457814,1.085664611858352
4B,call_for_action,call_for_action,-0.08449197308965407,0.09784848638193559,0.9189790319095252,1.1027956838857207,1000,0,0.014300499432372297,1.0144032407408587
4B,werewolf_accusations_made,werewolf_accusations_made,-0.19246961976979815,0.1092253423741441,0.8249193790635581,1.1154136719886747,1000,0,-0.02986444494291504,0.9705770912646616
4B,deception_accusations_made,deception_accusations_made,-0.12857840451461142,0.034241466400607656,0.8793446151278366,1.034834454312913,1000,0,-0.04799197909021619,0.9531414321082828
4B,werewolf_accusations_received,werewolf_accusations_received,0.34250186684291056,0.5959453431844115,1.4084669830463765,1.8147456917915148,1000,0,0.4711926539780407,1.6019035710439447
4B,deception_accusations_received,deception_accusations_received,0.022812276986447434,0.21994225777662196,1.0230744668975384,1.2460047814237294,1000,0,0.11853425334785332,1.1258454374169173
4B,claims_werewolf,claims_werewolf,0.2946694224894612,0.5167277044920195,1.342682424699622,1.6765325538685971,1000,0,0.4031585538313583,1.4965441556632046
4B,claims_tanner,claims_tanner,-0.051431310834035265,0.11332148440637195,0.9498688934234796,1.1199919350203307,1000,0,0.025941978256421583,1.0262814001096725
4B,claims_night_action_role,claims_night_action_role,-0.23929943215759938,-0.010607580043797355,0.7871791403316686,0.9894484819309984,1000,0,-0.13355127074541284,0.8749826068170935
