marker,provisional_category,possible_categories,n_possible_categories,category_scores,dominance_share,exact_tie,assignment_method,possible_senses,is_discontinuous,components,n_components,component_variants_json,assigned_category,manually_overridden,matching_mode,use_for_contiguous_matching,use_for_discontinuous_matching,included_in_matching,use_for_matching
although,Comparison,Comparison | Expansion,2,Comparison: 327 | Expansion: 1,0.9969512195121951,False,highest summed DiMLex frequency,Comparison | Comparison.Concession | Comparison.Concession.Contra-expectation | Comparison.Concession.Expectation | Comparison.Contrast | Comparison.Contrast.Juxtaposition | Comparison.Contrast.Opposition | Expansion.Exception,False,,1,[],Comparison,False,contiguous,True,False,True,True
as though,Comparison,Comparison | Expansion,2,Comparison: 3 | Expansion: 2,0.6,False,highest summed DiMLex frequency,Comparison | Expansion.Restatement.Specification,False,,1,[],Comparison,False,contiguous,True,False,True,True
at the same time,Comparison,Comparison | Expansion | Temporal,3,Comparison: 1 | Expansion: 1 | Temporal: 1,0.3333333333333333,True,largest number of DiMLex sense entries,Comparison.Contrast.Opposition | Expansion.List | Temporal.Synchronous,False,,1,[],Comparison,False,contiguous,True,False,True,True
but,Comparison,Comparison | Expansion | Temporal | Contingency,4,Comparison: 3215 | Expansion: 90 | Temporal: 2 | Contingency: 1,0.9718863361547763,False,highest summed DiMLex frequency,Comparison | Comparison.Concession | Comparison.Concession.Contra-expectation | Comparison.Concession.Expectation | Comparison.Contrast | Comparison.Contrast.Juxtaposition | Comparison.Contrast.Opposition | Comparison.Pragmatic concession | Comparison.Pragmatic contrast | Contingency.Cause.Result | Expansion | Expansion.Alternative.Chosen alternative | Expansion.Conjunction | Expansion.Exception | Expansion.Restatement.Specification | Temporal.Asynchronous.Precedence,False,,1,[],Comparison,False,contiguous,True,False,True,True
by comparison,Comparison,Comparison,1,Comparison: 11,1.0,False,highest summed DiMLex frequency,Comparison | Comparison.Contrast | Comparison.Contrast.Juxtaposition,False,,1,[],Comparison,False,contiguous,True,False,True,True
by contrast,Comparison,Comparison,1,Comparison: 27,1.0,False,highest summed DiMLex frequency,Comparison.Contrast | Comparison.Contrast.Juxtaposition | Comparison.Contrast.Opposition,False,,1,[],Comparison,False,contiguous,True,False,True,True
by the way,Comparison,Comparison | Expansion,2,Comparison: 1 | Expansion: 1,0.5,True,largest number of DiMLex sense entries,Comparison.Contrast.Juxtaposition | Expansion.Conjunction,False,,1,[],Comparison,False,contiguous,True,False,True,True
conversely,Comparison,Comparison,1,Comparison: 2,1.0,False,highest summed DiMLex frequency,Comparison.Contrast,False,,1,[],Comparison,False,contiguous,True,False,True,True
despite,Comparison,Comparison,1,Comparison: 1,1.0,False,largest number of DiMLex sense entries,Comparison.Concession.Expectation,False,,1,[],Comparison,False,contiguous,True,False,True,True
even if,Comparison,Comparison,1,Comparison: 1,1.0,False,largest number of DiMLex sense entries,Comparison.Concession.Expectation,False,,1,[],Comparison,False,contiguous,True,False,True,True
even so,Comparison,Comparison,1,Comparison: 1,1.0,False,largest number of DiMLex sense entries,Comparison.Concession.Contra-Expectation,False,,1,[],Comparison,False,contiguous,True,False,True,True
even though,Comparison,Comparison,1,Comparison: 1,1.0,False,largest number of DiMLex sense entries,Comparison.Concession.Expectation,False,,1,[],Comparison,False,contiguous,True,False,True,True
however,Comparison,Comparison | Expansion,2,Comparison: 483 | Expansion: 2,0.9958762886597938,False,highest summed DiMLex frequency,Comparison | Comparison.Concession | Comparison.Concession.Contra-expectation | Comparison.Concession.Expectation | Comparison.Contrast | Comparison.Contrast.Juxtaposition | Comparison.Contrast.Opposition | Comparison.Pragmatic concession | Comparison.Pragmatic contrast | Expansion.Conjunction,False,,1,[],Comparison,False,contiguous,True,False,True,True
in contrast,Comparison,Comparison,1,Comparison: 12,1.0,False,highest summed DiMLex frequency,Comparison.Contrast | Comparison.Contrast.Juxtaposition | Comparison.Contrast.Opposition,False,,1,[],Comparison,False,contiguous,True,False,True,True
in spite of,Comparison,Comparison,1,Comparison: 1,1.0,False,largest number of DiMLex sense entries,Comparison.Concession.Expectation,False,,1,[],Comparison,False,contiguous,True,False,True,True
instead of,Comparison,Comparison | Expansion,2,Comparison: 1 | Expansion: 1,0.5,True,largest number of DiMLex sense entries,Comparison.Contrast.Opposition | Expansion.Alternative.Chosen Alternative,False,,1,[],Comparison,False,contiguous,True,False,True,True
much as,Comparison,Comparison | Expansion,2,Comparison: 3 | Expansion: 3,0.5,True,highest summed DiMLex frequency,Comparison | Comparison.Concession.Expectation | Expansion.Alternative.Chosen alternative | Expansion.Restatement.Specification,False,,1,[],Comparison,False,contiguous,True,False,True,True
nevertheless,Comparison,Comparison,1,Comparison: 44,1.0,False,highest summed DiMLex frequency,Comparison | Comparison.Concession.Contra-expectation | Comparison.Contrast | Comparison.Contrast.Juxtaposition | Comparison.Contrast.Opposition | Comparison.Pragmatic concession,False,,1,[],Comparison,False,contiguous,True,False,True,True
nonetheless,Comparison,Comparison | Expansion,2,Comparison: 26 | Expansion: 1,0.9629629629629629,False,highest summed DiMLex frequency,Comparison | Comparison.Concession.Contra-expectation | Comparison.Contrast | Expansion.Conjunction,False,,1,[],Comparison,False,contiguous,True,False,True,True
