model,feature,representation,block,n_outer_models,selection_freq,positive_selection_freq,negative_selection_freq,median_nonzero_coef,median_selected_lambda
2B,accusation,count_overall,combined,25,0.12,0.08,0.04,0.00210805885919438,10.0
2B,defense,count_overall,combined,25,1.0,1.0,0.0,0.10966867260149915,10.0
2B,interrogation,count_overall,combined,25,1.0,0.0,1.0,-0.09323065951158171,10.0
2B,evidence,count_overall,combined,25,0.36,0.28,0.08,0.018305036049138187,10.0
2B,identity_declaration,count_overall,combined,25,0.84,0.0,0.84,-0.09305208346857159,10.0
2B,call_for_action,count_overall,combined,25,0.8,0.0,0.8,-0.057910930897521064,10.0
2B,werewolf_accusations_made,count_overall,combined,25,1.0,1.0,0.0,0.25790552344402184,10.0
2B,deception_accusations_made,count_overall,combined,25,0.6,0.16,0.44,-0.020986182971606877,10.0
2B,werewolf_accusations_received,count_overall,combined,25,1.0,1.0,0.0,0.8450134029175407,10.0
2B,deception_accusations_received,count_overall,combined,25,0.56,0.48,0.08,0.02744614813757694,10.0
2B,claims_werewolf,count_overall,combined,25,1.0,1.0,0.0,0.3175487867474865,10.0
2B,claims_tanner,count_overall,combined,25,0.48,0.12,0.36,-0.015998380132366184,10.0
2B,claims_night_action_role,count_overall,combined,25,0.44,0.12,0.32,-0.028159278860520963,10.0
4B,accusation,count_overall,combined,25,0.76,0.0,0.76,-0.0483097006480487,10.0
4B,defense,count_overall,combined,25,0.32,0.32,0.0,0.022512086668128505,10.0
4B,interrogation,count_overall,combined,25,1.0,0.0,1.0,-0.12426504322298605,10.0
4B,evidence,count_overall,combined,25,0.48,0.0,0.48,-0.022290955966290202,10.0
4B,identity_declaration,count_overall,combined,25,0.24,0.2,0.04,0.02216766995970429,10.0
4B,call_for_action,count_overall,combined,25,0.08,0.08,0.0,0.03327482426628405,10.0
4B,werewolf_accusations_made,count_overall,combined,25,0.24,0.04,0.2,-0.007683025603763257,10.0
4B,deception_accusations_made,count_overall,combined,25,0.96,0.0,0.96,-0.04717124574927378,10.0
4B,werewolf_accusations_received,count_overall,combined,25,1.0,1.0,0.0,0.5930466319462869,10.0
4B,deception_accusations_received,count_overall,combined,25,1.0,1.0,0.0,0.08936945678963108,10.0
4B,claims_werewolf,count_overall,combined,25,1.0,1.0,0.0,0.5031293869136994,10.0
4B,claims_tanner,count_overall,combined,25,0.44,0.44,0.0,0.014130381805349214,10.0
4B,claims_night_action_role,count_overall,combined,25,1.0,0.0,1.0,-0.08212133641404964,10.0
