model,feature,representation,block,n_outer_models,selection_freq,positive_selection_freq,negative_selection_freq,median_nonzero_coef,median_selected_lambda
2B,accusation,rate_overall,combined,25,0.08,0.08,0.0,0.019568621291123873,10.0
2B,defense,rate_overall,combined,25,1.0,1.0,0.0,0.23477906080606464,10.0
2B,interrogation,rate_overall,combined,25,0.48,0.44,0.04,0.03053041852151097,10.0
2B,evidence,rate_overall,combined,25,0.28,0.08,0.2,-0.013153422601571929,10.0
2B,identity_declaration,rate_overall,combined,25,0.84,0.0,0.84,-0.0438098573528175,10.0
2B,call_for_action,rate_overall,combined,25,0.68,0.12,0.56,-0.019062519482761765,10.0
2B,werewolf_accusations_made,rate_overall,combined,25,0.92,0.92,0.0,0.11265334365932421,10.0
2B,deception_accusations_made,rate_overall,combined,25,0.36,0.0,0.36,-0.02414157354508869,10.0
2B,werewolf_accusations_received,rate_overall,combined,25,1.0,1.0,0.0,0.7503188322524842,10.0
2B,deception_accusations_received,rate_overall,combined,25,0.72,0.72,0.0,0.04734625655668841,10.0
2B,claims_werewolf,rate_overall,combined,25,1.0,1.0,0.0,0.2825742882611767,10.0
2B,claims_tanner,rate_overall,combined,25,0.2,0.0,0.2,-0.012944129416284896,10.0
2B,claims_night_action_role,rate_overall,combined,25,0.44,0.0,0.44,-0.04073160000434662,10.0
4B,accusation,rate_overall,combined,25,0.76,0.0,0.76,-0.04333479128435257,10.0
4B,defense,rate_overall,combined,25,1.0,1.0,0.0,0.05649577785147789,10.0
4B,interrogation,rate_overall,combined,25,0.8,0.0,0.8,-0.05791986418712512,10.0
4B,evidence,rate_overall,combined,25,0.48,0.0,0.48,-0.015963458795465943,10.0
4B,identity_declaration,rate_overall,combined,25,0.12,0.0,0.12,-0.03529956026614386,10.0
4B,call_for_action,rate_overall,combined,25,0.28,0.28,0.0,0.020440434358827347,10.0
4B,werewolf_accusations_made,rate_overall,combined,25,0.36,0.0,0.36,-0.03907471750907722,10.0
4B,deception_accusations_made,rate_overall,combined,25,0.84,0.0,0.84,-0.05217945555356926,10.0
4B,werewolf_accusations_received,rate_overall,combined,25,1.0,1.0,0.0,0.5335074580915236,10.0
4B,deception_accusations_received,rate_overall,combined,25,1.0,1.0,0.0,0.10387360206144634,10.0
4B,claims_werewolf,rate_overall,combined,25,1.0,1.0,0.0,0.5110697434699051,10.0
4B,claims_tanner,rate_overall,combined,25,0.16,0.16,0.0,0.027478714407466055,10.0
4B,claims_night_action_role,rate_overall,combined,25,0.88,0.0,0.88,-0.0641220239913339,10.0
