model,decoding_group,run_label,semantic_category,discourse_relation,n_semantic_sentences,n_joint_sentences,conditional_prevalence,support_is_thin,thin_support_threshold
Gemma 4 2B,Stochastic,run_1,Mechanical,Comparison,5,1,0.2,True,30
Gemma 4 2B,Stochastic,run_1,Mechanical,Contingency,5,1,0.2,True,30
Gemma 4 2B,Stochastic,run_1,Mechanical,Expansion,5,3,0.6,True,30
Gemma 4 2B,Stochastic,run_1,Mechanical,Temporal,5,0,0.0,True,30
Gemma 4 2B,Stochastic,run_1,Mechanical,Any explicit,5,3,0.6,True,30
Gemma 4 2B,Stochastic,run_1,Testimony,Comparison,140,39,0.2785714285714286,False,30
Gemma 4 2B,Stochastic,run_1,Testimony,Contingency,140,8,0.05714285714285714,False,30
Gemma 4 2B,Stochastic,run_1,Testimony,Expansion,140,48,0.34285714285714286,False,30
Gemma 4 2B,Stochastic,run_1,Testimony,Temporal,140,19,0.1357142857142857,False,30
Gemma 4 2B,Stochastic,run_1,Testimony,Any explicit,140,92,0.6571428571428571,False,30
Gemma 4 2B,Stochastic,run_1,SocialJudgment,Comparison,203,54,0.2660098522167488,False,30
Gemma 4 2B,Stochastic,run_1,SocialJudgment,Contingency,203,21,0.10344827586206896,False,30
Gemma 4 2B,Stochastic,run_1,SocialJudgment,Expansion,203,50,0.24630541871921183,False,30
Gemma 4 2B,Stochastic,run_1,SocialJudgment,Temporal,203,25,0.12315270935960591,False,30
Gemma 4 2B,Stochastic,run_1,SocialJudgment,Any explicit,203,126,0.6206896551724138,False,30
Gemma 4 2B,Stochastic,run_1,Behavioral,Comparison,41,9,0.21951219512195122,False,30
Gemma 4 2B,Stochastic,run_1,Behavioral,Contingency,41,7,0.17073170731707318,False,30
Gemma 4 2B,Stochastic,run_1,Behavioral,Expansion,41,5,0.12195121951219512,False,30
Gemma 4 2B,Stochastic,run_1,Behavioral,Temporal,41,5,0.12195121951219512,False,30
Gemma 4 2B,Stochastic,run_1,Behavioral,Any explicit,41,22,0.5365853658536586,False,30
Gemma 4 2B,Stochastic,run_1,ClaimComparison,Comparison,21,7,0.3333333333333333,True,30
Gemma 4 2B,Stochastic,run_1,ClaimComparison,Contingency,21,2,0.09523809523809523,True,30
Gemma 4 2B,Stochastic,run_1,ClaimComparison,Expansion,21,8,0.38095238095238093,True,30
