model,feature,column,beta,odds_ratio,selected_penalty
2B,accusation,accusation,0.007020943766564579,1.0070456483749637,10.0
2B,defense,defense,0.20078750061809308,1.2223649924174698,10.0
2B,interrogation,interrogation,-0.1401604432257898,0.8692187639480754,10.0
2B,evidence,evidence,0.008867183066682662,1.0089066129924058,10.0
2B,identity_declaration,identity_declaration,-0.19611097940974517,0.8219210133075192,10.0
2B,call_for_action,call_for_action,-0.09238650772361441,0.9117526819801487,10.0
2B,werewolf_accusations_made,werewolf_accusations_made,0.3393043946838,1.4039706413755326,10.0
2B,deception_accusations_made,deception_accusations_made,-0.04532005208472764,0.9556915618038277,10.0
2B,werewolf_accusations_received,werewolf_accusations_received,0.894086043402032,2.445100052608942,10.0
2B,deception_accusations_received,deception_accusations_received,0.026020697987768578,1.0263621918856871,10.0
2B,claims_werewolf,claims_werewolf,0.37246306318575456,1.4513048715746582,10.0
2B,claims_tanner,claims_tanner,0.0004769523711364003,1.0004770661310038,10.0
2B,claims_night_action_role,claims_night_action_role,0.03606884529310544,1.036727217823287,10.0
4B,accusation,accusation,-0.07083788031890975,0.9316129126738621,100.0
4B,defense,defense,0.04288293007387273,1.043815688271878,100.0
4B,interrogation,interrogation,-0.11620789021831093,0.8902901214499992,100.0
4B,evidence,evidence,-0.04269446600445118,0.9582041092769773,100.0
4B,identity_declaration,identity_declaration,0.08219234495457814,1.085664611858352,100.0
4B,call_for_action,call_for_action,0.014300499432372297,1.0144032407408587,100.0
4B,werewolf_accusations_made,werewolf_accusations_made,-0.02986444494291504,0.9705770912646616,100.0
4B,deception_accusations_made,deception_accusations_made,-0.04799197909021619,0.9531414321082828,100.0
4B,werewolf_accusations_received,werewolf_accusations_received,0.4711926539780407,1.6019035710439447,100.0
4B,deception_accusations_received,deception_accusations_received,0.11853425334785332,1.1258454374169173,100.0
4B,claims_werewolf,claims_werewolf,0.4031585538313583,1.4965441556632046,100.0
4B,claims_tanner,claims_tanner,0.025941978256421583,1.0262814001096725,100.0
4B,claims_night_action_role,claims_night_action_role,-0.13355127074541284,0.8749826068170935,100.0
