model,game_id,run_label,justification_text,vote,is_correct,n_sentences,category_sentences,relation_sentences,arrangement,sentence_distance,semantic_labels_by_sentence,connectives
Gemma 4 2B,Ego4D / 62c4bc58-3776-4791-ac30-4c9ca5619503 / Game8,run_1,"The discussion centers around role identification and suspicion, specifically concerning Kevin and Jessica. Jessica claims to be the Minion, a Werewolf aligned role, and Daniel suggests Jessica could be the Werewolf. However, there is no concrete evidence or confirmed Werewolf action in the transcript. Since I cannot definitively identify a Werewolf, the safest move is to assume the Werewolf card is in the center, which results in a Team Village win.",No Werewolf,True,4,4,4,same sentence,0,s2:Testimony+SocialJudgment | s3:Uncertainty | s4:Payoff+Uncertainty,and(Expansion.Conjunction) | However(Comparison.Contrast) | Since(Contingency.Cause)
Gemma 4 2B,Ego4D / 64076f60-f3fc-4ee6-93e1-3489d8ec7b12 / Game3,run_3,"The discussion revolves around complex card swapping and conflicting claims about who the Werewolf is, leading to significant confusion and ultimately a tie in the voting phase. Jack claimed to have started as the Werewolf, while other players made conflicting statements about who swapped cards with whom. Since the voting resulted in a tie and no player was eliminated, Team Village failed to achieve its primary goal of eliminating a Werewolf. Given the lack of conclusive evidence, I cannot confidently identify a Werewolf.",No Werewolf,False,4,3,3,same sentence,0,s1:Uncertainty | s2:Testimony+Uncertainty | s3:Payoff | s4:Uncertainty,while(Comparison.Contrast) | Since(Contingency.Cause) | and(Expansion.Conjunction)
Gemma 4 2B,Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF##Retro#3 / Game7,run_1,"Multiple players in the discussion explicitly accuse Mitchell of being the Werewolf, including James and Justin. While Mitchell claims to have started as the Tanner, the consensus among the players in the transcript points towards him being the Werewolf. Since Team Village wins by eliminating a Werewolf, voting for Mitchell is the optimal strategy to secure a victory.",Mitchell,True,3,3,3,same sentence,0,s1:SocialJudgment | s2:Testimony+SocialJudgment | s3:Payoff,While(Comparison.Contrast) | Since(Contingency.Cause)
Gemma 4 2B,Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF##Retro#2 / Game6,run_3,"Despite the confusion caused by role swaps and conflicting statements, the discussion ultimately points toward Mitchell being the Werewolf. Caitlynn directly accuses Mitchell, and other players, including Mike, express strong belief that Mitchell is the Werewolf. Since Team Village wins by eliminating a Werewolf, voting for Mitchell is the most strategic move to achieve the desired outcome.",Mitchell,False,3,3,3,same sentence,0,s1:Uncertainty | s2:SocialJudgment | s3:Payoff,and(Expansion.Conjunction) | Since(Contingency.Cause)
Gemma 4 2B,Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF##Retro#4 / Game5,run_3,"The transcript contains strong evidence that Justin is a Werewolf. Justin explicitly states, ""I was a werewolf,"" and Mike confirms this finding. Since Team Village wins by eliminating a Werewolf, voting Justin out is the necessary action to secure a victory. Although other players' roles are unknown, Justin is the confirmed threat.",Justin,False,4,3,3,same sentence,0,s2:Testimony+ClaimComparison | s3:Payoff | s4:Uncertainty,and(Expansion.Conjunction) | Since(Contingency.Cause) | Although(Comparison.Contrast)
Gemma 4 2B,Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF#7##November#6th#2016 / Game1,run_3,"The transcript strongly suggests that Mitchell has claimed the Werewolf role, stating clearly that he is the Werewolf after a series of role swaps and discussions. Since Team Village wins by eliminating a Werewolf, Mitchell is the prime target. While the conversation is confusing due to role swaps, Mitchell's direct assertion of the Werewolf identity makes him the most logical suspect for elimination.",Mitchell,False,3,2,2,same sentence,0,s1:Testimony | s2:Payoff | s3:Testimony+Uncertainty,Since(Contingency.Cause) | While(Comparison.Contrast)
Gemma 4 2B,Youtube / Way#Way#Back##ONE#NIGHT#ULTIMATE#WEREWOLF##Retro#10 / Game5,run_2,"Laura explicitly reveals that she is the Werewolf during the discussion phase (186). Furthermore, Mitchell attempts to eliminate her, suggesting she is the Troublemaker, which aligns with the goal of Team Village to eliminate a Werewolf. Since eliminating a Werewolf guarantees Team Village a win, Laura is the primary target.",Laura,True,3,"2,3",3,same sentence,0,s1:Testimony | s2:SocialJudgment+Payoff | s3:Payoff,Furthermore(Expansion.Conjunction) | Since(Contingency.Cause)
Gemma 4 2B,Youtube / Way#Way#Back##ONE#NIGHT#ULTIMATE#WEREWOLF##Retro#10 / Game4,run_3,"The discussion is highly confusing due to numerous role swaps and accusations. Justin suggests Paul is the Werewolf, while Paul suggests Laura is the Werewolf, and both players are actively trying to mislead others about their roles. Since there is no definitive evidence or consistent information pointing to a single Werewolf, it is safer to assume that all Werewolf cards may be in the center, which allows Team Village to win.",No Werewolf,False,3,3,3,same sentence,0,s1:Uncertainty | s2:SocialJudgment+Behavioral | s3:Payoff+Uncertainty,while(Comparison.Contrast) | and(Expansion.Conjunction) | Since(Contingency.Cause)
Gemma 4 2B,Ego4D / 1a0d3e22-a6d6-4723-91a0-52fc2c87d5ce / Game7,run_1,"Sean directly accused Hunter of being a werewolf early in the transcript, creating immediate suspicion. Although subsequent discussion centered on card swaps and role confusion, Hunter remains the primary suspect based on the initial accusation. Since Team Village needs to eliminate a Werewolf to win, targeting the player who was explicitly identified as such is the most strategic move.",Hunter,False,3,3,3,same sentence,0,s1:SocialJudgment | s2:SocialJudgment | s3:SocialJudgment+Payoff,Although(Comparison.Contrast) | Since(Contingency.Cause)
Gemma 4 2B,Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF##Retro#1 / Game6,run_1,"The discussion remains highly inconclusive, with players debating whether Justin or Mitchell is the Werewolf, or if there are no Werewolves at all. Alvin repeatedly suggests Justin is the Werewolf, and Justin himself expressed a desire to win as a townsfolk, which could be a misdirection. Since the game rules state that Team Village wins if they eliminate a Werewolf, and given the strong suspicion directed towards Justin, he is the primary target.",Justin,True,3,3,3,same sentence,0,s1:Uncertainty | s2:SocialJudgment+Behavioral | s3:SocialJudgment+Payoff,or(Expansion.Alternative) | and(Expansion.Conjunction) | Since(Contingency.Cause) | if(Contingency.Condition)
