decoding_group,metric,semantic_category,discourse_relation,model_a,model_b,value_a,value_b,difference,ci_low,ci_high,ci_excludes_zero,n_justifications_with_category_a,n_justifications_with_category_b,low_support_diagnostic,n_valid_replicates,n_games,n_replicates,seed
Stochastic,conditional_prevalence,Mechanical,Comparison,Gemma 4 2B,Gemma 4 4B,0.5436507936507936,0.7564102564102564,-0.21275946275946278,-0.40926155257424607,0.020028860028860115,False,17,40,True,10000,191,10000,20260826
Stochastic,conditional_prevalence,Mechanical,Comparison,Gemma 4 2B,Gemma 4 31B,0.5436507936507936,0.3432343234323432,0.20041647021845038,-0.0016083380924179198,0.47210861717834995,False,17,303,True,10000,191,10000,20260826
Stochastic,conditional_prevalence,Mechanical,Comparison,Gemma 4 4B,Gemma 4 31B,0.7564102564102564,0.3432343234323432,0.41317593297791316,0.2225276192703049,0.5835420406104463,True,40,303,True,10000,191,10000,20260826
Stochastic,conditional_prevalence,Mechanical,Contingency,Gemma 4 2B,Gemma 4 4B,0.8412698412698413,0.4974358974358974,0.3438339438339439,0.12996558996559,0.5674603174603174,True,17,40,True,10000,191,10000,20260826
Stochastic,conditional_prevalence,Mechanical,Contingency,Gemma 4 2B,Gemma 4 31B,0.8412698412698413,0.7293729372937294,0.11189690397611185,-0.11333685943439309,0.2960139880677561,False,17,303,True,10000,191,10000,20260826
Stochastic,conditional_prevalence,Mechanical,Contingency,Gemma 4 4B,Gemma 4 31B,0.4974358974358974,0.7293729372937294,-0.23193703985783204,-0.40597276848348257,-0.06459496984095031,True,40,303,True,10000,191,10000,20260826
Stochastic,conditional_prevalence,Mechanical,Expansion,Gemma 4 2B,Gemma 4 4B,0.5992063492063492,0.397008547008547,0.2021978021978022,-0.1336038961038961,0.49726611290756,False,17,40,True,10000,191,10000,20260826
Stochastic,conditional_prevalence,Mechanical,Expansion,Gemma 4 2B,Gemma 4 31B,0.5992063492063492,0.5610561056105611,0.038150243595788114,-0.215574266547882,0.2574269887949608,False,17,303,True,10000,191,10000,20260826
Stochastic,conditional_prevalence,Mechanical,Expansion,Gemma 4 4B,Gemma 4 31B,0.397008547008547,0.5610561056105611,-0.1640475586020141,-0.3584778863400358,0.033613013837617604,False,40,303,True,10000,191,10000,20260826
Stochastic,conditional_prevalence,Mechanical,Temporal,Gemma 4 2B,Gemma 4 4B,0.19444444444444442,0.24572649572649574,-0.05128205128205132,-0.29722537878787886,0.25477813852813835,False,17,40,True,10000,191,10000,20260826
Stochastic,conditional_prevalence,Mechanical,Temporal,Gemma 4 2B,Gemma 4 31B,0.19444444444444442,0.3861386138613862,-0.19169416941694178,-0.389922427919362,0.075246127854782,False,17,303,True,10000,191,10000,20260826
Stochastic,conditional_prevalence,Mechanical,Temporal,Gemma 4 4B,Gemma 4 31B,0.24572649572649574,0.3861386138613862,-0.14041211813489046,-0.2751853499698149,0.008631567978155034,False,40,303,True,10000,191,10000,20260826
Stochastic,conditional_prevalence,Mechanical,Any explicit,Gemma 4 2B,Gemma 4 4B,0.9523809523809524,0.9743589743589745,-0.02197802197802201,-0.1428571428571429,0.06666666666666676,False,17,40,True,10000,191,10000,20260826
Stochastic,conditional_prevalence,Mechanical,Any explicit,Gemma 4 2B,Gemma 4 31B,0.9523809523809524,0.9603960396039604,-0.008015087223007922,-0.1296210773660049,0.05713133762530936,False,17,303,True,10000,191,10000,20260826
Stochastic,conditional_prevalence,Mechanical,Any explicit,Gemma 4 4B,Gemma 4 31B,0.9743589743589745,0.9603960396039604,0.01396293475501409,-0.049929307257799906,0.05796038547042828,False,40,303,True,10000,191,10000,20260826
Stochastic,conditional_prevalence,Testimony,Comparison,Gemma 4 2B,Gemma 4 4B,0.568562146232049,0.8192578458535905,-0.2506956996215415,-0.32282135626966046,-0.17634795330931394,True,306,432,False,10000,191,10000,20260826
Stochastic,conditional_prevalence,Testimony,Comparison,Gemma 4 2B,Gemma 4 31B,0.568562146232049,0.45128981164815435,0.11727233458389469,0.03395166045969479,0.2001087086832299,True,306,563,False,10000,191,10000,20260826
Stochastic,conditional_prevalence,Testimony,Comparison,Gemma 4 4B,Gemma 4 31B,0.8192578458535905,0.45128981164815435,0.36796803420543617,0.30318043579887993,0.43114265133792523,True,432,563,False,10000,191,10000,20260826
Stochastic,conditional_prevalence,Testimony,Contingency,Gemma 4 2B,Gemma 4 4B,0.5201863041668867,0.3420583952498846,0.17812790891700214,0.10783460610185654,0.2493049928710883,True,306,432,False,10000,191,10000,20260826
Stochastic,conditional_prevalence,Testimony,Contingency,Gemma 4 2B,Gemma 4 31B,0.5201863041668867,0.5791985714718079,-0.05901226730492115,-0.12979644913063204,0.009284718581422179,False,306,563,False,10000,191,10000,20260826
