model,k_correct_runs,label,n_games,pct_of_games
Gemma 4 2B,0,0/3 consistently incorrect,81,42.40837696335078
Gemma 4 2B,1,1/3,32,16.75392670157068
Gemma 4 2B,2,2/3,33,17.277486910994764
Gemma 4 2B,3,3/3 consistently correct,45,23.56020942408377
Gemma 4 4B,0,0/3 consistently incorrect,84,43.97905759162304
Gemma 4 4B,1,1/3,33,17.277486910994764
Gemma 4 4B,2,2/3,19,9.947643979057592
Gemma 4 4B,3,3/3 consistently correct,55,28.79581151832461
Gemma 4 31B,0,0/3 consistently incorrect,86,45.026178010471206
Gemma 4 31B,1,1/3,27,14.136125654450261
Gemma 4 31B,2,2/3,22,11.518324607329843
Gemma 4 31B,3,3/3 consistently correct,56,29.319371727748692
