model,feature,representation,block,lofo_importance,ci_lo,ci_hi,excludes_zero
2B,accusation,count_overall,combined,-0.002380154428570727,-0.007229404354082059,0.0029203343703133734,False
2B,defense,count_overall,combined,0.002813511560051782,-0.0071639087339443125,0.011735723547040926,False
2B,interrogation,count_overall,combined,0.0022813324057046136,-0.00928464203173552,0.015597188310882458,False
2B,evidence,count_overall,combined,-0.005328732088816163,-0.010367263414130535,0.0008428505025649522,False
2B,identity_declaration,count_overall,combined,-0.0009328712458307059,-0.013482775616446833,0.008263149633303152,False
2B,call_for_action,count_overall,combined,-0.00451472521147425,-0.01106846486755896,0.0011953499882969472,False
2B,werewolf_accusations_made,count_overall,combined,0.016779570911895508,4.7252727779501304e-05,0.03389432270024926,True
2B,deception_accusations_made,count_overall,combined,-0.008352516787599028,-0.016935006653129334,-9.534888616309742e-05,True
2B,werewolf_accusations_received,count_overall,combined,0.18135052908311258,0.10304988228069276,0.25347984288076514,True
2B,deception_accusations_received,count_overall,combined,-0.0050290962933917435,-0.009735728368922692,-0.0010232824392868158,True
2B,claims_werewolf,count_overall,combined,0.020852317979267843,-0.025127750372595136,0.061491653443917965,False
2B,claims_tanner,count_overall,combined,-0.004255517073672905,-0.008809966285118796,0.0015244631490969735,False
2B,claims_night_action_role,count_overall,combined,-0.00632220547650805,-0.01241323963955739,-0.001234618199443008,True
4B,accusation,count_overall,combined,-0.0012427685976747875,-0.008487781049594457,0.007785548258759802,False
4B,defense,count_overall,combined,-0.0025418689061992733,-0.005874846279100813,0.000754724314530593,False
4B,interrogation,count_overall,combined,0.0039270223824521295,-0.004287496019395284,0.013451004998051823,False
4B,evidence,count_overall,combined,-0.002373225255158289,-0.007771631853109659,0.004752389735980081,False
4B,identity_declaration,count_overall,combined,-0.002540969356989174,-0.009397351795516823,0.0061877354472046455,False
4B,call_for_action,count_overall,combined,-0.003238821003935369,-0.005409151092033815,-0.001065308406120714,True
4B,werewolf_accusations_made,count_overall,combined,-0.006513279911783905,-0.016211165446734087,-0.00017222271434034225,True
4B,deception_accusations_made,count_overall,combined,0.0012016603550343912,-0.001670878161119884,0.0038733619049401246,False
4B,werewolf_accusations_received,count_overall,combined,0.08651558904812715,0.029132449008444347,0.14315699782357955,True
4B,deception_accusations_received,count_overall,combined,0.0013562647677123334,-0.006835758258037284,0.009269460799179374,False
4B,claims_werewolf,count_overall,combined,0.04493297250072061,0.0020804075926553834,0.07840230812830012,True
4B,claims_tanner,count_overall,combined,-0.0038133668902247367,-0.006512148521450228,-0.0012477766127549962,True
4B,claims_night_action_role,count_overall,combined,0.0009385461393353015,-0.010098277870289767,0.013152984127483494,False
