justification_id,sentence_id,annotation_index,category,use,evidence_span,verdict,corrected_category,corrected_use,note
2B__Ego4D__0c2659db-7bd4-4b37-9b08-4e247befe382__Game7__run_3,1,0,Uncertainty,,impossible to definitively identify the Werewolf,ok,,,
2B__Ego4D__0c2659db-7bd4-4b37-9b08-4e247befe382__Game7__run_3,3,0,Uncertainty,,I cannot confirm the presence of a Werewolf,ok,,,
2B__Ego4D__0c2659db-7bd4-4b37-9b08-4e247befe382__Game7__run_3,3,1,Payoff,,eliminating an innocent player would risk losing the game,ok,,,
2B__Ego4D__2ba4023c-a8bf-43ad-ad5a-80ba222ce990__Game6__run_1,2,0,Testimony,,Clint claimed to be the Drunk,ok,,,
2B__Ego4D__2ba4023c-a8bf-43ad-ad5a-80ba222ce990__Game6__run_1,3,0,SocialJudgment,,Margaret and Erin repeatedly suggest Clint is the Werewolf,ok,,,
2B__Ego4D__2ba4023c-a8bf-43ad-ad5a-80ba222ce990__Game6__run_1,4,0,SocialJudgment,,high level of suspicion directed at Clint,ok,,,
2B__Ego4D__2ba4023c-a8bf-43ad-ad5a-80ba222ce990__Game6__run_1,4,1,Payoff,,to eliminate a potential Werewolf,ok,,,
2B__Ego4D__698f6bbe-4347-4a06-bd5d-3482f5e4fbbe__Game3__greedy_t0,1,0,Testimony,,Sukeshi claimed to have identified a Werewolf using the Seer ability,ok,,,
2B__Ego4D__698f6bbe-4347-4a06-bd5d-3482f5e4fbbe__Game3__greedy_t0,1,1,Uncertainty,,not conclusive and could be misleading,ok,,,
2B__Ego4D__698f6bbe-4347-4a06-bd5d-3482f5e4fbbe__Game3__greedy_t0,2,0,Uncertainty,,cannot definitively confirm the presence of a Werewolf or identify a specific player as the Werewolf,ok,,,
2B__Ego4D__698f6bbe-4347-4a06-bd5d-3482f5e4fbbe__Game3__greedy_t0,2,1,Payoff,,voting risks eliminating a Village member,ok,,,
2B__Ego4D__698f6bbe-4347-4a06-bd5d-3482f5e4fbbe__Game3__greedy_t0,3,0,Payoff,,To maximize the chance of Team Village winning,ok,,,
2B__Youtube__Flashback##ONE#NIGHT#ULTIMATE#WEREWOLF##Retro#9__Game5__run_2,1,0,Uncertainty,,"significant conflicting information regarding roles and alignments, making definitive identification difficult",ok,,,
2B__Youtube__Flashback##ONE#NIGHT#ULTIMATE#WEREWOLF##Retro#9__Game5__run_2,2,0,Testimony,,"Laura explicitly states she was a Werewolf, and Justin later implies he is one",ok,,,
2B__Youtube__Flashback##ONE#NIGHT#ULTIMATE#WEREWOLF##Retro#9__Game5__run_2,3,0,Payoff,,"To maximize the chances of Team Village winning, a Werewolf must be eliminated",ok,,,
2B__Youtube__Flashback##ONE#NIGHT#ULTIMATE#WEREWOLF##Retro#9__Game5__run_2,4,0,Testimony,,a player who claimed the Werewolf role,ok,,,
2B__Youtube__Flashback##ONE#NIGHT#ULTIMATE#WEREWOLF##Retro#9__Game5__run_2,4,1,Uncertainty,,given the uncertainty,ok,,,
2B__Youtube__ONE#NIGHT#ULTIMATE#WEREWOLF#18##September#30th#2017__Game1__greedy_t0,1,0,SocialJudgment,,Mitchell strongly suspects Paul is the Werewolf,ok,,,
2B__Youtube__ONE#NIGHT#ULTIMATE#WEREWOLF#18##September#30th#2017__Game1__greedy_t0,2,0,SocialJudgment,,Mitchell's repeated accusations and subsequent votes point toward Paul being the threat,ok,,,
2B__Youtube__ONE#NIGHT#ULTIMATE#WEREWOLF#18##September#30th#2017__Game1__greedy_t0,3,0,Payoff,,maximizes the chance of Team Village surviving the night and achieving their win condition,ok,,,
2B__Youtube__ONE#NIGHT#ULTIMATE#WEREWOLF#26##January#20th#2018__Game3__run_1,1,0,Testimony,,he saw one werewolf card in the center and claimed that Meghan was the Drunk who took it,ok,,,
2B__Youtube__ONE#NIGHT#ULTIMATE#WEREWOLF#26##January#20th#2018__Game3__run_1,2,0,SocialJudgment,,this direct accusation,ok,,,
2B__Youtube__ONE#NIGHT#ULTIMATE#WEREWOLF#26##January#20th#2018__Game3__run_1,3,0,Payoff,,the goal is to eliminate a Werewolf to win,ok,,,
2B__Youtube__ONE#NIGHT#ULTIMATE#WEREWOLF#26##January#20th#2018__Game3__run_1,3,1,SocialJudgment,,directly implicated by another player,ok,,,
2B__Youtube__ONE#NIGHT#ULTIMATE#WEREWOLF#44##October#13th#2018__Game2__run_3,1,0,Uncertainty,,making definitive identification impossible,ok,,,
2B__Youtube__ONE#NIGHT#ULTIMATE#WEREWOLF#44##October#13th#2018__Game2__run_3,2,0,Testimony,,Justin explicitly states he saw a werewolf,ok,,,
2B__Youtube__ONE#NIGHT#ULTIMATE#WEREWOLF#44##October#13th#2018__Game2__run_3,2,1,SocialJudgment,,theorizes that Mike might be the werewolf,ok,,,
2B__Youtube__ONE#NIGHT#ULTIMATE#WEREWOLF#44##October#13th#2018__Game2__run_3,2,2,Behavioral,,Mike was 'happy that we're not killing him.',ok,,,
2B__Youtube__ONE#NIGHT#ULTIMATE#WEREWOLF#44##October#13th#2018__Game2__run_3,3,0,Payoff,,"To ensure Team Village wins, we must eliminate a Werewolf",ok,,,
2B__Youtube__ONE#NIGHT#ULTIMATE#WEREWOLF#7##November#6th#2016__Game2__run_3,2,0,SocialJudgment,,Mitchell ultimately concludes that Caitlynn is the Werewolf and Alana is the Tanner,ok,,,
2B__Youtube__ONE#NIGHT#ULTIMATE#WEREWOLF#7##November#6th#2016__Game2__run_3,3,0,Payoff,,Team Village wins by eliminating a Werewolf,ok,,,
2B__Youtube__ONE#NIGHT#ULTIMATE#WEREWOLF#7##November#6th#2016__Game2__run_3,3,1,SocialJudgment,,the consensus reached in the transcript,ok,,,
