model,label_source,family,method,scaling,feature,top1_drop_mean,top1_drop_std,share_folds_positive
2B,stochastic,C_combined,logreg,raw,pt_accusation,-0.0029,0.0076,0.07
2B,stochastic,C_combined,logreg,raw,pt_defense,0.01,0.0304,0.53
2B,stochastic,C_combined,logreg,raw,pt_interrogation,-0.0,0.0172,0.2
2B,stochastic,C_combined,logreg,raw,pt_identity_declaration,-0.0017,0.02,0.47
2B,stochastic,C_combined,logreg,raw,pt_evidence,-0.0046,0.0156,0.13
2B,stochastic,C_combined,logreg,raw,pt_call_for_action,-0.0046,0.0189,0.13
2B,stochastic,C_combined,logreg,raw,n_utterances,0.0145,0.0343,0.6
2B,stochastic,C_combined,logreg,raw,werewolf_count,0.1223,0.0447,1.0
2B,stochastic,C_combined,logreg,raw,deception_count,-0.0069,0.0192,0.27
2B,stochastic,C_combined,logreg,raw,claims_werewolf,0.1042,0.0424,1.0
2B,stochastic,C_combined,logreg,raw,made_any_claim,-0.0034,0.0257,0.33
2B,stochastic,C_combined,logreg,raw,claims_info_role,0.0018,0.0176,0.47
2B,stochastic,C_combined,logreg,raw,n_distinct_roles_claimed_self,0.0018,0.012,0.4
2B,stochastic,C_combined,logreg,raw,is_in_role_conflict,-0.0046,0.0227,0.4
2B,stochastic,C_combined,logreg,raw,is_self_contradiction,-0.0005,0.012,0.4
2B,stochastic,C_combined,logreg,raw,is_circle_option,0.1026,0.0599,1.0
2B,stochastic,C_combined,logreg,raw,circ_max_werewolf_count,0.0758,0.039,1.0
2B,stochastic,C_combined,logreg,raw,circ_mean_werewolf_count,0.0142,0.0309,0.73
2B,stochastic,C_combined,logreg,raw,circ_share_players_accused,0.0547,0.046,0.87
2B,stochastic,C_combined,logreg,raw,circ_any_claims_werewolf,0.0087,0.0172,0.47
2B,stochastic,C_combined,logreg,raw,circ_any_role_conflict,-0.0058,0.0118,0.2
31B,stochastic,B_directed,logreg,within_game,werewolf_count,0.1394,0.0675,1.0
31B,stochastic,B_directed,logreg,within_game,deception_count,-0.0111,0.0231,0.33
31B,stochastic,B_directed,logreg,within_game,claims_werewolf,0.0209,0.0321,0.73
31B,stochastic,B_directed,logreg,within_game,made_any_claim,0.0042,0.042,0.47
31B,stochastic,B_directed,logreg,within_game,claims_info_role,-0.0076,0.0211,0.27
31B,stochastic,B_directed,logreg,within_game,n_distinct_roles_claimed_self,0.045,0.0621,0.73
31B,stochastic,B_directed,logreg,within_game,is_in_role_conflict,-0.0,0.02,0.33
31B,stochastic,B_directed,logreg,within_game,is_self_contradiction,0.0036,0.0289,0.33
31B,stochastic,B_directed,logreg,within_game,is_circle_option,-0.006,0.0357,0.27
31B,stochastic,B_directed,logreg,within_game,circ_max_werewolf_count,0.0018,0.0209,0.4
31B,stochastic,B_directed,logreg,within_game,circ_mean_werewolf_count,0.0525,0.0614,0.73
31B,stochastic,B_directed,logreg,within_game,circ_share_players_accused,0.0028,0.0161,0.4
31B,stochastic,B_directed,logreg,within_game,circ_any_claims_werewolf,0.0001,0.0142,0.4
31B,stochastic,B_directed,logreg,within_game,circ_any_role_conflict,-0.0024,0.0121,0.2
4B,stochastic,B_directed,gbm,within_game,werewolf_count,0.1221,0.0596,1.0
4B,stochastic,B_directed,gbm,within_game,deception_count,0.0245,0.0337,0.67
4B,stochastic,B_directed,gbm,within_game,claims_werewolf,0.1675,0.0643,1.0
4B,stochastic,B_directed,gbm,within_game,made_any_claim,0.0064,0.0178,0.4
4B,stochastic,B_directed,gbm,within_game,claims_info_role,0.0058,0.018,0.53
4B,stochastic,B_directed,gbm,within_game,n_distinct_roles_claimed_self,0.0064,0.0207,0.53
4B,stochastic,B_directed,gbm,within_game,is_in_role_conflict,0.0047,0.0131,0.47
4B,stochastic,B_directed,gbm,within_game,is_self_contradiction,0.0011,0.0077,0.27
4B,stochastic,B_directed,gbm,within_game,is_circle_option,0.0,0.0,0.0
4B,stochastic,B_directed,gbm,within_game,circ_max_werewolf_count,0.0024,0.0093,0.27
4B,stochastic,B_directed,gbm,within_game,circ_mean_werewolf_count,0.0029,0.0142,0.4
4B,stochastic,B_directed,gbm,within_game,circ_share_players_accused,0.0082,0.0126,0.4
4B,stochastic,B_directed,gbm,within_game,circ_any_claims_werewolf,-0.0029,0.0109,0.33
4B,stochastic,B_directed,gbm,within_game,circ_any_role_conflict,0.0,0.0,0.0
