stage,check,observed,note
base,semantic justifications (stochastic),1719,
base,joint-frame justifications,1719,
base,ids in semantic but not in the joint frame,0,
base,ids in the joint frame but not in semantic,0,
base,relations that failed byte-exact alignment,0,any value > 0 invalidates the contrast
base,justifications carrying at least one aligned relation,1655,descriptive
base,aligned relations on stochastic justifications,4085,descriptive
base,justifications with a relation that are NOT in the joint frame,555,"greedy, excluded by design; 0 for a stage with no greedy pass"
ft,semantic justifications (stochastic),1715,
ft,joint-frame justifications,1715,
ft,ids in semantic but not in the joint frame,0,
ft,ids in the joint frame but not in semantic,0,
ft,relations that failed byte-exact alignment,0,any value > 0 invalidates the contrast
ft,justifications carrying at least one aligned relation,1640,descriptive
ft,aligned relations on stochastic justifications,3990,descriptive
ft,justifications with a relation that are NOT in the joint frame,0,"greedy, excluded by design; 0 for a stage with no greedy pass"
