game_id,actual_human_available,actual_human_vote_type,actual_human_targets,actual_human_target_names,actual_human_win,n_village_aligned_votes,village_vote_counts,village_top_targets,village_top_target_names,village_top_share,village_vote_entropy,village_modal_correct,llm_vote_entropy,llm_top_share,agreement_type,stochastic_majority_vote,has_stochastic_majority,stochastic_majority_correct,greedy_vote,greedy_correct,human_llm_outcome_bucket,same_wrong_candidate
Youtube / Flashback##ONE#NIGHT#ULTIMATE#WEREWOLF##Retro#9 / Game1,True,player,"[2, 4]","[""Paul"", ""Mitchell""]",False,4,"{""Paul"": 1, ""Mitchell"": 2, ""Justin"": 1}",[4],"[""Mitchell""]",0.5,1.0397207708399179,False,0.6365141682948128,0.6666666666666666,two_vs_one,Mitchell,True,False,Justin,True,human_lose_llm_lose,True
Youtube / Flashback##ONE#NIGHT#ULTIMATE#WEREWOLF##Retro#9 / Game2,True,player,[3],"[""James""]",False,4,"{""James"": 3, ""Mitchell"": 1}",[3],"[""James""]",0.75,0.5623351446188083,False,-0.0,1.0,unanimous,James,True,False,James,False,human_lose_llm_lose,True
Youtube / Flashback##ONE#NIGHT#ULTIMATE#WEREWOLF##Retro#9 / Game5,True,player,[4],"[""Mitchell""]",False,3,"{""Mitchell"": 2, ""Justin"": 1}",[4],"[""Mitchell""]",0.6666666666666666,0.6365141682948128,False,-0.0,1.0,unanimous,Mitchell,True,False,Mitchell,False,human_lose_llm_lose,True
Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF##Retro#1 / Game2,True,player,[2],"[""James""]",False,3,"{""James"": 2, ""Justin"": 1}",[2],"[""James""]",0.6666666666666666,0.6365141682948128,False,0.6365141682948128,0.6666666666666666,two_vs_one,Mitchell,True,False,Justin,True,human_lose_llm_lose,False
Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF##Retro#1 / Game3,True,player,[0],"[""Justin""]",False,3,"{""James"": 1, ""Justin"": 2}",[0],"[""Justin""]",0.6666666666666666,0.6365141682948128,False,-0.0,1.0,unanimous,Justin,True,False,Justin,False,human_lose_llm_lose,True
Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF##Retro#2 / Game2,True,circle,[],[],True,5,"{""Dan"": 1, ""Mitchell"": 1, ""Caitlynn"": 1, ""Mike"": 1, ""Justin"": 1}","[1, 2, 3, 4, 0]","[""Dan"", ""Mitchell"", ""Caitlynn"", ""Mike"", ""Justin""]",0.2,1.6094379124341005,False,-0.0,1.0,unanimous,Mike,True,False,Mike,False,human_win_llm_lose,True
Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF##Retro#2 / Game8,True,player,[0],"[""Justin""]",False,3,"{""Mike"": 1, ""Caitlynn"": 1, ""Justin"": 1}","[4, 3, 0]","[""Mike"", ""Caitlynn"", ""Justin""]",0.3333333333333333,1.0986122886681096,False,-0.0,1.0,unanimous,No Werewolf,True,False,No Werewolf,False,human_lose_llm_lose,False
Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF##Retro#3 / Game2,True,player,[1],"[""Mike""]",False,3,"{""Mike"": 2, ""Justin"": 1}",[1],"[""Mike""]",0.6666666666666666,0.6365141682948128,False,-0.0,1.0,unanimous,Mike,True,False,Mike,False,human_lose_llm_lose,True
Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF##Retro#3 / Game4,True,player,[3],"[""Mitchell""]",False,2,"{""Mitchell"": 2}",[3],"[""Mitchell""]",1.0,-0.0,False,-0.0,1.0,unanimous,Mitchell,True,False,Mike,True,human_lose_llm_lose,True
Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF##Retro#3 / Game5,True,player,[3],"[""Mitchell""]",False,3,"{""Mitchell"": 2, ""Justin"": 1}",[3],"[""Mitchell""]",0.6666666666666666,0.6365141682948128,False,-0.0,1.0,unanimous,James,True,False,James,False,human_lose_llm_lose,False
