justification_id,model_under_annotation,is_correct,vote,sentence_id,text,rule_mentioned,category,use,evidence_span,other_description
2B__Ego4D__0c2659db-7bd4-4b37-9b08-4e247befe382__Game4__run_3,2B,True,Ashley,1,"Ashley explicitly stated she was the Werewolf during the discussion, which is a strong indicator, even though players may lie.",False,Testimony,used,Ashley explicitly stated she was the Werewolf,
2B__Ego4D__0c2659db-7bd4-4b37-9b08-4e247befe382__Game4__run_3,2B,True,Ashley,2,"The conversation centered around Elliot potentially swapping with Ashley and becoming the Werewolf, suggesting high volatility in roles.",True,Deduction,mentioned,Elliot potentially swapping with Ashley and becoming the Werewolf,
2B__Ego4D__0c2659db-7bd4-4b37-9b08-4e247befe382__Game4__run_3,2B,True,Ashley,3,"Given the objective is to eliminate a Werewolf, voting out the player who claims the Werewolf role is the most direct path to achieving a Team Village victory.",True,Payoff,used,"objective is to eliminate a Werewolf, voting out the player who claims the Werewolf role is the most direct path to achieving a Team Village victory",
2B__Ego4D__1a0d3e22-a6d6-4723-91a0-52fc2c87d5ce__Game11__greedy_t0,2B,False,No Werewolf,2,"While players are debating the presence of a Troublemaker and Werewolves, there is no concrete evidence or successful identification of a Werewolf.",False,Consistency,used,there is no concrete evidence or successful identification of a Werewolf,
2B__Ego4D__1a0d3e22-a6d6-4723-91a0-52fc2c87d5ce__Game11__greedy_t0,2B,False,No Werewolf,3,"Since Team Village wins if they eliminate a Werewolf, and if no Werewolf is present, they win by default, I cannot confidently accuse any player.",True,Payoff,used,"Team Village wins if they eliminate a Werewolf, and if no Werewolf is present, they win by default, I cannot confidently accuse any player",
2B__Ego4D__324bccd2-adff-4e9a-8ff4-03491e144ac3__Game1__greedy_t0,2B,False,No Werewolf,2,"Since no player has been definitively identified as a Werewolf, and the game rules state that Team Village wins if no Werewolves are present and no one dies, the safest strategic move is to assume that all Werewolf cards are in the center.",True,Consistency,used,no player has been definitively identified as a Werewolf,
2B__Ego4D__324bccd2-adff-4e9a-8ff4-03491e144ac3__Game1__greedy_t0,2B,False,No Werewolf,2,"Since no player has been definitively identified as a Werewolf, and the game rules state that Team Village wins if no Werewolves are present and no one dies, the safest strategic move is to assume that all Werewolf cards are in the center.",True,Payoff,used,"the game rules state that Team Village wins if no Werewolves are present and no one dies, the safest strategic move is to assume that all Werewolf cards are in the center",
2B__Ego4D__324bccd2-adff-4e9a-8ff4-03491e144ac3__Game1__greedy_t0,2B,False,No Werewolf,3,This maximizes the chance of a Team Village victory.,False,Payoff,used,This maximizes the chance of a Team Village victory,
2B__Ego4D__3ba069be-60fa-47fc-bd7b-f85bf649a5bd__Game2__greedy_t0,2B,True,No Werewolf,2,"No player has claimed the Werewolf role, and there is no evidence presented in the transcript to suggest a Werewolf is present.",False,Other,used,"No player has claimed the Werewolf role, and there is no evidence presented in the transcript to suggest a Werewolf is present",Absence of any Werewolf claim or evidence in the discussion
2B__Ego4D__3ba069be-60fa-47fc-bd7b-f85bf649a5bd__Game2__greedy_t0,2B,True,No Werewolf,3,"Following the rule that if no Werewolf is believed to be present, Team Village wins if no one dies, I conclude that no Werewolf is currently active.",True,Payoff,used,"Following the rule that if no Werewolf is believed to be present, Team Village wins if no one dies",
2B__Ego4D__3ba069be-60fa-47fc-bd7b-f85bf649a5bd__Game4__run_2,2B,True,No Werewolf,1,"The discussion transcript is filled with role claims and role swaps, making it impossible to definitively identify the Werewolf.",True,Consistency,used,filled with role claims and role swaps,
2B__Ego4D__3ba069be-60fa-47fc-bd7b-f85bf649a5bd__Game4__run_2,2B,True,No Werewolf,2,"While Kaelan initially claimed to see the Werewolf, the subsequent confusion and role changes suggest that the information gathered is unreliable.",True,Testimony,discounted,Kaelan initially claimed to see the Werewolf,
2B__Ego4D__3ba069be-60fa-47fc-bd7b-f85bf649a5bd__Game4__run_2,2B,True,No Werewolf,2,"While Kaelan initially claimed to see the Werewolf, the subsequent confusion and role changes suggest that the information gathered is unreliable.",True,Consistency,used,subsequent confusion and role changes suggest that the information gathered is unreliable,
2B__Ego4D__3ba069be-60fa-47fc-bd7b-f85bf649a5bd__Game4__run_2,2B,True,No Werewolf,3,"Since I cannot confirm any player holds the Werewolf card, I must assume the Werewolf is currently in the center role pool.",False,Other,used,"Since I cannot confirm any player holds the Werewolf card, I must assume the Werewolf is currently in the center role pool",Absence of confirmation is used as a basis for assuming the Werewolf is in the center.
2B__Youtube__ONE#NIGHT#ULTIMATE#WEREWOLF##Retro#2__Game4__run_1,2B,True,Mike,1,"Dan directly accused Mike of being the Werewolf, which is the clearest indication of a Werewolf role in the discussion.",False,Social,used,Dan directly accused Mike of being the Werewolf,
2B__Youtube__ONE#NIGHT#ULTIMATE#WEREWOLF##Retro#2__Game4__run_1,2B,True,Mike,2,"While the transcript is filled with role swaps and accusations, Dan's assertion serves as the strongest lead for Team Village to pursue.",False,Social,used,Dan's assertion serves as the strongest lead for Team Village to pursue,
2B__Youtube__ONE#NIGHT#ULTIMATE#WEREWOLF##Retro#2__Game4__run_1,2B,True,Mike,3,Eliminating Mike based on this direct accusation maximizes the chance of winning the game by removing a Werewolf.,True,Payoff,used,Eliminating Mike based on this direct accusation maximizes the chance of winning the game,
2B__Youtube__ONE#NIGHT#ULTIMATE#WEREWOLF##Retro#3__Game6__run_2,2B,True,Mike,2,"Multiple players, including Justin and James, accuse Mike of being the Werewolf, and Mike himself claims to have seen two werewolves.",False,Social,used,"Multiple players, including Justin and James, accuse Mike of being the Werewolf",
2B__Youtube__ONE#NIGHT#ULTIMATE#WEREWOLF##Retro#3__Game6__run_2,2B,True,Mike,2,"Multiple players, including Justin and James, accuse Mike of being the Werewolf, and Mike himself claims to have seen two werewolves.",False,Testimony,mentioned,Mike himself claims to have seen two werewolves,
2B__Youtube__ONE#NIGHT#ULTIMATE#WEREWOLF##Retro#3__Game6__run_2,2B,True,Mike,3,"Since Team Village wins by eliminating a Werewolf, voting for Mike is the optimal strategy to achieve this goal.",True,Payoff,used,"Since Team Village wins by eliminating a Werewolf, voting for Mike is the optimal strategy to achieve this goal",
2B__Youtube__ONE#NIGHT#ULTIMATE#WEREWOLF##Retro#3__Game7__run_3,2B,True,Mitchell,2,"James strongly accuses Mitchell of being the Werewolf, and Mitchell's subsequent distress over losing his Tanner story reinforces suspicion.",False,Social,used,James strongly accuses Mitchell of being the Werewolf,
