model,feature,representation,block,lofo_importance,ci_lo,ci_hi,excludes_zero
2B,accusation,rate_overall,combined,-0.0022171617536154045,-0.005380320878065324,0.0006375417608791595,False
2B,defense,rate_overall,combined,0.011753478477959626,-0.0008413430026294091,0.026707192908246115,False
2B,interrogation,rate_overall,combined,-0.0027045937963534627,-0.007617033908523114,0.0018134704328284473,False
2B,evidence,rate_overall,combined,-0.0025618901007725308,-0.005934541407631601,0.00065072840647501,False
2B,identity_declaration,rate_overall,combined,-0.004924968110679019,-0.012395868345671121,0.0026540283085795115,False
2B,call_for_action,rate_overall,combined,-0.0033883798964666726,-0.006407833115792345,-8.134021972621903e-05,True
2B,werewolf_accusations_made,rate_overall,combined,0.005852523255954548,-0.0023750050857079905,0.013926178139303207,False
2B,deception_accusations_made,rate_overall,combined,-0.0029050793512519837,-0.006163321783881321,0.0005445387018708391,False
2B,werewolf_accusations_received,rate_overall,combined,0.1396800160938841,0.058182054427156245,0.21536124359484599,True
2B,deception_accusations_received,rate_overall,combined,-0.0016104159604068715,-0.006587584222574583,0.0027852528715033033,False
2B,claims_werewolf,rate_overall,combined,0.037950571845173406,-0.016526146437608486,0.08883900636112448,False
2B,claims_tanner,rate_overall,combined,-0.0013470642899877762,-0.005436733877281908,0.002505029323542838,False
2B,claims_night_action_role,rate_overall,combined,-0.001046213515287503,-0.004930093859983488,0.0029748377579553904,False
4B,accusation,rate_overall,combined,-0.00478989708296558,-0.00674310734551134,-0.0029577738204298355,True
4B,defense,rate_overall,combined,-0.003774957425059033,-0.014559780042429577,0.00624690899516265,False
4B,interrogation,rate_overall,combined,-0.0031494283137441766,-0.005684647312198455,-0.0005720086336305404,True
4B,evidence,rate_overall,combined,-0.0008483050404037828,-0.005151768675289687,0.003814304384967608,False
4B,identity_declaration,rate_overall,combined,-9.655833481911768e-05,-0.0028220501959390462,0.002446287899518952,False
4B,call_for_action,rate_overall,combined,-0.004094590039267975,-0.008305233606338768,-0.0005957405672520382,True
4B,werewolf_accusations_made,rate_overall,combined,0.003678843058260081,-0.0029265239383725735,0.00913637492301697,False
4B,deception_accusations_made,rate_overall,combined,0.0063956607025542084,-0.005119875038652632,0.01900822037164229,False
4B,werewolf_accusations_received,rate_overall,combined,0.09753636597442229,0.04785623301005406,0.14568326700443932,True
4B,deception_accusations_received,rate_overall,combined,0.004899633617995217,-0.015524418682652804,0.02266099362491931,False
4B,claims_werewolf,rate_overall,combined,0.14837072013311572,0.08542790001651375,0.21137938409449494,True
4B,claims_tanner,rate_overall,combined,-0.0041610531312799804,-0.008215543348201194,-0.0006086866858553975,True
4B,claims_night_action_role,rate_overall,combined,-0.0038980683411234027,-0.00602412701020077,-0.002125477755610622,True
31B,accusation,rate_overall,combined,0.005310679056405927,-0.0006729853913734467,0.012796528822621925,False
31B,defense,rate_overall,combined,0.003803421614192143,-0.006566206728631631,0.01493708220147727,False
31B,interrogation,rate_overall,combined,0.006263461297753692,-0.0003187357481976138,0.014652714949026705,False
31B,evidence,rate_overall,combined,0.0038171428205183455,-0.011824799522787876,0.02637202609914039,False
31B,identity_declaration,rate_overall,combined,-0.005270396600582066,-0.010797915848057038,-0.0010089625011623251,True
31B,call_for_action,rate_overall,combined,-0.00526043389052822,-0.008607184693402646,-0.002110704039230686,True
31B,werewolf_accusations_made,rate_overall,combined,-0.007745212600542934,-0.015421293968784165,-0.00047940999837511335,True
31B,deception_accusations_made,rate_overall,combined,-0.0005599655095790238,-0.00498151445816345,0.0030731932500548368,False
31B,werewolf_accusations_received,rate_overall,combined,0.10308743674498477,0.0461963498397286,0.16596973833231843,True
31B,deception_accusations_received,rate_overall,combined,0.020906392205921987,-0.008778222245090547,0.05077674868582208,False
31B,claims_werewolf,rate_overall,combined,-0.001477569685537424,-0.03079966409576836,0.026547746781276943,False
31B,claims_tanner,rate_overall,combined,0.00037428017210903726,-0.0037862792027792106,0.00627078882387233,False
31B,claims_night_action_role,rate_overall,combined,0.003586729558410873,-0.009904062596441134,0.02283038925642606,False
