model,feature,representation,block,lofo_importance,ci_lo,ci_hi,excludes_zero
2B,accusation,rate_overall,combined,0.0024925667562644316,-0.002706549256066463,0.00905142338524871,False
2B,defense,rate_overall,combined,0.010509666171548228,-0.0008458028731574643,0.021702234054939543,False
2B,interrogation,rate_overall,combined,-0.0007230792785958431,-0.004838873479429168,0.004447429842836093,False
2B,evidence,rate_overall,combined,0.0005816768436591072,-0.004803394411330538,0.007646809461882466,False
2B,identity_declaration,rate_overall,combined,0.00016457000321625873,-0.0038158853114308444,0.003656494500722755,False
2B,call_for_action,rate_overall,combined,-0.0049392301952925,-0.010631166270418125,0.001119227658893556,False
2B,werewolf_accusations_made,rate_overall,combined,-0.00032705083528280777,-0.019629394309854255,0.01683945218311445,False
2B,deception_accusations_made,rate_overall,combined,0.0025030073569712523,-0.003687862202144108,0.009346787291481227,False
2B,werewolf_accusations_received,rate_overall,combined,0.15102553734395738,0.07187625783204175,0.23012998762432144,True
2B,deception_accusations_received,rate_overall,combined,-2.563788573252952e-05,-0.00807350323927843,0.007953022169714346,False
2B,claims_werewolf,rate_overall,combined,0.017113225399313394,-0.0058202045370744065,0.0426223921441942,False
2B,claims_tanner,rate_overall,combined,-1.4911401430870194e-05,-0.0037833658208675266,0.004455834789307969,False
2B,claims_night_action_role,rate_overall,combined,-0.0008437730724911119,-0.006306506575802685,0.005641537567541542,False
4B,accusation,rate_overall,combined,-0.001582882861105555,-0.0050578743032204465,0.0015056522080767003,False
4B,defense,rate_overall,combined,-0.0002345315618622142,-0.007955592668789728,0.005884344933204758,False
4B,interrogation,rate_overall,combined,-0.0015138533180858373,-0.006969506092711646,0.004678779329589002,False
4B,evidence,rate_overall,combined,0.0013583713412848339,-0.006479556677772649,0.01032637563772716,False
4B,identity_declaration,rate_overall,combined,-0.0025068218774431375,-0.005552697565132109,0.0006794136199098226,False
4B,call_for_action,rate_overall,combined,-0.003167157202544229,-0.00568413904744001,-0.0007988604458617074,True
4B,werewolf_accusations_made,rate_overall,combined,0.0004249111880521133,-0.0041088941342187725,0.006513446452143663,False
4B,deception_accusations_made,rate_overall,combined,-0.002935691471127452,-0.0077257702367662965,0.0012647530234585985,False
4B,werewolf_accusations_received,rate_overall,combined,0.08298503046422605,0.03247026191555897,0.1394269248660423,True
4B,deception_accusations_received,rate_overall,combined,0.0023808541196923007,-0.005453971006914059,0.010749856205510298,False
4B,claims_werewolf,rate_overall,combined,0.05729619337808429,0.011931518896929363,0.1035337802403031,True
4B,claims_tanner,rate_overall,combined,-0.0016518218920283229,-0.0035454144716730316,-6.51035414684693e-05,True
4B,claims_night_action_role,rate_overall,combined,0.0029504339906690335,-0.004459184529989854,0.010976725968835989,False
