model,decoding_group,run_label,semantic_category,discourse_relation,n_semantic_sentences,n_joint_sentences,conditional_prevalence,support_is_thin,thin_support_threshold
Gemma 4 2B,Stochastic,run_1,Mechanical,Comparison.Contrast,5,1,0.2,True,30
Gemma 4 2B,Stochastic,run_1,Mechanical,Comparison.Concession,5,0,0.0,True,30
Gemma 4 2B,Stochastic,run_1,Mechanical,Contingency.Cause,5,1,0.2,True,30
Gemma 4 2B,Stochastic,run_1,Mechanical,Contingency.Condition,5,0,0.0,True,30
Gemma 4 2B,Stochastic,run_1,Mechanical,Expansion.Conjunction,5,3,0.6,True,30
Gemma 4 2B,Stochastic,run_1,Mechanical,Expansion.Alternative,5,0,0.0,True,30
Gemma 4 2B,Stochastic,run_1,Mechanical,Expansion.Restatement,5,0,0.0,True,30
Gemma 4 2B,Stochastic,run_1,Mechanical,Temporal.Asynchronous,5,0,0.0,True,30
Gemma 4 2B,Stochastic,run_1,Mechanical,Temporal.Synchrony,5,0,0.0,True,30
Gemma 4 2B,Stochastic,run_1,Testimony,Comparison.Contrast,140,39,0.2785714285714286,False,30
Gemma 4 2B,Stochastic,run_1,Testimony,Comparison.Concession,140,0,0.0,False,30
Gemma 4 2B,Stochastic,run_1,Testimony,Contingency.Cause,140,8,0.05714285714285714,False,30
Gemma 4 2B,Stochastic,run_1,Testimony,Contingency.Condition,140,0,0.0,False,30
Gemma 4 2B,Stochastic,run_1,Testimony,Expansion.Conjunction,140,48,0.34285714285714286,False,30
Gemma 4 2B,Stochastic,run_1,Testimony,Expansion.Alternative,140,0,0.0,False,30
Gemma 4 2B,Stochastic,run_1,Testimony,Expansion.Restatement,140,0,0.0,False,30
Gemma 4 2B,Stochastic,run_1,Testimony,Temporal.Asynchronous,140,11,0.07857142857142857,False,30
Gemma 4 2B,Stochastic,run_1,Testimony,Temporal.Synchrony,140,8,0.05714285714285714,False,30
Gemma 4 2B,Stochastic,run_1,SocialJudgment,Comparison.Contrast,203,52,0.2561576354679803,False,30
Gemma 4 2B,Stochastic,run_1,SocialJudgment,Comparison.Concession,203,2,0.009852216748768473,False,30
Gemma 4 2B,Stochastic,run_1,SocialJudgment,Contingency.Cause,203,19,0.09359605911330049,False,30
Gemma 4 2B,Stochastic,run_1,SocialJudgment,Contingency.Condition,203,3,0.014778325123152709,False,30
Gemma 4 2B,Stochastic,run_1,SocialJudgment,Expansion.Conjunction,203,50,0.24630541871921183,False,30
Gemma 4 2B,Stochastic,run_1,SocialJudgment,Expansion.Alternative,203,1,0.0049261083743842365,False,30
Gemma 4 2B,Stochastic,run_1,SocialJudgment,Expansion.Restatement,203,0,0.0,False,30
Gemma 4 2B,Stochastic,run_1,SocialJudgment,Temporal.Asynchronous,203,17,0.08374384236453201,False,30
Gemma 4 2B,Stochastic,run_1,SocialJudgment,Temporal.Synchrony,203,8,0.03940886699507389,False,30
Gemma 4 2B,Stochastic,run_1,Behavioral,Comparison.Contrast,41,9,0.21951219512195122,False,30
Gemma 4 2B,Stochastic,run_1,Behavioral,Comparison.Concession,41,0,0.0,False,30
Gemma 4 2B,Stochastic,run_1,Behavioral,Contingency.Cause,41,7,0.17073170731707318,False,30
Gemma 4 2B,Stochastic,run_1,Behavioral,Contingency.Condition,41,0,0.0,False,30
Gemma 4 2B,Stochastic,run_1,Behavioral,Expansion.Conjunction,41,4,0.0975609756097561,False,30
Gemma 4 2B,Stochastic,run_1,Behavioral,Expansion.Alternative,41,2,0.04878048780487805,False,30
Gemma 4 2B,Stochastic,run_1,Behavioral,Expansion.Restatement,41,0,0.0,False,30
Gemma 4 2B,Stochastic,run_1,Behavioral,Temporal.Asynchronous,41,3,0.07317073170731707,False,30
Gemma 4 2B,Stochastic,run_1,Behavioral,Temporal.Synchrony,41,2,0.04878048780487805,False,30
Gemma 4 2B,Stochastic,run_1,ClaimComparison,Comparison.Contrast,21,7,0.3333333333333333,True,30
Gemma 4 2B,Stochastic,run_1,ClaimComparison,Comparison.Concession,21,0,0.0,True,30
Gemma 4 2B,Stochastic,run_1,ClaimComparison,Contingency.Cause,21,2,0.09523809523809523,True,30
Gemma 4 2B,Stochastic,run_1,ClaimComparison,Contingency.Condition,21,0,0.0,True,30
Gemma 4 2B,Stochastic,run_1,ClaimComparison,Expansion.Conjunction,21,8,0.38095238095238093,True,30
Gemma 4 2B,Stochastic,run_1,ClaimComparison,Expansion.Alternative,21,0,0.0,True,30
Gemma 4 2B,Stochastic,run_1,ClaimComparison,Expansion.Restatement,21,0,0.0,True,30
Gemma 4 2B,Stochastic,run_1,ClaimComparison,Temporal.Asynchronous,21,4,0.19047619047619047,True,30
Gemma 4 2B,Stochastic,run_1,ClaimComparison,Temporal.Synchrony,21,4,0.19047619047619047,True,30
Gemma 4 2B,Stochastic,run_1,Payoff,Comparison.Contrast,195,14,0.07179487179487179,False,30
Gemma 4 2B,Stochastic,run_1,Payoff,Comparison.Concession,195,0,0.0,False,30
Gemma 4 2B,Stochastic,run_1,Payoff,Contingency.Cause,195,87,0.4461538461538462,False,30
Gemma 4 2B,Stochastic,run_1,Payoff,Contingency.Condition,195,21,0.1076923076923077,False,30
Gemma 4 2B,Stochastic,run_1,Payoff,Expansion.Conjunction,195,29,0.14871794871794872,False,30
Gemma 4 2B,Stochastic,run_1,Payoff,Expansion.Alternative,195,0,0.0,False,30
Gemma 4 2B,Stochastic,run_1,Payoff,Expansion.Restatement,195,0,0.0,False,30
Gemma 4 2B,Stochastic,run_1,Payoff,Temporal.Asynchronous,195,1,0.005128205128205128,False,30
Gemma 4 2B,Stochastic,run_1,Payoff,Temporal.Synchrony,195,2,0.010256410256410256,False,30
Gemma 4 2B,Stochastic,run_1,Uncertainty,Comparison.Contrast,191,56,0.2931937172774869,False,30
Gemma 4 2B,Stochastic,run_1,Uncertainty,Comparison.Concession,191,1,0.005235602094240838,False,30
Gemma 4 2B,Stochastic,run_1,Uncertainty,Contingency.Cause,191,37,0.193717277486911,False,30
Gemma 4 2B,Stochastic,run_1,Uncertainty,Contingency.Condition,191,13,0.06806282722513089,False,30
Gemma 4 2B,Stochastic,run_1,Uncertainty,Expansion.Conjunction,191,37,0.193717277486911,False,30
Gemma 4 2B,Stochastic,run_1,Uncertainty,Expansion.Alternative,191,5,0.02617801047120419,False,30
Gemma 4 2B,Stochastic,run_1,Uncertainty,Expansion.Restatement,191,0,0.0,False,30
Gemma 4 2B,Stochastic,run_1,Uncertainty,Temporal.Asynchronous,191,2,0.010471204188481676,False,30
Gemma 4 2B,Stochastic,run_1,Uncertainty,Temporal.Synchrony,191,1,0.005235602094240838,False,30
Gemma 4 2B,Stochastic,run_2,Mechanical,Comparison.Contrast,7,2,0.2857142857142857,True,30
Gemma 4 2B,Stochastic,run_2,Mechanical,Comparison.Concession,7,0,0.0,True,30
Gemma 4 2B,Stochastic,run_2,Mechanical,Contingency.Cause,7,2,0.2857142857142857,True,30
Gemma 4 2B,Stochastic,run_2,Mechanical,Contingency.Condition,7,0,0.0,True,30
Gemma 4 2B,Stochastic,run_2,Mechanical,Expansion.Conjunction,7,3,0.42857142857142855,True,30
Gemma 4 2B,Stochastic,run_2,Mechanical,Expansion.Alternative,7,0,0.0,True,30
Gemma 4 2B,Stochastic,run_2,Mechanical,Expansion.Restatement,7,0,0.0,True,30
Gemma 4 2B,Stochastic,run_2,Mechanical,Temporal.Asynchronous,7,0,0.0,True,30
Gemma 4 2B,Stochastic,run_2,Mechanical,Temporal.Synchrony,7,0,0.0,True,30
Gemma 4 2B,Stochastic,run_2,Testimony,Comparison.Contrast,136,39,0.2867647058823529,False,30
Gemma 4 2B,Stochastic,run_2,Testimony,Comparison.Concession,136,1,0.007352941176470588,False,30
Gemma 4 2B,Stochastic,run_2,Testimony,Contingency.Cause,136,8,0.058823529411764705,False,30
Gemma 4 2B,Stochastic,run_2,Testimony,Contingency.Condition,136,1,0.007352941176470588,False,30
Gemma 4 2B,Stochastic,run_2,Testimony,Expansion.Conjunction,136,34,0.25,False,30
Gemma 4 2B,Stochastic,run_2,Testimony,Expansion.Alternative,136,1,0.007352941176470588,False,30
Gemma 4 2B,Stochastic,run_2,Testimony,Expansion.Restatement,136,0,0.0,False,30
Gemma 4 2B,Stochastic,run_2,Testimony,Temporal.Asynchronous,136,17,0.125,False,30
Gemma 4 2B,Stochastic,run_2,Testimony,Temporal.Synchrony,136,6,0.04411764705882353,False,30
Gemma 4 2B,Stochastic,run_2,SocialJudgment,Comparison.Contrast,190,62,0.3263157894736842,False,30
Gemma 4 2B,Stochastic,run_2,SocialJudgment,Comparison.Concession,190,1,0.005263157894736842,False,30
Gemma 4 2B,Stochastic,run_2,SocialJudgment,Contingency.Cause,190,23,0.12105263157894737,False,30
Gemma 4 2B,Stochastic,run_2,SocialJudgment,Contingency.Condition,190,1,0.005263157894736842,False,30
Gemma 4 2B,Stochastic,run_2,SocialJudgment,Expansion.Conjunction,190,51,0.26842105263157895,False,30
Gemma 4 2B,Stochastic,run_2,SocialJudgment,Expansion.Alternative,190,0,0.0,False,30
Gemma 4 2B,Stochastic,run_2,SocialJudgment,Expansion.Restatement,190,0,0.0,False,30
Gemma 4 2B,Stochastic,run_2,SocialJudgment,Temporal.Asynchronous,190,13,0.06842105263157895,False,30
Gemma 4 2B,Stochastic,run_2,SocialJudgment,Temporal.Synchrony,190,6,0.031578947368421054,False,30
Gemma 4 2B,Stochastic,run_2,Behavioral,Comparison.Contrast,34,9,0.2647058823529412,False,30
Gemma 4 2B,Stochastic,run_2,Behavioral,Comparison.Concession,34,0,0.0,False,30
Gemma 4 2B,Stochastic,run_2,Behavioral,Contingency.Cause,34,5,0.14705882352941177,False,30
Gemma 4 2B,Stochastic,run_2,Behavioral,Contingency.Condition,34,1,0.029411764705882353,False,30
Gemma 4 2B,Stochastic,run_2,Behavioral,Expansion.Conjunction,34,8,0.23529411764705882,False,30
Gemma 4 2B,Stochastic,run_2,Behavioral,Expansion.Alternative,34,1,0.029411764705882353,False,30
Gemma 4 2B,Stochastic,run_2,Behavioral,Expansion.Restatement,34,0,0.0,False,30
Gemma 4 2B,Stochastic,run_2,Behavioral,Temporal.Asynchronous,34,1,0.029411764705882353,False,30
Gemma 4 2B,Stochastic,run_2,Behavioral,Temporal.Synchrony,34,3,0.08823529411764706,False,30
Gemma 4 2B,Stochastic,run_2,ClaimComparison,Comparison.Contrast,13,4,0.3076923076923077,True,30
Gemma 4 2B,Stochastic,run_2,ClaimComparison,Comparison.Concession,13,0,0.0,True,30
Gemma 4 2B,Stochastic,run_2,ClaimComparison,Contingency.Cause,13,0,0.0,True,30
Gemma 4 2B,Stochastic,run_2,ClaimComparison,Contingency.Condition,13,0,0.0,True,30
Gemma 4 2B,Stochastic,run_2,ClaimComparison,Expansion.Conjunction,13,5,0.38461538461538464,True,30
Gemma 4 2B,Stochastic,run_2,ClaimComparison,Expansion.Alternative,13,0,0.0,True,30
Gemma 4 2B,Stochastic,run_2,ClaimComparison,Expansion.Restatement,13,0,0.0,True,30
Gemma 4 2B,Stochastic,run_2,ClaimComparison,Temporal.Asynchronous,13,6,0.46153846153846156,True,30
Gemma 4 2B,Stochastic,run_2,ClaimComparison,Temporal.Synchrony,13,0,0.0,True,30
Gemma 4 2B,Stochastic,run_2,Payoff,Comparison.Contrast,207,18,0.08695652173913043,False,30
Gemma 4 2B,Stochastic,run_2,Payoff,Comparison.Concession,207,0,0.0,False,30
Gemma 4 2B,Stochastic,run_2,Payoff,Contingency.Cause,207,97,0.46859903381642515,False,30
Gemma 4 2B,Stochastic,run_2,Payoff,Contingency.Condition,207,19,0.09178743961352658,False,30
Gemma 4 2B,Stochastic,run_2,Payoff,Expansion.Conjunction,207,37,0.178743961352657,False,30
Gemma 4 2B,Stochastic,run_2,Payoff,Expansion.Alternative,207,2,0.00966183574879227,False,30
Gemma 4 2B,Stochastic,run_2,Payoff,Expansion.Restatement,207,0,0.0,False,30
Gemma 4 2B,Stochastic,run_2,Payoff,Temporal.Asynchronous,207,0,0.0,False,30
Gemma 4 2B,Stochastic,run_2,Payoff,Temporal.Synchrony,207,1,0.004830917874396135,False,30
