decoding_group,semantic_category,discourse_relation,model_a,model_b,prevalence_a,prevalence_b,difference,ci_low,ci_high,ci_excludes_zero,n_semantic_sentences_a,n_semantic_sentences_b,support_is_thin,n_valid_replicates,n_games,n_replicates,seed
Stochastic,Mechanical,Comparison,Gemma 4 2B,Gemma 4 4B,0.1619047619047619,0.3637941006362058,-0.2018893387314439,-0.42063546176046174,0.05442881260895951,False,18,46,True,10000,191,10000,20260826
Stochastic,Mechanical,Comparison,Gemma 4 2B,Gemma 4 31B,0.1619047619047619,0.11652736975549027,0.04537739214927164,-0.11899307103568423,0.27230324869317096,False,18,368,True,10000,191,10000,20260826
Stochastic,Mechanical,Comparison,Gemma 4 4B,Gemma 4 31B,0.3637941006362058,0.11652736975549027,0.24726673088071555,0.08681080958655372,0.40664794813955474,True,46,368,True,10000,191,10000,20260826
Stochastic,Mechanical,Contingency,Gemma 4 2B,Gemma 4 4B,0.273015873015873,0.15962984384037016,0.11338602917550283,-0.15972810632350107,0.3671307026307026,False,18,46,True,10000,191,10000,20260826
Stochastic,Mechanical,Contingency,Gemma 4 2B,Gemma 4 31B,0.273015873015873,0.502417769275732,-0.22940189625985902,-0.4385985903067322,-0.03047420848632701,True,18,368,True,10000,191,10000,20260826
Stochastic,Mechanical,Contingency,Gemma 4 4B,Gemma 4 31B,0.15962984384037016,0.502417769275732,-0.34278792543536185,-0.4821354094921925,-0.17745568113859098,True,46,368,True,10000,191,10000,20260826
Stochastic,Mechanical,Expansion,Gemma 4 2B,Gemma 4 4B,0.3984126984126984,0.09080393290919607,0.3076087655035023,0.05079331366063004,0.5416973039215682,True,18,46,True,10000,191,10000,20260826
Stochastic,Mechanical,Expansion,Gemma 4 2B,Gemma 4 31B,0.3984126984126984,0.24292318553437633,0.15548951287832205,-0.09154259684969877,0.3871656614105226,False,18,368,True,10000,191,10000,20260826
Stochastic,Mechanical,Expansion,Gemma 4 4B,Gemma 4 31B,0.09080393290919607,0.24292318553437633,-0.15211925262518028,-0.24176243485624027,-0.04579726841753815,True,46,368,True,10000,191,10000,20260826
Stochastic,Mechanical,Temporal,Gemma 4 2B,Gemma 4 4B,0.05555555555555555,0.12589165220744167,-0.07033609665188612,-0.2076330532212885,0.0771643518518518,False,18,46,True,10000,191,10000,20260826
