model,stage,feature,representation,block,lofo_importance,ci_lo,ci_hi,excludes_zero
2B,BASE,accusation,count_overall,combined,-0.0007574701230465877,-0.002943251650010896,0.0011764270348051467,False
2B,BASE,defense,count_overall,combined,0.011374045848179429,0.003202323095110922,0.021300628554612875,True
2B,BASE,interrogation,count_overall,combined,-0.006551989278198216,-0.013091156801199341,6.267599034157935e-05,False
2B,BASE,evidence,count_overall,combined,-0.0021786139100822594,-0.006127216951991136,0.002582317583367558,False
2B,BASE,identity_declaration,count_overall,combined,-0.002912509339063155,-0.019414175917788247,0.00872682951040364,False
2B,BASE,call_for_action,count_overall,combined,0.002731875539037402,-0.0031473263604865145,0.008628115327144565,False
2B,BASE,werewolf_accusations_made,count_overall,combined,0.012897077391906825,0.0006644664782540139,0.023449854475428966,True
2B,BASE,deception_accusations_made,count_overall,combined,-0.007029741896618354,-0.011020753049323604,-0.003619661253935236,True
2B,BASE,werewolf_accusations_received,count_overall,combined,0.18409874978262067,0.11281284133031093,0.26162468647202586,True
2B,BASE,deception_accusations_received,count_overall,combined,-0.0053700467134954345,-0.009419081044763472,-0.0019953465123855926,True
2B,BASE,claims_werewolf,count_overall,combined,0.036739446410173335,-0.0398355198997268,0.10297599722354205,False
2B,BASE,claims_tanner,count_overall,combined,-0.00964564443430394,-0.014762551774605098,-0.005437366059922654,True
2B,BASE,claims_night_action_role,count_overall,combined,-0.01071377670118047,-0.015697761157036017,-0.006710144707730474,True
2B,FT,accusation,count_overall,combined,-0.0008778535615729456,-0.0015652502263328618,-0.0003842324928548096,True
2B,FT,defense,count_overall,combined,0.012625512034719096,0.002005130862385304,0.025001390953728657,True
2B,FT,interrogation,count_overall,combined,0.006546957793513186,-0.005391061998259122,0.019558059212182028,False
2B,FT,evidence,count_overall,combined,-0.0038815203309709896,-0.012789621012293825,0.0032284303784436306,False
2B,FT,identity_declaration,count_overall,combined,-0.006691010609933046,-0.012893942441218402,-0.0016988960034114366,True
2B,FT,call_for_action,count_overall,combined,0.008339096430857834,-0.003182706970682039,0.020022883400680848,False
2B,FT,werewolf_accusations_made,count_overall,combined,0.01101262863914884,-0.004665061780866715,0.026883594239728175,False
2B,FT,deception_accusations_made,count_overall,combined,-0.010137721383319451,-0.015169446327943039,-0.005396820939431555,True
2B,FT,werewolf_accusations_received,count_overall,combined,0.1599014639515403,0.07510463651081012,0.2489394354476684,True
2B,FT,deception_accusations_received,count_overall,combined,0.001812372071578626,-0.01432719012328996,0.015483962811239295,False
2B,FT,claims_werewolf,count_overall,combined,0.06643086327280925,-0.007824817943883058,0.12762048491387484,False
2B,FT,claims_tanner,count_overall,combined,-0.007689818690802644,-0.016256142638520873,-0.0016058082625968167,True
2B,FT,claims_night_action_role,count_overall,combined,-0.009559202480969461,-0.02172273929461508,0.0016170589085170608,False
4B,BASE,accusation,count_overall,combined,-0.0019730865268213827,-0.00306185318853453,-0.0009614286188051309,True
4B,BASE,defense,count_overall,combined,-0.0015699329711786197,-0.011880806047673673,0.00872902806792629,False
4B,BASE,interrogation,count_overall,combined,-0.0023469460765828836,-0.004784138538583034,-8.377241841494716e-05,True
4B,BASE,evidence,count_overall,combined,-0.002200812867450048,-0.005667110431991494,0.000915977382654828,False
4B,BASE,identity_declaration,count_overall,combined,-0.002360798782234602,-0.00756315148291796,0.0024876663341011026,False
4B,BASE,call_for_action,count_overall,combined,-0.002723894190486512,-0.0076021568468920804,0.0010958452332647097,False
4B,BASE,werewolf_accusations_made,count_overall,combined,0.00888901171097663,0.0016097207106179298,0.015299893474491897,True
4B,BASE,deception_accusations_made,count_overall,combined,0.004657656028403808,-0.004081343599221578,0.015416403299175227,False
4B,BASE,werewolf_accusations_received,count_overall,combined,0.1028040304493564,0.05300394127729869,0.14527465138722395,True
4B,BASE,deception_accusations_received,count_overall,combined,0.0016960446636800817,-0.015512605181176486,0.015415773326680596,False
4B,BASE,claims_werewolf,count_overall,combined,0.12134750278172532,0.0743957411803672,0.173192550364837,True
4B,BASE,claims_tanner,count_overall,combined,-0.0027116308219112635,-0.006580753056564104,9.682960736702285e-05,False
4B,BASE,claims_night_action_role,count_overall,combined,-0.00495043914951362,-0.008850545324393617,-0.0018650975947372482,True
4B,FT,accusation,count_overall,combined,-0.00461910853040844,-0.010025696690107467,0.00012121960363671084,False
4B,FT,defense,count_overall,combined,0.001548099344402681,-0.0177773678041444,0.018578543780702415,False
4B,FT,interrogation,count_overall,combined,-0.00255353624043094,-0.009739835139494774,0.004372782930930545,False
4B,FT,evidence,count_overall,combined,-0.003707911861438607,-0.019535813963065148,0.007996598378680045,False
4B,FT,identity_declaration,count_overall,combined,0.0009670145702233094,-0.010372643442529531,0.009398749238154817,False
4B,FT,call_for_action,count_overall,combined,-0.0030279420802509123,-0.0054036693028950466,-0.0012138882703643385,True
4B,FT,werewolf_accusations_made,count_overall,combined,0.029870434680507034,0.007610704418980101,0.05133075388175233,True
4B,FT,deception_accusations_made,count_overall,combined,0.009192590802013753,-0.008442477322254534,0.027752862282570366,False
4B,FT,werewolf_accusations_received,count_overall,combined,0.19004392269553647,0.11859023194061698,0.2644002869949234,True
4B,FT,deception_accusations_received,count_overall,combined,-0.0013888026822321006,-0.018276424922464736,0.011504208238808407,False
4B,FT,claims_werewolf,count_overall,combined,0.11209710978552771,0.07112727345427915,0.15748143815610044,True
4B,FT,claims_tanner,count_overall,combined,-0.0025329560267507586,-0.006187949116846198,0.0006720197380390494,False
4B,FT,claims_night_action_role,count_overall,combined,-0.002794379974310232,-0.011874885133487634,0.003666514106953639,False
31B,BASE,accusation,count_overall,combined,-0.0008322307959820368,-0.0060046596063771385,0.005353284852555047,False
31B,BASE,defense,count_overall,combined,0.0005809373168768844,-0.009643283886339152,0.011531737581636165,False
31B,BASE,interrogation,count_overall,combined,0.0020479017114940295,-0.00429964955900658,0.00899161811930575,False
31B,BASE,evidence,count_overall,combined,-0.003214961114035022,-0.00969857602793024,0.0031996196006495487,False
31B,BASE,identity_declaration,count_overall,combined,-0.003411113245586046,-0.012704900088405927,0.005168063526418814,False
31B,BASE,call_for_action,count_overall,combined,-0.002188787661521085,-0.0060183113919616855,0.0009491703085214737,False
31B,BASE,werewolf_accusations_made,count_overall,combined,-0.004244915181650492,-0.020389448349195597,0.008287291801995493,False
31B,BASE,deception_accusations_made,count_overall,combined,0.0028720149901013976,-0.005730393346588113,0.01434193474202529,False
31B,BASE,werewolf_accusations_received,count_overall,combined,0.13758585275820473,0.06326591683539354,0.20563657654062353,True
31B,BASE,deception_accusations_received,count_overall,combined,0.008172680202789094,-0.01867075340986049,0.034837404241682045,False
31B,BASE,claims_werewolf,count_overall,combined,0.014100201966048024,-0.015516962039454,0.0419601356343043,False
31B,BASE,claims_tanner,count_overall,combined,-0.0025842594875805963,-0.006313221255362259,0.0013422557526003868,False
