model,stage,feature,representation,block,n_outer_models,selection_freq,positive_selection_freq,negative_selection_freq,median_nonzero_coef,median_selected_lambda
2B,BASE,accusation,count_overall,combined,25,0.28,0.0,0.28,-0.04413127737560747,10.0
2B,BASE,defense,count_overall,combined,25,1.0,1.0,0.0,0.15144751334274834,10.0
2B,BASE,interrogation,count_overall,combined,25,0.88,0.0,0.88,-0.06343444379444158,10.0
2B,BASE,evidence,count_overall,combined,25,0.68,0.0,0.68,-0.03815049624553841,10.0
2B,BASE,identity_declaration,count_overall,combined,25,0.96,0.0,0.96,-0.1695621955909996,10.0
2B,BASE,call_for_action,count_overall,combined,25,1.0,0.0,1.0,-0.11374500303451135,10.0
2B,BASE,werewolf_accusations_made,count_overall,combined,25,1.0,1.0,0.0,0.21647650464529067,10.0
2B,BASE,deception_accusations_made,count_overall,combined,25,0.56,0.28,0.28,-0.004614045982781479,10.0
2B,BASE,werewolf_accusations_received,count_overall,combined,25,1.0,1.0,0.0,0.8547375983326082,10.0
2B,BASE,deception_accusations_received,count_overall,combined,25,0.28,0.08,0.2,-0.026083936256959133,10.0
2B,BASE,claims_werewolf,count_overall,combined,25,1.0,1.0,0.0,0.48884570216827683,10.0
2B,BASE,claims_tanner,count_overall,combined,25,0.4,0.4,0.0,0.06244951370200393,10.0
2B,BASE,claims_night_action_role,count_overall,combined,25,0.68,0.16,0.52,-0.021687862639990653,10.0
2B,FT,accusation,count_overall,combined,25,0.08,0.04,0.04,0.01134506549065674,10.0
2B,FT,defense,count_overall,combined,25,1.0,1.0,0.0,0.22442314778216585,10.0
2B,FT,interrogation,count_overall,combined,25,1.0,0.0,1.0,-0.13877293219602693,10.0
2B,FT,evidence,count_overall,combined,25,0.8,0.8,0.0,0.048279819285703386,10.0
2B,FT,identity_declaration,count_overall,combined,25,0.72,0.0,0.72,-0.08520605286974807,10.0
2B,FT,call_for_action,count_overall,combined,25,1.0,0.0,1.0,-0.20494533251330083,10.0
2B,FT,werewolf_accusations_made,count_overall,combined,25,1.0,1.0,0.0,0.2514747211823106,10.0
2B,FT,deception_accusations_made,count_overall,combined,25,0.32,0.08,0.24,-0.01237413304871704,10.0
2B,FT,werewolf_accusations_received,count_overall,combined,25,1.0,1.0,0.0,0.7654814392242137,10.0
2B,FT,deception_accusations_received,count_overall,combined,25,0.92,0.0,0.92,-0.10635382624796809,10.0
2B,FT,claims_werewolf,count_overall,combined,25,1.0,1.0,0.0,0.6076277120567537,10.0
2B,FT,claims_tanner,count_overall,combined,25,0.64,0.0,0.64,-0.030081738164689925,10.0
2B,FT,claims_night_action_role,count_overall,combined,25,0.72,0.0,0.72,-0.11095101820934147,10.0
4B,BASE,accusation,count_overall,combined,25,0.2,0.12,0.08,0.026432301895263504,10.0
4B,BASE,defense,count_overall,combined,25,0.76,0.76,0.0,0.103143855753046,10.0
4B,BASE,interrogation,count_overall,combined,25,0.52,0.04,0.48,-0.01563647830854961,10.0
4B,BASE,evidence,count_overall,combined,25,0.52,0.04,0.48,-0.024938057852274802,10.0
4B,BASE,identity_declaration,count_overall,combined,25,0.52,0.0,0.52,-0.08867378027746453,10.0
4B,BASE,call_for_action,count_overall,combined,25,0.48,0.0,0.48,-0.029970549914545737,10.0
4B,BASE,werewolf_accusations_made,count_overall,combined,25,1.0,1.0,0.0,0.15111817830207305,10.0
4B,BASE,deception_accusations_made,count_overall,combined,25,1.0,0.0,1.0,-0.14381552945790665,10.0
4B,BASE,werewolf_accusations_received,count_overall,combined,25,1.0,1.0,0.0,0.626113129908698,10.0
4B,BASE,deception_accusations_received,count_overall,combined,25,1.0,1.0,0.0,0.16142085478976664,10.0
4B,BASE,claims_werewolf,count_overall,combined,25,1.0,1.0,0.0,0.7811908638073319,10.0
4B,BASE,claims_tanner,count_overall,combined,25,0.44,0.32,0.12,0.024446202567564784,10.0
4B,BASE,claims_night_action_role,count_overall,combined,25,0.32,0.16,0.16,0.0012150455361031407,10.0
4B,FT,accusation,count_overall,combined,25,0.4,0.04,0.36,-0.04388355731326278,10.0
4B,FT,defense,count_overall,combined,25,1.0,1.0,0.0,0.16612353957775514,10.0
4B,FT,interrogation,count_overall,combined,25,0.76,0.0,0.76,-0.045660054156561825,10.0
4B,FT,evidence,count_overall,combined,25,0.88,0.88,0.0,0.11595785250880583,10.0
4B,FT,identity_declaration,count_overall,combined,25,0.52,0.0,0.52,-0.0600393420616031,10.0
4B,FT,call_for_action,count_overall,combined,25,0.24,0.04,0.2,-0.03429979660278699,10.0
4B,FT,werewolf_accusations_made,count_overall,combined,25,1.0,1.0,0.0,0.3575909647757802,10.0
4B,FT,deception_accusations_made,count_overall,combined,25,1.0,0.0,1.0,-0.22492470848101204,10.0
4B,FT,werewolf_accusations_received,count_overall,combined,25,1.0,1.0,0.0,0.9336128320072015,10.0
4B,FT,deception_accusations_received,count_overall,combined,25,0.96,0.96,0.0,0.10664098193984109,10.0
4B,FT,claims_werewolf,count_overall,combined,25,1.0,1.0,0.0,0.7719478749083741,10.0
4B,FT,claims_tanner,count_overall,combined,25,0.24,0.16,0.08,0.038797425198818875,10.0
4B,FT,claims_night_action_role,count_overall,combined,25,0.4,0.36,0.04,0.02204321491179031,10.0
31B,BASE,accusation,count_overall,combined,25,0.28,0.2,0.08,0.013653035801040587,10.0
31B,BASE,defense,count_overall,combined,25,0.84,0.84,0.0,0.104510415767781,10.0
31B,BASE,interrogation,count_overall,combined,25,0.96,0.0,0.96,-0.06609616543634628,10.0
31B,BASE,evidence,count_overall,combined,25,0.72,0.0,0.72,-0.05028855549441562,10.0
31B,BASE,identity_declaration,count_overall,combined,25,0.36,0.08,0.28,-0.024883727816116856,10.0
31B,BASE,call_for_action,count_overall,combined,25,0.56,0.56,0.0,0.02525270312767316,10.0
31B,BASE,werewolf_accusations_made,count_overall,combined,25,1.0,1.0,0.0,0.13515528152661593,10.0
31B,BASE,deception_accusations_made,count_overall,combined,25,0.24,0.0,0.24,-0.02851124067811238,10.0
31B,BASE,werewolf_accusations_received,count_overall,combined,25,1.0,1.0,0.0,0.7554387790068362,10.0
31B,BASE,deception_accusations_received,count_overall,combined,25,1.0,1.0,0.0,0.17582803858199736,10.0
31B,BASE,claims_werewolf,count_overall,combined,25,1.0,1.0,0.0,0.21526839168613182,10.0
31B,BASE,claims_tanner,count_overall,combined,25,0.44,0.04,0.4,-0.009867592160489687,10.0
31B,BASE,claims_night_action_role,count_overall,combined,25,0.4,0.36,0.04,0.03142713414267024,10.0
31B,FT,accusation,count_overall,combined,25,0.04,0.04,0.0,0.05642673405717171,10.0
31B,FT,defense,count_overall,combined,25,0.52,0.48,0.04,0.03779747276491011,10.0
31B,FT,interrogation,count_overall,combined,25,0.68,0.0,0.68,-0.04547902304583189,10.0
31B,FT,evidence,count_overall,combined,25,0.76,0.0,0.76,-0.06811465968073463,10.0
31B,FT,identity_declaration,count_overall,combined,25,0.28,0.0,0.28,-0.06593160384041143,10.0
31B,FT,call_for_action,count_overall,combined,25,0.28,0.16,0.12,0.019737331366758284,10.0
31B,FT,werewolf_accusations_made,count_overall,combined,25,0.84,0.84,0.0,0.105994993164786,10.0
31B,FT,deception_accusations_made,count_overall,combined,25,0.72,0.72,0.0,0.052730636564585015,10.0
31B,FT,werewolf_accusations_received,count_overall,combined,25,1.0,1.0,0.0,0.8540284544970835,10.0
31B,FT,deception_accusations_received,count_overall,combined,25,1.0,1.0,0.0,0.21420002452119216,10.0
31B,FT,claims_werewolf,count_overall,combined,25,1.0,1.0,0.0,0.17529068021925215,10.0
