model,feature,representation,block,lofo_importance,ci_lo,ci_hi,excludes_zero
2B,accusation,count_overall,combined,-0.0007251935092243059,-0.003178374234804769,0.0014483050468887008,False
2B,defense,count_overall,combined,0.01064443446625289,0.0024567445654096985,0.02042832362956052,True
2B,interrogation,count_overall,combined,-0.0011485070551666091,-0.007638610137784131,0.005450562896687774,False
2B,evidence,count_overall,combined,-0.002342689284373796,-0.006465779550092894,0.0024977326287167778,False
2B,identity_declaration,count_overall,combined,-0.0009163006538263967,-0.016500895901704976,0.01044321693776664,False
2B,call_for_action,count_overall,combined,0.0012211978417229399,-0.0044625741202157475,0.00681694295903366,False
2B,werewolf_accusations_made,count_overall,combined,0.021390424962720644,0.007257988981395061,0.03460905798916241,True
2B,deception_accusations_made,count_overall,combined,-0.00452048173108718,-0.008431894363588916,-0.0013025366206683544,True
2B,werewolf_accusations_received,count_overall,combined,0.1890848917592121,0.11746338491481158,0.2667413521576571,True
2B,deception_accusations_received,count_overall,combined,-0.0023370541900837876,-0.00508113369421731,-0.0002616680635480358,True
2B,claims_werewolf,count_overall,combined,0.04345832110507348,-0.03235950663051288,0.10832951302307327,False
2B,claims_tanner,count_overall,combined,-0.0032519842537711767,-0.00642307681820733,-0.000864830585766296,True
2B,claims_night_action_role,count_overall,combined,-0.004190431607843967,-0.00678318696419074,-0.0022733849717850906,True
4B,accusation,count_overall,combined,-0.0019730865268213827,-0.00306185318853453,-0.0009614286188051309,True
4B,defense,count_overall,combined,-0.0015699329711786197,-0.011880806047673673,0.00872902806792629,False
4B,interrogation,count_overall,combined,-0.0023469460765828836,-0.004784138538583034,-8.377241841494716e-05,True
4B,evidence,count_overall,combined,-0.002200812867450048,-0.005667110431991494,0.000915977382654828,False
4B,identity_declaration,count_overall,combined,-0.002360798782234602,-0.00756315148291796,0.0024876663341011026,False
4B,call_for_action,count_overall,combined,-0.002723894190486512,-0.0076021568468920804,0.0010958452332647097,False
4B,werewolf_accusations_made,count_overall,combined,0.00888901171097663,0.0016097207106179298,0.015299893474491897,True
4B,deception_accusations_made,count_overall,combined,0.004657656028403808,-0.004081343599221578,0.015416403299175227,False
4B,werewolf_accusations_received,count_overall,combined,0.1028040304493564,0.05300394127729869,0.14527465138722395,True
4B,deception_accusations_received,count_overall,combined,0.0016960446636800817,-0.015512605181176486,0.015415773326680596,False
4B,claims_werewolf,count_overall,combined,0.12134750278172532,0.0743957411803672,0.173192550364837,True
4B,claims_tanner,count_overall,combined,-0.0027116308219112635,-0.006580753056564104,9.682960736702285e-05,False
4B,claims_night_action_role,count_overall,combined,-0.00495043914951362,-0.008850545324393617,-0.0018650975947372482,True
31B,accusation,count_overall,combined,-0.004161606246113603,-0.009151129200660217,0.002394589776827159,False
31B,defense,count_overall,combined,-0.0020745309491904547,-0.01123209893925936,0.006715325238314257,False
31B,interrogation,count_overall,combined,0.00346484702680972,-0.0038658091415238447,0.012824376421171716,False
31B,evidence,count_overall,combined,-0.0013649985694815252,-0.009102755776615542,0.00545730102924258,False
31B,identity_declaration,count_overall,combined,-0.00032025679189143214,-0.011589383398468711,0.00981862031133718,False
31B,call_for_action,count_overall,combined,0.0009770175439911316,-0.005325315904804846,0.007410406413370801,False
31B,werewolf_accusations_made,count_overall,combined,-0.0007036299343709712,-0.01645452008567003,0.011448891284889887,False
31B,deception_accusations_made,count_overall,combined,-0.0009198120529722596,-0.006431413551023016,0.005518347103332758,False
31B,werewolf_accusations_received,count_overall,combined,0.13152963258746408,0.061767964655012504,0.19493102334599072,True
31B,deception_accusations_received,count_overall,combined,0.008270093590031108,-0.015751563537493414,0.03329003820035204,False
31B,claims_werewolf,count_overall,combined,0.01696407715996828,-0.011244053956169741,0.04467137634599677,False
31B,claims_tanner,count_overall,combined,0.0007743036231387557,-0.003339319942971913,0.00653207496078314,False
31B,claims_night_action_role,count_overall,combined,0.00043532053826607624,-0.006493837514061653,0.009238755681055656,False
