model,decoding_group,run_label,semantic_category,discourse_relation,n_justifications_with_both,n_with_same_sentence,localization_rate
Gemma 4 2B,Stochastic,run_1,Mechanical,Comparison,1,1,1.0
Gemma 4 2B,Stochastic,run_1,Mechanical,Contingency,4,1,0.25
Gemma 4 2B,Stochastic,run_1,Mechanical,Expansion,3,3,1.0
Gemma 4 2B,Stochastic,run_1,Mechanical,Temporal,1,0,0.0
Gemma 4 2B,Stochastic,run_1,Mechanical,Any explicit,4,3,0.75
Gemma 4 2B,Stochastic,run_1,Testimony,Comparison,60,37,0.6166666666666667
Gemma 4 2B,Stochastic,run_1,Testimony,Contingency,42,8,0.19047619047619047
Gemma 4 2B,Stochastic,run_1,Testimony,Expansion,57,45,0.7894736842105263
Gemma 4 2B,Stochastic,run_1,Testimony,Temporal,29,19,0.6551724137931034
Gemma 4 2B,Stochastic,run_1,Testimony,Any explicit,103,76,0.7378640776699029
Gemma 4 2B,Stochastic,run_1,SocialJudgment,Comparison,72,54,0.75
Gemma 4 2B,Stochastic,run_1,SocialJudgment,Contingency,62,21,0.3387096774193548
Gemma 4 2B,Stochastic,run_1,SocialJudgment,Expansion,64,49,0.765625
Gemma 4 2B,Stochastic,run_1,SocialJudgment,Temporal,31,25,0.8064516129032258
Gemma 4 2B,Stochastic,run_1,SocialJudgment,Any explicit,122,102,0.8360655737704918
Gemma 4 2B,Stochastic,run_1,Behavioral,Comparison,15,9,0.6
Gemma 4 2B,Stochastic,run_1,Behavioral,Contingency,15,7,0.4666666666666667
Gemma 4 2B,Stochastic,run_1,Behavioral,Expansion,13,5,0.38461538461538464
Gemma 4 2B,Stochastic,run_1,Behavioral,Temporal,8,5,0.625
Gemma 4 2B,Stochastic,run_1,Behavioral,Any explicit,29,20,0.6896551724137931
Gemma 4 2B,Stochastic,run_1,ClaimComparison,Comparison,11,7,0.6363636363636364
Gemma 4 2B,Stochastic,run_1,ClaimComparison,Contingency,6,2,0.3333333333333333
Gemma 4 2B,Stochastic,run_1,ClaimComparison,Expansion,9,8,0.8888888888888888
Gemma 4 2B,Stochastic,run_1,ClaimComparison,Temporal,11,8,0.7272727272727273
Gemma 4 2B,Stochastic,run_1,ClaimComparison,Any explicit,17,14,0.8235294117647058
Gemma 4 2B,Stochastic,run_1,Payoff,Comparison,101,14,0.13861386138613863
Gemma 4 2B,Stochastic,run_1,Payoff,Contingency,98,92,0.9387755102040817
Gemma 4 2B,Stochastic,run_1,Payoff,Expansion,89,28,0.3146067415730337
Gemma 4 2B,Stochastic,run_1,Payoff,Temporal,34,3,0.08823529411764706
Gemma 4 2B,Stochastic,run_1,Payoff,Any explicit,169,108,0.6390532544378699
Gemma 4 2B,Stochastic,run_1,Uncertainty,Comparison,77,55,0.7142857142857143
Gemma 4 2B,Stochastic,run_1,Uncertainty,Contingency,69,39,0.5652173913043478
Gemma 4 2B,Stochastic,run_1,Uncertainty,Expansion,63,36,0.5714285714285714
Gemma 4 2B,Stochastic,run_1,Uncertainty,Temporal,16,3,0.1875
Gemma 4 2B,Stochastic,run_1,Uncertainty,Any explicit,112,84,0.75
Gemma 4 2B,Stochastic,run_2,Mechanical,Comparison,5,2,0.4
Gemma 4 2B,Stochastic,run_2,Mechanical,Contingency,6,2,0.3333333333333333
Gemma 4 2B,Stochastic,run_2,Mechanical,Expansion,5,3,0.6
Gemma 4 2B,Stochastic,run_2,Mechanical,Temporal,0,0,
Gemma 4 2B,Stochastic,run_2,Mechanical,Any explicit,6,5,0.8333333333333334
Gemma 4 2B,Stochastic,run_2,Testimony,Comparison,56,39,0.6964285714285714
Gemma 4 2B,Stochastic,run_2,Testimony,Contingency,53,9,0.16981132075471697
Gemma 4 2B,Stochastic,run_2,Testimony,Expansion,45,35,0.7777777777777778
Gemma 4 2B,Stochastic,run_2,Testimony,Temporal,21,20,0.9523809523809523
Gemma 4 2B,Stochastic,run_2,Testimony,Any explicit,94,76,0.8085106382978723
Gemma 4 2B,Stochastic,run_2,SocialJudgment,Comparison,66,60,0.9090909090909091
Gemma 4 2B,Stochastic,run_2,SocialJudgment,Contingency,55,23,0.41818181818181815
Gemma 4 2B,Stochastic,run_2,SocialJudgment,Expansion,50,44,0.88
Gemma 4 2B,Stochastic,run_2,SocialJudgment,Temporal,18,17,0.9444444444444444
Gemma 4 2B,Stochastic,run_2,SocialJudgment,Any explicit,103,96,0.9320388349514563
Gemma 4 2B,Stochastic,run_2,Behavioral,Comparison,17,9,0.5294117647058824
Gemma 4 2B,Stochastic,run_2,Behavioral,Contingency,21,5,0.23809523809523808
Gemma 4 2B,Stochastic,run_2,Behavioral,Expansion,14,9,0.6428571428571429
Gemma 4 2B,Stochastic,run_2,Behavioral,Temporal,3,3,1.0
Gemma 4 2B,Stochastic,run_2,Behavioral,Any explicit,29,20,0.6896551724137931
Gemma 4 2B,Stochastic,run_2,ClaimComparison,Comparison,4,4,1.0
Gemma 4 2B,Stochastic,run_2,ClaimComparison,Contingency,10,0,0.0
Gemma 4 2B,Stochastic,run_2,ClaimComparison,Expansion,8,5,0.625
Gemma 4 2B,Stochastic,run_2,ClaimComparison,Temporal,7,6,0.8571428571428571
Gemma 4 2B,Stochastic,run_2,ClaimComparison,Any explicit,13,10,0.7692307692307693
Gemma 4 2B,Stochastic,run_2,Payoff,Comparison,111,18,0.16216216216216217
Gemma 4 2B,Stochastic,run_2,Payoff,Contingency,105,98,0.9333333333333333
Gemma 4 2B,Stochastic,run_2,Payoff,Expansion,85,37,0.43529411764705883
Gemma 4 2B,Stochastic,run_2,Payoff,Temporal,23,1,0.043478260869565216
Gemma 4 2B,Stochastic,run_2,Payoff,Any explicit,170,120,0.7058823529411765
Gemma 4 2B,Stochastic,run_2,Uncertainty,Comparison,86,54,0.627906976744186
Gemma 4 2B,Stochastic,run_2,Uncertainty,Contingency,69,37,0.5362318840579711
Gemma 4 2B,Stochastic,run_2,Uncertainty,Expansion,58,29,0.5
Gemma 4 2B,Stochastic,run_2,Uncertainty,Temporal,10,2,0.2
Gemma 4 2B,Stochastic,run_2,Uncertainty,Any explicit,109,73,0.6697247706422018
Gemma 4 2B,Stochastic,run_3,Mechanical,Comparison,4,0,0.0
Gemma 4 2B,Stochastic,run_3,Mechanical,Contingency,4,2,0.5
Gemma 4 2B,Stochastic,run_3,Mechanical,Expansion,2,1,0.5
Gemma 4 2B,Stochastic,run_3,Mechanical,Temporal,2,1,0.5
Gemma 4 2B,Stochastic,run_3,Mechanical,Any explicit,6,3,0.5
Gemma 4 2B,Stochastic,run_3,Testimony,Comparison,58,42,0.7241379310344828
Gemma 4 2B,Stochastic,run_3,Testimony,Contingency,64,21,0.328125
Gemma 4 2B,Stochastic,run_3,Testimony,Expansion,44,35,0.7954545454545454
Gemma 4 2B,Stochastic,run_3,Testimony,Temporal,16,16,1.0
Gemma 4 2B,Stochastic,run_3,Testimony,Any explicit,99,79,0.797979797979798
Gemma 4 2B,Stochastic,run_3,SocialJudgment,Comparison,58,49,0.8448275862068966
Gemma 4 2B,Stochastic,run_3,SocialJudgment,Contingency,60,25,0.4166666666666667
Gemma 4 2B,Stochastic,run_3,SocialJudgment,Expansion,49,37,0.7551020408163265
Gemma 4 2B,Stochastic,run_3,SocialJudgment,Temporal,15,12,0.8
Gemma 4 2B,Stochastic,run_3,SocialJudgment,Any explicit,105,87,0.8285714285714286
Gemma 4 2B,Stochastic,run_3,Behavioral,Comparison,16,14,0.875
Gemma 4 2B,Stochastic,run_3,Behavioral,Contingency,15,6,0.4
Gemma 4 2B,Stochastic,run_3,Behavioral,Expansion,17,9,0.5294117647058824
Gemma 4 2B,Stochastic,run_3,Behavioral,Temporal,6,3,0.5
Gemma 4 2B,Stochastic,run_3,Behavioral,Any explicit,33,24,0.7272727272727273
Gemma 4 2B,Stochastic,run_3,ClaimComparison,Comparison,10,6,0.6
Gemma 4 2B,Stochastic,run_3,ClaimComparison,Contingency,7,1,0.14285714285714285
Gemma 4 2B,Stochastic,run_3,ClaimComparison,Expansion,8,4,0.5
Gemma 4 2B,Stochastic,run_3,ClaimComparison,Temporal,4,3,0.75
Gemma 4 2B,Stochastic,run_3,ClaimComparison,Any explicit,15,10,0.6666666666666666
Gemma 4 2B,Stochastic,run_3,Payoff,Comparison,100,13,0.13
Gemma 4 2B,Stochastic,run_3,Payoff,Contingency,112,103,0.9196428571428571
Gemma 4 2B,Stochastic,run_3,Payoff,Expansion,75,36,0.48
Gemma 4 2B,Stochastic,run_3,Payoff,Temporal,20,2,0.1
Gemma 4 2B,Stochastic,run_3,Payoff,Any explicit,167,116,0.6946107784431138
Gemma 4 2B,Stochastic,run_3,Uncertainty,Comparison,84,55,0.6547619047619048
Gemma 4 2B,Stochastic,run_3,Uncertainty,Contingency,77,43,0.5584415584415584
Gemma 4 2B,Stochastic,run_3,Uncertainty,Expansion,51,30,0.5882352941176471
Gemma 4 2B,Stochastic,run_3,Uncertainty,Temporal,12,0,0.0
Gemma 4 2B,Stochastic,run_3,Uncertainty,Any explicit,112,79,0.7053571428571429
Gemma 4 2B,Greedy,greedy_t0,Mechanical,Comparison,2,0,0.0
Gemma 4 2B,Greedy,greedy_t0,Mechanical,Contingency,4,1,0.25
Gemma 4 2B,Greedy,greedy_t0,Mechanical,Expansion,2,1,0.5
Gemma 4 2B,Greedy,greedy_t0,Mechanical,Temporal,1,1,1.0
Gemma 4 2B,Greedy,greedy_t0,Mechanical,Any explicit,5,1,0.2
Gemma 4 2B,Greedy,greedy_t0,Testimony,Comparison,69,49,0.7101449275362319
Gemma 4 2B,Greedy,greedy_t0,Testimony,Contingency,66,16,0.24242424242424243
Gemma 4 2B,Greedy,greedy_t0,Testimony,Expansion,54,43,0.7962962962962963
Gemma 4 2B,Greedy,greedy_t0,Testimony,Temporal,20,18,0.9
Gemma 4 2B,Greedy,greedy_t0,Testimony,Any explicit,101,79,0.7821782178217822
Gemma 4 2B,Greedy,greedy_t0,SocialJudgment,Comparison,62,58,0.9354838709677419
Gemma 4 2B,Greedy,greedy_t0,SocialJudgment,Contingency,58,19,0.3275862068965517
Gemma 4 2B,Greedy,greedy_t0,SocialJudgment,Expansion,50,37,0.74
Gemma 4 2B,Greedy,greedy_t0,SocialJudgment,Temporal,15,11,0.7333333333333333
Gemma 4 2B,Greedy,greedy_t0,SocialJudgment,Any explicit,94,80,0.851063829787234
Gemma 4 2B,Greedy,greedy_t0,Behavioral,Comparison,19,13,0.6842105263157895
Gemma 4 2B,Greedy,greedy_t0,Behavioral,Contingency,22,9,0.4090909090909091
Gemma 4 2B,Greedy,greedy_t0,Behavioral,Expansion,13,7,0.5384615384615384
Gemma 4 2B,Greedy,greedy_t0,Behavioral,Temporal,3,3,1.0
Gemma 4 2B,Greedy,greedy_t0,Behavioral,Any explicit,33,24,0.7272727272727273
Gemma 4 2B,Greedy,greedy_t0,ClaimComparison,Comparison,10,8,0.8
Gemma 4 2B,Greedy,greedy_t0,ClaimComparison,Contingency,9,1,0.1111111111111111
Gemma 4 2B,Greedy,greedy_t0,ClaimComparison,Expansion,10,8,0.8
Gemma 4 2B,Greedy,greedy_t0,ClaimComparison,Temporal,5,4,0.8
Gemma 4 2B,Greedy,greedy_t0,ClaimComparison,Any explicit,15,13,0.8666666666666667
Gemma 4 2B,Greedy,greedy_t0,Payoff,Comparison,107,9,0.08411214953271028
Gemma 4 2B,Greedy,greedy_t0,Payoff,Contingency,117,111,0.9487179487179487
Gemma 4 2B,Greedy,greedy_t0,Payoff,Expansion,90,33,0.36666666666666664
Gemma 4 2B,Greedy,greedy_t0,Payoff,Temporal,24,0,0.0
Gemma 4 2B,Greedy,greedy_t0,Payoff,Any explicit,168,120,0.7142857142857143
Gemma 4 2B,Greedy,greedy_t0,Uncertainty,Comparison,91,60,0.6593406593406593
Gemma 4 2B,Greedy,greedy_t0,Uncertainty,Contingency,90,47,0.5222222222222223
Gemma 4 2B,Greedy,greedy_t0,Uncertainty,Expansion,62,36,0.5806451612903226
Gemma 4 2B,Greedy,greedy_t0,Uncertainty,Temporal,11,0,0.0
Gemma 4 2B,Greedy,greedy_t0,Uncertainty,Any explicit,120,89,0.7416666666666667
Gemma 4 4B,Stochastic,run_1,Mechanical,Comparison,10,7,0.7
