model,feature,column,beta,odds_ratio,selected_penalty
2B,accusation,accusation,-0.05583219461942998,0.9456978157582336,10.0
2B,defense,defense,0.23879697645335596,1.2697207272087498,10.0
2B,interrogation,interrogation,-0.0962381044441189,0.9082477324992194,10.0
2B,evidence,evidence,-0.0605667001454215,0.9412309866809465,10.0
2B,identity_declaration,identity_declaration,-0.2411464608743803,0.7857265397646698,10.0
2B,call_for_action,call_for_action,-0.13910099390132424,0.8701401451725286,10.0
2B,werewolf_accusations_made,werewolf_accusations_made,0.30373979552443325,1.3549164548918744,10.0
2B,deception_accusations_made,deception_accusations_made,-0.017937727031798138,0.9822221963454496,10.0
2B,werewolf_accusations_received,werewolf_accusations_received,0.874901325253259,2.3986385972331896,10.0
2B,deception_accusations_received,deception_accusations_received,-0.03165553516434341,0.9688402560059937,10.0
2B,claims_werewolf,claims_werewolf,0.531375428198661,1.701270675782865,10.0
2B,claims_tanner,claims_tanner,0.05278565164279187,1.0542036540784026,10.0
2B,claims_night_action_role,claims_night_action_role,0.014997296981063793,1.0151103207495913,10.0
4B,accusation,accusation,0.022854767398616447,1.023117938676877,10.0
4B,defense,defense,0.1645206509849914,1.1788279132577897,10.0
4B,interrogation,interrogation,-0.025112899983033378,0.9751998057714266,10.0
4B,evidence,evidence,-0.05954198132793872,0.9421959781226003,10.0
4B,identity_declaration,identity_declaration,-0.14794853305537659,0.8624755027787231,10.0
4B,call_for_action,call_for_action,-0.06011532859930153,0.9416559274625349,10.0
4B,werewolf_accusations_made,werewolf_accusations_made,0.22678826145373449,1.2545642002152726,10.0
4B,deception_accusations_made,deception_accusations_made,-0.2124380288329814,0.8086104253004998,10.0
4B,werewolf_accusations_received,werewolf_accusations_received,0.6871753375115357,1.988091905927337,10.0
4B,deception_accusations_received,deception_accusations_received,0.18533801988947446,1.2036252206379194,10.0
4B,claims_werewolf,claims_werewolf,0.8253085413964937,2.2825849286334488,10.0
4B,claims_tanner,claims_tanner,0.034033002471465346,1.0346187511405018,10.0
4B,claims_night_action_role,claims_night_action_role,0.06550930391642382,1.0677026710837036,10.0
31B,accusation,accusation,-0.004081689261891921,0.9959266295096612,10.0
31B,defense,defense,0.15519333744749014,1.1678837349394318,10.0
31B,interrogation,interrogation,-0.11841323853246742,0.8883288850311469,10.0
31B,evidence,evidence,-0.11385977797844138,0.892383078869028,10.0
31B,identity_declaration,identity_declaration,-0.16678643622507083,0.8463803482192674,10.0
31B,call_for_action,call_for_action,0.07862693977947366,1.081800669985218,10.0
31B,werewolf_accusations_made,werewolf_accusations_made,0.2604245082259112,1.2974807610306223,10.0
31B,deception_accusations_made,deception_accusations_made,-0.06176346976271661,0.9401052238069972,10.0
31B,werewolf_accusations_received,werewolf_accusations_received,0.8073391142092208,2.241934511148328,10.0
31B,deception_accusations_received,deception_accusations_received,0.21972299740468745,1.2457316119006423,10.0
31B,claims_werewolf,claims_werewolf,0.29842630815316973,1.34773621636644,10.0
31B,claims_tanner,claims_tanner,-0.007100559383652615,0.9929245900279592,10.0
31B,claims_night_action_role,claims_night_action_role,0.12581622335988346,1.1340737328705603,10.0
