model,feature,selection_freq,lambda
2B,pt_accusation,0.065,21.759
2B,pt_defense,0.275,21.759
2B,pt_interrogation,0.09,21.759
2B,pt_identity_declaration,0.105,21.759
2B,pt_evidence,0.135,21.759
2B,pt_call_for_action,0.11,21.759
2B,n_utterances,0.2,21.759
2B,werewolf_count,1.0,21.759
2B,deception_count,0.145,21.759
2B,claims_werewolf,1.0,21.759
2B,claims_info_role,0.595,21.759
2B,n_distinct_roles_claimed_self,0.05,21.759
2B,is_circle_option,1.0,21.759
31B,pt_accusation,0.015,26.33
31B,pt_defense,0.145,26.33
31B,pt_interrogation,0.095,26.33
31B,pt_identity_declaration,0.01,26.33
31B,pt_evidence,0.11,26.33
31B,pt_call_for_action,0.065,26.33
31B,n_utterances,0.01,26.33
31B,werewolf_count,1.0,26.33
31B,deception_count,0.895,26.33
31B,claims_werewolf,1.0,26.33
31B,claims_info_role,0.61,26.33
31B,n_distinct_roles_claimed_self,0.03,26.33
31B,is_circle_option,1.0,26.33
4B,pt_accusation,0.185,14.991
4B,pt_defense,0.475,14.991
4B,pt_interrogation,0.155,14.991
4B,pt_identity_declaration,0.215,14.991
4B,pt_evidence,0.205,14.991
4B,pt_call_for_action,0.135,14.991
4B,n_utterances,0.02,14.991
4B,werewolf_count,1.0,14.991
4B,deception_count,0.885,14.991
4B,claims_werewolf,1.0,14.991
4B,claims_info_role,0.58,14.991
4B,n_distinct_roles_claimed_self,0.18,14.991
4B,is_circle_option,1.0,14.991
