occurrence_id,justification_id,model,game_id,run_label,run_number,decoding_group,marker,category,matched_text,start,end,component_variant,gap_tokens,sentence,match_type,sentence_id,sentence_text,char_spans
0,0,Gemma 4 2B,Ego4D / 0a6ef9dc-a2dc-452b-a907-d6fa2ed4cae0 / Game1,run_1,1,Stochastic,and,Expansion,and,99,102,,0,,contiguous,1,"Hailey exhibits highly suspicious behavior throughout the transcript, including manipulating cards and making vague, evasive statements about the night actions.",99-102
1,0,Gemma 4 2B,Ego4D / 0a6ef9dc-a2dc-452b-a907-d6fa2ed4cae0 / Game1,run_1,1,Stochastic,while,Comparison,While,161,166,,0,,contiguous,2,"While the transcript does not definitively confirm the Werewolf's identity, Team Village needs to eliminate a suspect to increase their chances of winning.",161-166
2,1,Gemma 4 2B,Ego4D / 0a6ef9dc-a2dc-452b-a907-d6fa2ed4cae0 / Game2,run_1,1,Stochastic,and,Expansion,and,71,74,,0,,contiguous,1,"The discussion transcript is heavily complicated by role swaps (Robber and Troublemaker), making it impossible to definitively determine who holds the Werewolf card.",71-74
3,1,Gemma 4 2B,Ego4D / 0a6ef9dc-a2dc-452b-a907-d6fa2ed4cae0 / Game2,run_1,1,Stochastic,and,Expansion,and,190,193,,0,,contiguous,2,"Players are speculating and debating theories about who might be lying or who swapped cards, indicating a lack of clear information.",190-193
4,1,Gemma 4 2B,Ego4D / 0a6ef9dc-a2dc-452b-a907-d6fa2ed4cae0 / Game2,run_1,1,Stochastic,or,Expansion,or,237,239,,0,,contiguous,2,"Players are speculating and debating theories about who might be lying or who swapped cards, indicating a lack of clear information.",237-239
5,1,Gemma 4 2B,Ego4D / 0a6ef9dc-a2dc-452b-a907-d6fa2ed4cae0 / Game2,run_1,1,Stochastic,since,Contingency,Since,299,304,,0,,contiguous,3,"Since I cannot confirm the presence of a Werewolf, and the game rules state that Team Village wins if no Werewolf is present and no one dies, the safest choice is to assume no Werewolf is currently active.",299-304
6,1,Gemma 4 2B,Ego4D / 0a6ef9dc-a2dc-452b-a907-d6fa2ed4cae0 / Game2,run_1,1,Stochastic,and,Expansion,and,350,353,,0,,contiguous,3,"Since I cannot confirm the presence of a Werewolf, and the game rules state that Team Village wins if no Werewolf is present and no one dies, the safest choice is to assume no Werewolf is currently active.",350-353
7,1,Gemma 4 2B,Ego4D / 0a6ef9dc-a2dc-452b-a907-d6fa2ed4cae0 / Game2,run_1,1,Stochastic,if,Contingency,if,398,400,,0,,contiguous,3,"Since I cannot confirm the presence of a Werewolf, and the game rules state that Team Village wins if no Werewolf is present and no one dies, the safest choice is to assume no Werewolf is currently active.",398-400
8,1,Gemma 4 2B,Ego4D / 0a6ef9dc-a2dc-452b-a907-d6fa2ed4cae0 / Game2,run_1,1,Stochastic,and,Expansion,and,424,427,,0,,contiguous,3,"Since I cannot confirm the presence of a Werewolf, and the game rules state that Team Village wins if no Werewolf is present and no one dies, the safest choice is to assume no Werewolf is currently active.",424-427
9,2,Gemma 4 2B,Ego4D / 0c2659db-7bd4-4b37-9b08-4e247befe382 / Game4,run_1,1,Stochastic,and,Expansion,and,73,76,,0,,contiguous,1,"The discussion heavily suggested that Ashley claimed to be the Werewolf, and Elliot was identified as the Robber, a Village role.",73-76
