path,run_label,decoding,source,session_name,game_key,game_id,status,chosen_vote_raw,chosen_player_name,is_circle_vote,is_correct,voted_player_end_role,voted_player_start_role,justification
C:\Users\annab\Documents\GitHub\masters_thesis_sdg\results\voting\unsloth_gemma-4-31B-it-unsloth-bnb-4bit__ft_gemma-4-31B-role-inference-traced-final_adapter\prompt_v4_run_1\Ego4D\0a6ef9dc-a2dc-452b-a907-d6fa2ed4cae0_Game1.json,run_1,stochastic,Ego4D,0a6ef9dc-a2dc-452b-a907-d6fa2ed4cae0,Game1,Ego4D / 0a6ef9dc-a2dc-452b-a907-d6fa2ed4cae0 / Game1,player_vote,Brent,Brent,False,True,Werewolf,Seer,"Brent claimed to be the Seer, which was confirmed by Sebastian who claimed to be the Robber and took Brent's card. However, Hailey, the Troublemaker, admitted to swapping cards randomly, and Erin, who admitted to being the Werewolf, stated she felt her card move. Since both Erin and Hailey pointed at Brent during the vote, it is highly probable that Hailey swapped the Werewolf card from Erin to Brent, making Brent the final Werewolf."
C:\Users\annab\Documents\GitHub\masters_thesis_sdg\results\voting\unsloth_gemma-4-31B-it-unsloth-bnb-4bit__ft_gemma-4-31B-role-inference-traced-final_adapter\prompt_v4_run_1\Ego4D\0a6ef9dc-a2dc-452b-a907-d6fa2ed4cae0_Game2.json,run_1,stochastic,Ego4D,0a6ef9dc-a2dc-452b-a907-d6fa2ed4cae0,Game2,Ego4D / 0a6ef9dc-a2dc-452b-a907-d6fa2ed4cae0 / Game2,player_vote,Jack,Jack,False,True,Werewolf,Werewolf,"Sebastian claimed to be the Robber and swapped cards with Hailey, which is consistent with the game rules. Jack claimed to be the Troublemaker and stated he swapped cards with Brent, but the Troublemaker cannot swap their own card, only two other players. Furthermore, the moderator (Erin) mentioned she may have skipped the Troublemaker's turn entirely, making Jack's claim a blatant lie. This strongly suggests Jack is the Werewolf attempting to bluff a role."
C:\Users\annab\Documents\GitHub\masters_thesis_sdg\results\voting\unsloth_gemma-4-31B-it-unsloth-bnb-4bit__ft_gemma-4-31B-role-inference-traced-final_adapter\prompt_v4_run_1\Ego4D\0c2659db-7bd4-4b37-9b08-4e247befe382_Game4.json,run_1,stochastic,Ego4D,0c2659db-7bd4-4b37-9b08-4e247befe382,Game4,Ego4D / 0c2659db-7bd4-4b37-9b08-4e247befe382 / Game4,player_vote,Sian,Sian,False,False,Robber,Tanner,"Chris claims to be the Seer and states that the Villager card is in the center, which contradicts Sian's claim of being a Villager. Ashley's admission of being a Werewolf is highly characteristic of a Tanner attempting to attract votes. If Ashley is the Tanner and Elliot (the Robber) swapped with her, Elliot becomes the Tanner and Ashley becomes the Robber, leaving Sian as the most likely Werewolf."
C:\Users\annab\Documents\GitHub\masters_thesis_sdg\results\voting\unsloth_gemma-4-31B-it-unsloth-bnb-4bit__ft_gemma-4-31B-role-inference-traced-final_adapter\prompt_v4_run_1\Ego4D\0c2659db-7bd4-4b37-9b08-4e247befe382_Game5.json,run_1,stochastic,Ego4D,0c2659db-7bd4-4b37-9b08-4e247befe382,Game5,Ego4D / 0c2659db-7bd4-4b37-9b08-4e247befe382 / Game5,player_vote,James,James,False,False,Doppelganger,Doppelganger,"James claims to be a Doppelganger who copied the Insomniac, asserting he knew Sukeshi's role before she revealed it. However, Sukeshi explicitly calls him a liar, and Sian expresses a desire to vote for him. His aggressive attempt to deflect suspicion onto Sian by exploiting her confusion about the Robber role is typical of Werewolf behavior."
C:\Users\annab\Documents\GitHub\masters_thesis_sdg\results\voting\unsloth_gemma-4-31B-it-unsloth-bnb-4bit__ft_gemma-4-31B-role-inference-traced-final_adapter\prompt_v4_run_1\Ego4D\0c2659db-7bd4-4b37-9b08-4e247befe382_Game6.json,run_1,stochastic,Ego4D,0c2659db-7bd4-4b37-9b08-4e247befe382,Game6,Ego4D / 0c2659db-7bd4-4b37-9b08-4e247befe382 / Game6,player_vote,Elliot,Elliot,False,True,Werewolf,Werewolf,"Ashley claims to be the Seer and identifies Sian as the Tanner. Sukeshi, claiming to be the Robber, confirms that she robbed the Seer (Ashley), which validates Ashley's role. Elliot's claims are inconsistent, first claiming to be the Doppelganger who became the Insomniac and later suggesting he might be the Tanner. Given the roles claimed by Ashley, Sukeshi, James, and Chris, Elliot is the most likely candidate for the Werewolf."
C:\Users\annab\Documents\GitHub\masters_thesis_sdg\results\voting\unsloth_gemma-4-31B-it-unsloth-bnb-4bit__ft_gemma-4-31B-role-inference-traced-final_adapter\prompt_v4_run_1\Ego4D\0c2659db-7bd4-4b37-9b08-4e247befe382_Game7.json,run_1,stochastic,Ego4D,0c2659db-7bd4-4b37-9b08-4e247befe382,Game7,Ego4D / 0c2659db-7bd4-4b37-9b08-4e247befe382 / Game7,player_vote,Sukeshi,Sukeshi,False,False,Robber,Tanner,"Sukeshi explicitly admits to being a Werewolf in line 48, although her claims are contradictory throughout the discussion. Ashley admits she was the Minion in line 132, and Chris claims to have swapped Ashley and Sian, which would make Sian the current Minion. Since the Village wins by eliminating a Werewolf, and Sukeshi is the only player to admit to that role, she is the most likely target."
C:\Users\annab\Documents\GitHub\masters_thesis_sdg\results\voting\unsloth_gemma-4-31B-it-unsloth-bnb-4bit__ft_gemma-4-31B-role-inference-traced-final_adapter\prompt_v4_run_1\Ego4D\0c2659db-7bd4-4b37-9b08-4e247befe382_Game8.json,run_1,stochastic,Ego4D,0c2659db-7bd4-4b37-9b08-4e247befe382,Game8,Ego4D / 0c2659db-7bd4-4b37-9b08-4e247befe382 / Game8,player_vote,Sian,Sian,False,False,Tanner,Tanner,"Sian is the only player who has not claimed a role and has remained silent throughout the discussion, which is highly suspicious. The other five players have claimed roles (Seer, Troublemaker, Robber, Hunter, and Doppelganger) that are generally consistent with each other and Team Village. Therefore, Sian is the most likely candidate to be the Werewolf."
C:\Users\annab\Documents\GitHub\masters_thesis_sdg\results\voting\unsloth_gemma-4-31B-it-unsloth-bnb-4bit__ft_gemma-4-31B-role-inference-traced-final_adapter\prompt_v4_run_1\Ego4D\0c2659db-7bd4-4b37-9b08-4e247befe382_Game9.json,run_1,stochastic,Ego4D,0c2659db-7bd4-4b37-9b08-4e247befe382,Game9,Ego4D / 0c2659db-7bd4-4b37-9b08-4e247befe382 / Game9,player_vote,Elliot,Elliot,False,False,Villager,Villager,"James claims to be the Robber and verifies Sukeshi as a Villager, creating a strong village-aligned pair. Sian claims to be the Seer but is vague and contradictory, eventually admitting her suspicions are based on a 'hunch,' which suggests she may be bluffing or is the Minion attempting to divert attention. James, Chris, and Sukeshi all converge on Elliot as the primary suspect, and Elliot's defensive reaction and attempt to shift blame to Chris further increase his likelihood of being the Werewolf."
C:\Users\annab\Documents\GitHub\masters_thesis_sdg\results\voting\unsloth_gemma-4-31B-it-unsloth-bnb-4bit__ft_gemma-4-31B-role-inference-traced-final_adapter\prompt_v4_run_1\Ego4D\1a0d3e22-a6d6-4723-91a0-52fc2c87d5ce_Game10.json,run_1,stochastic,Ego4D,1a0d3e22-a6d6-4723-91a0-52fc2c87d5ce,Game10,Ego4D / 1a0d3e22-a6d6-4723-91a0-52fc2c87d5ce / Game10,player_vote,Jacob,Jacob,False,True,Werewolf,Werewolf,"Hunter claims to be the Troublemaker and states he swapped Zack and Jacob. Zack's claim to be the Seer is very weak, suggesting he is either lying or confused due to being the Drunk. If Hunter is the Troublemaker and swapped Zack (starting Werewolf) and Jacob (starting Drunk), then Jacob is now the Werewolf. Hunter's comment that voting out Zack would not lead to a win further suggests that the Werewolf is actually Jacob."
C:\Users\annab\Documents\GitHub\masters_thesis_sdg\results\voting\unsloth_gemma-4-31B-it-unsloth-bnb-4bit__ft_gemma-4-31B-role-inference-traced-final_adapter\prompt_v4_run_1\Ego4D\1a0d3e22-a6d6-4723-91a0-52fc2c87d5ce_Game11.json,run_1,stochastic,Ego4D,1a0d3e22-a6d6-4723-91a0-52fc2c87d5ce,Game11,Ego4D / 1a0d3e22-a6d6-4723-91a0-52fc2c87d5ce / Game11,player_vote,Sean,Sean,False,True,Werewolf,Werewolf,"Zack, Jacob, and Hunter have claims that are mutually supportive: Jacob claims to have started as the Drunk, Hunter claims to be the Troublemaker who swapped Zack and Jacob, and Zack claims to have started as the Insomniac and ended as the Drunk. This narrative is internally consistent and explains the role changes. Sean, however, makes a generic claim of being a Villager and provides no corroborating evidence or story, making him the most likely candidate for a Werewolf attempting to blend in."
