validation_id,failure_type,model,game_id,run_label,decoding_group,justification_id,sentence_id,marker,discopy_raw_sense,discopy_top_level,discopy_confidence,dimlex_category,sentence_text,manual_is_connective,manual_top_level_category,manual_valid_relation_missed_by_discopy,notes
1,not_enumerated,Gemma 4 31B,Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF#28##February#17th#2018 / Game3,greedy_t0,Greedy,2206,4,given,,,,Contingency,"Given the direct accusation from the claimed Seer, Justin is the most likely candidate for the Werewolf.",,Contingency,yes,Contingency.Cause
2,not_enumerated,Gemma 4 4B,Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF#13##July#29th#2017 / Game2,run_1,Stochastic,859,4,given,,,,Contingency,"Given the goal is to eliminate a Werewolf, Mitchell represents the highest risk and the most probable target.",,Contingency,yes,Contingency.Cause
3,not_enumerated,Gemma 4 31B,Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF##Retro#3 / Game6,greedy_t0,Greedy,2171,4,given,,,,Contingency,"Given the specific claim from Mike and the supporting sentiment from Mitchell, the most likely scenario for a Village win is that no Werewolf is present among the players.",,Contingency,yes,Contingency.Cause
4,not_enumerated,Gemma 4 4B,Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF#63##March#23rd#2019 / Game1,run_2,Stochastic,1100,4,given,,,,Contingency,"Given the high degree of deception, targeting the player with the most confusing and contradictory role history, Mitchell, is a reasonable strategic choice to eliminate a potential threat.",,Contingency,yes,Contingency.Cause
5,not_enumerated,Gemma 4 4B,Youtube / Retrovision##ONE#NIGHT#ULTIMATE#WEREWOLF##Retro#7 / Game3,greedy_t0,Greedy,1508,4,given,,,,Contingency,"Given the need to eliminate a threat, Mike represents the clearest target based on his admitted deception.",,Contingency,yes,Contingency.Cause
6,not_enumerated,Gemma 4 31B,Ego4D / 3ba069be-60fa-47fc-bd7b-f85bf649a5bd / Game3,run_3,Stochastic,1936,4,given,,,,Contingency,"Given the initial consensus among the players to vote for the center, it is most likely that the Werewolf card is in the role pool.",,Contingency,yes,Contingency.Cause
7,not_enumerated,Gemma 4 2B,Ego4D / 62c4bc58-3776-4791-ac30-4c9ca5619503 / Game11,run_2,Stochastic,222,3,given,,,,Contingency,"Given the goal is to eliminate a Werewolf, Jessica is the most likely candidate to be the target of suspicion, making her the prime target for the vote.",,Contingency,yes,Contingency.Cause
8,not_enumerated,Gemma 4 4B,Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF#30##February#17th#2018 / Game4,run_3,Stochastic,1254,4,given,,,,Contingency,"Given the pressure to eliminate a Werewolf to ensure Team Village wins, Alysha is the most strongly targeted suspect in the closing minutes of the game.",,Contingency,yes,Contingency.Cause
9,not_enumerated,Gemma 4 2B,Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF##Retro#1 / Game3,run_1,Stochastic,51,3,given,,,,Contingency,"Given the goal is to eliminate a Werewolf to secure a Team Village win, Justin is the most heavily implicated player based on the public discussion.",,Contingency,yes,Contingency.Cause
10,not_enumerated,Gemma 4 4B,Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF##Retro#5 / Game3,run_3,Stochastic,1229,4,given,,,,Contingency,"Given Paul's insistence on his own Werewolf status and his attempts to discredit the Seer's findings, he is the primary target for elimination.",,Contingency,yes,Contingency.Cause
