marker,model,provisional_category,possible_categories,category_scores,dominance_share,exact_tie,is_discontinuous,total_occurrences,n_justifications_with_marker,pct_justifications_with_marker,occurrences_per_100_words
and,Gemma 4 2B,Expansion,Expansion | Contingency | Comparison | Temporal,Expansion: 2905 | Contingency: 68 | Comparison: 22 | Temporal: 5,0.9683333333333334,False,False,1562,694,90.83769633507853,3.1493205371184323
since,Gemma 4 2B,Contingency,Contingency | Temporal,Contingency: 96 | Temporal: 88,0.5217391304347826,False,False,430,429,56.15183246073299,0.8669704423565466
or,Gemma 4 2B,Expansion,Expansion | Contingency | Comparison,Expansion: 95 | Contingency: 2 | Comparison: 1,0.9693877551020408,False,False,256,204,26.701570680628272,0.5161498447518045
with,Gemma 4 2B,Contingency,Contingency | Expansion,Contingency: 3 | Expansion: 2,0.6,False,False,255,233,30.497382198952877,0.5141336344207428
as,Gemma 4 2B,Temporal,Temporal | Contingency | Comparison | Expansion,Temporal: 522 | Contingency: 214 | Comparison: 5 | Expansion: 2,0.702557200538358,False,False,219,192,25.13089005235602,0.44155006250252027
while,Gemma 4 2B,Comparison,Comparison | Temporal | Expansion,Comparison: 516 | Temporal: 202 | Expansion: 63,0.6606914212548015,False,False,207,207,27.094240837696336,0.4173555385297794
if,Gemma 4 2B,Contingency,Contingency | Comparison | Expansion,Contingency: 1174 | Comparison: 48 | Expansion: 1,0.9599345870809485,False,False,117,105,13.743455497382199,0.23589660873422316
although,Gemma 4 2B,Comparison,Comparison | Expansion,Comparison: 327 | Expansion: 1,0.9969512195121951,False,False,112,112,14.659685863874344,0.2258155570789145
however,Gemma 4 2B,Comparison,Comparison | Expansion,Comparison: 483 | Expansion: 2,0.9958762886597938,False,False,106,105,13.743455497382199,0.21371829509254406
but,Gemma 4 2B,Comparison,Comparison | Expansion | Temporal | Contingency,Comparison: 3215 | Expansion: 90 | Temporal: 2 | Contingency: 1,0.9718863361547763,False,False,63,60,7.853403141361256,0.1270212508568894
also,Gemma 4 2B,Expansion,Expansion | Temporal,Expansion: 1745 | Temporal: 1,0.9994272623138603,False,False,51,51,6.675392670157068,0.10282672688414855
later,Gemma 4 2B,Temporal,Temporal | Expansion,Temporal: 90 | Expansion: 1,0.989010989010989,False,False,47,47,6.151832460732985,0.09476188555990162
ultimately,Gemma 4 2B,Temporal,Temporal | Expansion,Temporal: 14 | Expansion: 4,0.7777777777777778,False,False,26,26,3.4031413612565444,0.052421468607605146
