occurrence_id,model,game_id,session_name,run_label,run_number,decoding_group,justification_id,sentence_id,sentence_text,candidate_surface,connective_surface,char_spans,start,end,n_char_spans,is_discontinuous,is_connective,raw_sense,top_level,confidence,relation_type,aligned_to_dimlex,alignment_status
0,Gemma 4 2B,Ego4D / 0a6ef9dc-a2dc-452b-a907-d6fa2ed4cae0 / Game1,0a6ef9dc-a2dc-452b-a907-d6fa2ed4cae0,run_1,1,Stochastic,0,1,"Hailey exhibits highly suspicious behavior throughout the transcript, including manipulating cards and making vague, evasive statements about the night actions.",and,and,99-102,99,102,1,False,False,NoSense,,0.9999388456344604,Explicit,True,ALIGNED
1,Gemma 4 2B,Ego4D / 0a6ef9dc-a2dc-452b-a907-d6fa2ed4cae0 / Game1,0a6ef9dc-a2dc-452b-a907-d6fa2ed4cae0,run_1,1,Stochastic,0,2,"While the transcript does not definitively confirm the Werewolf's identity, Team Village needs to eliminate a suspect to increase their chances of winning.",while,While,161-166,161,166,1,False,True,Comparison.Contrast,Comparison,0.7670810222625732,Explicit,True,ALIGNED
2,Gemma 4 2B,Ego4D / 0a6ef9dc-a2dc-452b-a907-d6fa2ed4cae0 / Game2,0a6ef9dc-a2dc-452b-a907-d6fa2ed4cae0,run_1,1,Stochastic,1,1,"The discussion transcript is heavily complicated by role swaps (Robber and Troublemaker), making it impossible to definitively determine who holds the Werewolf card.",and,and,71-74,71,74,1,False,False,NoSense,,1.0,Explicit,True,ALIGNED
3,Gemma 4 2B,Ego4D / 0a6ef9dc-a2dc-452b-a907-d6fa2ed4cae0 / Game2,0a6ef9dc-a2dc-452b-a907-d6fa2ed4cae0,run_1,1,Stochastic,1,2,"Players are speculating and debating theories about who might be lying or who swapped cards, indicating a lack of clear information.",and,and,190-193,190,193,1,False,False,NoSense,,0.9998893737792968,Explicit,True,ALIGNED
4,Gemma 4 2B,Ego4D / 0a6ef9dc-a2dc-452b-a907-d6fa2ed4cae0 / Game2,0a6ef9dc-a2dc-452b-a907-d6fa2ed4cae0,run_1,1,Stochastic,1,2,"Players are speculating and debating theories about who might be lying or who swapped cards, indicating a lack of clear information.",or,or,237-239,237,239,1,False,True,Expansion.Alternative,Expansion,0.9280335903167723,Explicit,True,ALIGNED
5,Gemma 4 2B,Ego4D / 0a6ef9dc-a2dc-452b-a907-d6fa2ed4cae0 / Game2,0a6ef9dc-a2dc-452b-a907-d6fa2ed4cae0,run_1,1,Stochastic,1,3,"Since I cannot confirm the presence of a Werewolf, and the game rules state that Team Village wins if no Werewolf is present and no one dies, the safest choice is to assume no Werewolf is currently active.",since,Since,299-304,299,304,1,False,True,Contingency.Cause,Contingency,0.9987239241600036,Explicit,True,ALIGNED
6,Gemma 4 2B,Ego4D / 0a6ef9dc-a2dc-452b-a907-d6fa2ed4cae0 / Game2,0a6ef9dc-a2dc-452b-a907-d6fa2ed4cae0,run_1,1,Stochastic,1,3,"Since I cannot confirm the presence of a Werewolf, and the game rules state that Team Village wins if no Werewolf is present and no one dies, the safest choice is to assume no Werewolf is currently active.",and,and,350-353,350,353,1,False,True,Expansion.Conjunction,Expansion,0.989463210105896,Explicit,True,ALIGNED
7,Gemma 4 2B,Ego4D / 0a6ef9dc-a2dc-452b-a907-d6fa2ed4cae0 / Game2,0a6ef9dc-a2dc-452b-a907-d6fa2ed4cae0,run_1,1,Stochastic,1,3,"Since I cannot confirm the presence of a Werewolf, and the game rules state that Team Village wins if no Werewolf is present and no one dies, the safest choice is to assume no Werewolf is currently active.",if,if,398-400,398,400,1,False,True,Contingency.Condition,Contingency,0.9865972399711608,Explicit,True,ALIGNED
8,Gemma 4 2B,Ego4D / 0a6ef9dc-a2dc-452b-a907-d6fa2ed4cae0 / Game2,0a6ef9dc-a2dc-452b-a907-d6fa2ed4cae0,run_1,1,Stochastic,1,3,"Since I cannot confirm the presence of a Werewolf, and the game rules state that Team Village wins if no Werewolf is present and no one dies, the safest choice is to assume no Werewolf is currently active.",and,and,424-427,424,427,1,False,True,Expansion.Conjunction,Expansion,0.9994841814041138,Explicit,True,ALIGNED
9,Gemma 4 2B,Ego4D / 0c2659db-7bd4-4b37-9b08-4e247befe382 / Game4,0c2659db-7bd4-4b37-9b08-4e247befe382,run_1,1,Stochastic,2,1,"The discussion heavily suggested that Ashley claimed to be the Werewolf, and Elliot was identified as the Robber, a Village role.",and,and,73-76,73,76,1,False,True,Expansion.Conjunction,Expansion,0.9850452542304992,Explicit,True,ALIGNED
10,Gemma 4 2B,Ego4D / 0c2659db-7bd4-4b37-9b08-4e247befe382 / Game4,0c2659db-7bd4-4b37-9b08-4e247befe382,run_1,1,Stochastic,2,1,"The discussion heavily suggested that Ashley claimed to be the Werewolf, and Elliot was identified as the Robber, a Village role.",as,as,99-101,99,101,1,False,False,NoSense,,1.0,Explicit,True,ALIGNED
11,Gemma 4 2B,Ego4D / 0c2659db-7bd4-4b37-9b08-4e247befe382 / Game4,0c2659db-7bd4-4b37-9b08-4e247befe382,run_1,1,Stochastic,2,2,"Given the high suspicion surrounding the Werewolf role and the goal of Team Village to eliminate a Werewolf, voting for Elliot is a strategic move, as he is a plausible target and potentially a Werewolf, which would secure a win for Team Village.",and,and,185-188,185,188,1,False,False,NoSense,,0.9999996423721312,Explicit,True,ALIGNED
12,Gemma 4 2B,Ego4D / 0c2659db-7bd4-4b37-9b08-4e247befe382 / Game4,0c2659db-7bd4-4b37-9b08-4e247befe382,run_1,1,Stochastic,2,2,"Given the high suspicion surrounding the Werewolf role and the goal of Team Village to eliminate a Werewolf, voting for Elliot is a strategic move, as he is a plausible target and potentially a Werewolf, which would secure a win for Team Village.",for,for,246-249,246,249,1,False,False,NoSense,,1.0,Explicit,True,ALIGNED
13,Gemma 4 2B,Ego4D / 0c2659db-7bd4-4b37-9b08-4e247befe382 / Game4,0c2659db-7bd4-4b37-9b08-4e247befe382,run_1,1,Stochastic,2,2,"Given the high suspicion surrounding the Werewolf role and the goal of Team Village to eliminate a Werewolf, voting for Elliot is a strategic move, as he is a plausible target and potentially a Werewolf, which would secure a win for Team Village.",as,as,278-280,278,280,1,False,True,Contingency.Cause,Contingency,0.9756450653076172,Explicit,True,ALIGNED
14,Gemma 4 2B,Ego4D / 0c2659db-7bd4-4b37-9b08-4e247befe382 / Game4,0c2659db-7bd4-4b37-9b08-4e247befe382,run_1,1,Stochastic,2,2,"Given the high suspicion surrounding the Werewolf role and the goal of Team Village to eliminate a Werewolf, voting for Elliot is a strategic move, as he is a plausible target and potentially a Werewolf, which would secure a win for Team Village.",and,and,306-309,306,309,1,False,False,NoSense,,0.9999998807907104,Explicit,True,ALIGNED
15,Gemma 4 2B,Ego4D / 0c2659db-7bd4-4b37-9b08-4e247befe382 / Game4,0c2659db-7bd4-4b37-9b08-4e247befe382,run_1,1,Stochastic,2,2,"Given the high suspicion surrounding the Werewolf role and the goal of Team Village to eliminate a Werewolf, voting for Elliot is a strategic move, as he is a plausible target and potentially a Werewolf, which would secure a win for Team Village.",for,for,359-362,359,362,1,False,False,NoSense,,1.0,Explicit,True,ALIGNED
16,Gemma 4 2B,Ego4D / 0c2659db-7bd4-4b37-9b08-4e247befe382 / Game5,0c2659db-7bd4-4b37-9b08-4e247befe382,run_1,1,Stochastic,3,1,"Chris is the primary suspect as he is directly accused of being the Werewolf by Elliot, and James also strongly suggested this possibility.",as,as,29-31,29,31,1,False,True,Contingency.Cause,Contingency,0.9487289190292358,Explicit,True,ALIGNED
17,Gemma 4 2B,Ego4D / 0c2659db-7bd4-4b37-9b08-4e247befe382 / Game5,0c2659db-7bd4-4b37-9b08-4e247befe382,run_1,1,Stochastic,3,1,"Chris is the primary suspect as he is directly accused of being the Werewolf by Elliot, and James also strongly suggested this possibility.",and,and,88-91,88,91,1,False,True,Expansion.Conjunction,Expansion,0.9690743684768676,Explicit,True,ALIGNED
18,Gemma 4 2B,Ego4D / 0c2659db-7bd4-4b37-9b08-4e247befe382 / Game5,0c2659db-7bd4-4b37-9b08-4e247befe382,run_1,1,Stochastic,3,1,"Chris is the primary suspect as he is directly accused of being the Werewolf by Elliot, and James also strongly suggested this possibility.",also,also,98-102,98,102,1,False,True,Expansion.Conjunction,Expansion,0.9980027079582214,Explicit,True,ALIGNED
19,Gemma 4 2B,Ego4D / 0c2659db-7bd4-4b37-9b08-4e247befe382 / Game5,0c2659db-7bd4-4b37-9b08-4e247befe382,run_1,1,Stochastic,3,2,"While the transcript is filled with role swaps and bluffs, targeting the most heavily accused player maximizes the chance of eliminating a Werewolf and securing Team Village's win condition.",while,While,140-145,140,145,1,False,True,Comparison.Contrast,Comparison,0.7150723338127136,Explicit,True,ALIGNED
20,Gemma 4 2B,Ego4D / 0c2659db-7bd4-4b37-9b08-4e247befe382 / Game5,0c2659db-7bd4-4b37-9b08-4e247befe382,run_1,1,Stochastic,3,2,"While the transcript is filled with role swaps and bluffs, targeting the most heavily accused player maximizes the chance of eliminating a Werewolf and securing Team Village's win condition.",and,and,187-190,187,190,1,False,False,NoSense,,1.0,Explicit,True,ALIGNED
21,Gemma 4 2B,Ego4D / 0c2659db-7bd4-4b37-9b08-4e247befe382 / Game5,0c2659db-7bd4-4b37-9b08-4e247befe382,run_1,1,Stochastic,3,2,"While the transcript is filled with role swaps and bluffs, targeting the most heavily accused player maximizes the chance of eliminating a Werewolf and securing Team Village's win condition.",and,and,288-291,288,291,1,False,False,NoSense,,0.9999717473983764,Explicit,True,ALIGNED
22,Gemma 4 2B,Ego4D / 0c2659db-7bd4-4b37-9b08-4e247befe382 / Game5,0c2659db-7bd4-4b37-9b08-4e247befe382,run_1,1,Stochastic,3,3,"If Chris is indeed the Werewolf, this vote ensures victory.",if,If,331-333,331,333,1,False,True,Contingency.Condition,Contingency,0.8260804414749146,Explicit,True,ALIGNED
23,Gemma 4 2B,Ego4D / 0c2659db-7bd4-4b37-9b08-4e247befe382 / Game5,0c2659db-7bd4-4b37-9b08-4e247befe382,run_1,1,Stochastic,3,3,"If Chris is indeed the Werewolf, this vote ensures victory.",indeed,indeed,343-349,343,349,1,False,False,NoSense,,0.99000483751297,Explicit,True,ALIGNED
24,Gemma 4 2B,Ego4D / 0c2659db-7bd4-4b37-9b08-4e247befe382 / Game6,0c2659db-7bd4-4b37-9b08-4e247befe382,run_1,1,Stochastic,4,1,"Sukeshi directly accuses James of being a werewolf multiple times in the transcript, specifically stating 'James is a werewolf' (73, 75).",specifically,specifically,85-97,85,97,1,False,False,NoSense,,0.543178379535675,Explicit,True,ALIGNED
25,Gemma 4 2B,Ego4D / 0c2659db-7bd4-4b37-9b08-4e247befe382 / Game6,0c2659db-7bd4-4b37-9b08-4e247befe382,run_1,1,Stochastic,4,2,"While the game is chaotic due to role swaps, this explicit statement provides the strongest immediate evidence pointing toward James as a Werewolf.",while,While,138-143,138,143,1,False,True,Comparison.Contrast,Comparison,0.5680708289146423,Explicit,True,ALIGNED
26,Gemma 4 2B,Ego4D / 0c2659db-7bd4-4b37-9b08-4e247befe382 / Game6,0c2659db-7bd4-4b37-9b08-4e247befe382,run_1,1,Stochastic,4,2,"While the game is chaotic due to role swaps, this explicit statement provides the strongest immediate evidence pointing toward James as a Werewolf.",as,as,271-273,271,273,1,False,False,NoSense,,0.9999998807907104,Explicit,True,ALIGNED
27,Gemma 4 2B,Ego4D / 0c2659db-7bd4-4b37-9b08-4e247befe382 / Game7,0c2659db-7bd4-4b37-9b08-4e247befe382,run_1,1,Stochastic,5,2,"While several players make claims about their roles or who they swapped with, there is no concrete evidence that confirms any player is currently a Werewolf.",while,While,167-172,167,172,1,False,True,Comparison.Contrast,Comparison,0.7370336055755615,Explicit,True,ALIGNED
28,Gemma 4 2B,Ego4D / 0c2659db-7bd4-4b37-9b08-4e247befe382 / Game7,0c2659db-7bd4-4b37-9b08-4e247befe382,run_1,1,Stochastic,5,2,"While several players make claims about their roles or who they swapped with, there is no concrete evidence that confirms any player is currently a Werewolf.",or,or,219-221,219,221,1,False,False,NoSense,,0.9461183547973632,Explicit,True,ALIGNED
29,Gemma 4 2B,Ego4D / 0c2659db-7bd4-4b37-9b08-4e247befe382 / Game7,0c2659db-7bd4-4b37-9b08-4e247befe382,run_1,1,Stochastic,5,3,"Since Team Village wins by eliminating a Werewolf, and I cannot confidently point to a Werewolf, I must assume no Werewolf is present to ensure Team Village's victory condition is met.",since,Since,325-330,325,330,1,False,True,Contingency.Cause,Contingency,0.9569286704063416,Explicit,True,ALIGNED
30,Gemma 4 2B,Ego4D / 0c2659db-7bd4-4b37-9b08-4e247befe382 / Game7,0c2659db-7bd4-4b37-9b08-4e247befe382,run_1,1,Stochastic,5,3,"Since Team Village wins by eliminating a Werewolf, and I cannot confidently point to a Werewolf, I must assume no Werewolf is present to ensure Team Village's victory condition is met.",and,and,376-379,376,379,1,False,True,Expansion.Conjunction,Expansion,0.9161108136177064,Explicit,True,ALIGNED
31,Gemma 4 2B,Ego4D / 0c2659db-7bd4-4b37-9b08-4e247befe382 / Game8,0c2659db-7bd4-4b37-9b08-4e247befe382,run_1,1,Stochastic,6,1,"The discussion in the transcript centers heavily on identifying roles and suspicion falling on Sian, who is repeatedly questioned as potentially being a Minion or Werewolf.",and,and,70-73,70,73,1,False,False,NoSense,,0.9999667406082152,Explicit,True,ALIGNED
32,Gemma 4 2B,Ego4D / 0c2659db-7bd4-4b37-9b08-4e247befe382 / Game8,0c2659db-7bd4-4b37-9b08-4e247befe382,run_1,1,Stochastic,6,1,"The discussion in the transcript centers heavily on identifying roles and suspicion falling on Sian, who is repeatedly questioned as potentially being a Minion or Werewolf.",as,as,130-132,130,132,1,False,False,NoSense,,1.0,Explicit,True,ALIGNED
33,Gemma 4 2B,Ego4D / 0c2659db-7bd4-4b37-9b08-4e247befe382 / Game8,0c2659db-7bd4-4b37-9b08-4e247befe382,run_1,1,Stochastic,6,1,"The discussion in the transcript centers heavily on identifying roles and suspicion falling on Sian, who is repeatedly questioned as potentially being a Minion or Werewolf.",or,or,160-162,160,162,1,False,False,NoSense,,1.0,Explicit,True,ALIGNED
34,Gemma 4 2B,Ego4D / 0c2659db-7bd4-4b37-9b08-4e247befe382 / Game8,0c2659db-7bd4-4b37-9b08-4e247befe382,run_1,1,Stochastic,6,2,"Chris and Sukeshi explicitly suggest killing her, indicating a strong belief that she is a threat.",and,and,179-182,179,182,1,False,False,NoSense,,0.9957140684127808,Explicit,True,ALIGNED
35,Gemma 4 2B,Ego4D / 0c2659db-7bd4-4b37-9b08-4e247befe382 / Game8,0c2659db-7bd4-4b37-9b08-4e247befe382,run_1,1,Stochastic,6,3,"Since Team Village wins by eliminating a Werewolf, voting Sian out is the best strategic move based on the current public discussion.",since,Since,272-277,272,277,1,False,True,Contingency.Cause,Contingency,0.9615426659584044,Explicit,True,ALIGNED
36,Gemma 4 2B,Ego4D / 0c2659db-7bd4-4b37-9b08-4e247befe382 / Game9,0c2659db-7bd4-4b37-9b08-4e247befe382,run_1,1,Stochastic,7,2,"However, Sian and Elliot directly point suspicion toward Chris, suggesting he might be the Werewolf.",however,However,114-121,114,121,1,False,True,Comparison.Contrast,Comparison,0.7711325883865356,Explicit,True,ALIGNED
37,Gemma 4 2B,Ego4D / 0c2659db-7bd4-4b37-9b08-4e247befe382 / Game9,0c2659db-7bd4-4b37-9b08-4e247befe382,run_1,1,Stochastic,7,2,"However, Sian and Elliot directly point suspicion toward Chris, suggesting he might be the Werewolf.",and,and,128-131,128,131,1,False,False,NoSense,,0.999980330467224,Explicit,True,ALIGNED
38,Gemma 4 2B,Ego4D / 0c2659db-7bd4-4b37-9b08-4e247befe382 / Game9,0c2659db-7bd4-4b37-9b08-4e247befe382,run_1,1,Stochastic,7,3,"Given the high level of uncertainty and the need to eliminate a Werewolf to secure a victory for Team Village, targeting the player who is most frequently implicated by other players is the safest choice.",and,and,251-254,251,254,1,False,False,NoSense,,0.9999974966049194,Explicit,True,ALIGNED
39,Gemma 4 2B,Ego4D / 0c2659db-7bd4-4b37-9b08-4e247befe382 / Game9,0c2659db-7bd4-4b37-9b08-4e247befe382,run_1,1,Stochastic,7,3,"Given the high level of uncertainty and the need to eliminate a Werewolf to secure a victory for Team Village, targeting the player who is most frequently implicated by other players is the safest choice.",for,for,308-311,308,311,1,False,False,NoSense,,1.0,Explicit,True,ALIGNED
40,Gemma 4 2B,Ego4D / 1a0d3e22-a6d6-4723-91a0-52fc2c87d5ce / Game10,1a0d3e22-a6d6-4723-91a0-52fc2c87d5ce,run_1,1,Stochastic,8,1,"The discussion is heavily focused on role swapping and identity confusion, making it difficult to determine true roles.",and,and,51-54,51,54,1,False,False,NoSense,,0.9999806880950928,Explicit,True,ALIGNED
41,Gemma 4 2B,Ego4D / 1a0d3e22-a6d6-4723-91a0-52fc2c87d5ce / Game10,1a0d3e22-a6d6-4723-91a0-52fc2c87d5ce,run_1,1,Stochastic,8,2,"Hunter explicitly suggests Sean and Jacob are the suspects, and Sean himself is mentioned as a possible Werewolf.",and,and,152-155,152,155,1,False,False,NoSense,,0.9999998807907104,Explicit,True,ALIGNED
