stage,model,run_label,category,n_justifications,n_present,prevalence_pct
base,Gemma 4 2B,run_1,Mechanical,190,4,2.1052631578947367
base,Gemma 4 2B,run_1,Testimony,190,104,54.736842105263165
base,Gemma 4 2B,run_1,SocialJudgment,190,123,64.73684210526316
base,Gemma 4 2B,run_1,Behavioral,190,31,16.315789473684212
base,Gemma 4 2B,run_1,ClaimComparison,190,17,8.947368421052632
base,Gemma 4 2B,run_1,Payoff,190,170,89.47368421052632
base,Gemma 4 2B,run_1,Uncertainty,190,113,59.473684210526315
base,Gemma 4 2B,run_1,Other,190,0,0.0
base,Gemma 4 2B,run_2,Mechanical,190,7,3.684210526315789
base,Gemma 4 2B,run_2,Testimony,190,99,52.10526315789473
base,Gemma 4 2B,run_2,SocialJudgment,190,109,57.36842105263158
base,Gemma 4 2B,run_2,Behavioral,190,30,15.789473684210526
base,Gemma 4 2B,run_2,ClaimComparison,190,13,6.842105263157896
base,Gemma 4 2B,run_2,Payoff,190,177,93.15789473684211
base,Gemma 4 2B,run_2,Uncertainty,190,113,59.473684210526315
base,Gemma 4 2B,run_2,Other,190,3,1.5789473684210527
base,Gemma 4 2B,run_3,Mechanical,190,6,3.1578947368421053
base,Gemma 4 2B,run_3,Testimony,190,103,54.21052631578947
base,Gemma 4 2B,run_3,SocialJudgment,190,106,55.78947368421052
base,Gemma 4 2B,run_3,Behavioral,190,34,17.894736842105264
base,Gemma 4 2B,run_3,ClaimComparison,190,15,7.894736842105263
base,Gemma 4 2B,run_3,Payoff,190,171,90.0
base,Gemma 4 2B,run_3,Uncertainty,190,114,60.0
base,Gemma 4 2B,run_3,Other,190,0,0.0
ft,Gemma 4 2B,run_1,Mechanical,190,5,2.631578947368421
ft,Gemma 4 2B,run_1,Testimony,190,106,55.78947368421052
ft,Gemma 4 2B,run_1,SocialJudgment,190,111,58.42105263157895
ft,Gemma 4 2B,run_1,Behavioral,190,27,14.210526315789473
ft,Gemma 4 2B,run_1,ClaimComparison,190,14,7.368421052631578
ft,Gemma 4 2B,run_1,Payoff,190,159,83.6842105263158
ft,Gemma 4 2B,run_1,Uncertainty,190,107,56.315789473684205
ft,Gemma 4 2B,run_1,Other,190,1,0.5263157894736842
ft,Gemma 4 2B,run_2,Mechanical,190,6,3.1578947368421053
ft,Gemma 4 2B,run_2,Testimony,190,117,61.578947368421055
ft,Gemma 4 2B,run_2,SocialJudgment,190,108,56.84210526315789
ft,Gemma 4 2B,run_2,Behavioral,190,21,11.052631578947368
ft,Gemma 4 2B,run_2,ClaimComparison,190,16,8.421052631578947
ft,Gemma 4 2B,run_2,Payoff,190,170,89.47368421052632
ft,Gemma 4 2B,run_2,Uncertainty,190,99,52.10526315789473
ft,Gemma 4 2B,run_2,Other,190,1,0.5263157894736842
ft,Gemma 4 2B,run_3,Mechanical,190,6,3.1578947368421053
ft,Gemma 4 2B,run_3,Testimony,190,114,60.0
ft,Gemma 4 2B,run_3,SocialJudgment,190,114,60.0
ft,Gemma 4 2B,run_3,Behavioral,190,24,12.631578947368421
ft,Gemma 4 2B,run_3,ClaimComparison,190,12,6.315789473684211
ft,Gemma 4 2B,run_3,Payoff,190,169,88.94736842105263
ft,Gemma 4 2B,run_3,Uncertainty,190,103,54.21052631578947
ft,Gemma 4 2B,run_3,Other,190,1,0.5263157894736842
base,Gemma 4 4B,run_1,Mechanical,191,15,7.853403141361256
base,Gemma 4 4B,run_1,Testimony,191,148,77.4869109947644
base,Gemma 4 4B,run_1,SocialJudgment,191,108,56.54450261780105
base,Gemma 4 4B,run_1,Behavioral,191,118,61.78010471204188
base,Gemma 4 4B,run_1,ClaimComparison,191,36,18.848167539267017
base,Gemma 4 4B,run_1,Payoff,191,140,73.29842931937172
base,Gemma 4 4B,run_1,Uncertainty,191,76,39.79057591623037
base,Gemma 4 4B,run_1,Other,191,1,0.5235602094240838
base,Gemma 4 4B,run_2,Mechanical,191,13,6.806282722513089
base,Gemma 4 4B,run_2,Testimony,191,143,74.86910994764398
base,Gemma 4 4B,run_2,SocialJudgment,191,110,57.59162303664922
base,Gemma 4 4B,run_2,Behavioral,191,107,56.02094240837696
base,Gemma 4 4B,run_2,ClaimComparison,191,31,16.230366492146597
base,Gemma 4 4B,run_2,Payoff,191,136,71.20418848167539
base,Gemma 4 4B,run_2,Uncertainty,191,88,46.07329842931937
base,Gemma 4 4B,run_2,Other,191,0,0.0
base,Gemma 4 4B,run_3,Mechanical,191,12,6.282722513089005
base,Gemma 4 4B,run_3,Testimony,191,141,73.82198952879581
base,Gemma 4 4B,run_3,SocialJudgment,191,104,54.45026178010471
base,Gemma 4 4B,run_3,Behavioral,191,108,56.54450261780105
