model,game_id,run_label,sentence_id,target_sentence,justification_text,vote,voted_player_end_role,is_correct,semantic_categories,evidence_spans,discourse_senses,connective_surfaces,n_relations_in_sentence
Gemma 4 31B,Ego4D / 1a0d3e22-a6d6-4723-91a0-52fc2c87d5ce / Game10,run_1,2,"If Zack was the starting Werewolf and Hunter was the Troublemaker who swapped Zack and Jacob, the Werewolf card moved to Jacob.","Sean's early comment suggesting he knows who the werewolf is implies he may be the Minion, who identifies the Werewolf during the Night phase. If Zack was the starting Werewolf and Hunter was the Troublemaker who swapped Zack and Jacob, the Werewolf card moved to Jacob. Since the Drunk action (performed by Jacob) occurs after the Troublemaker action, Jacob would have swapped the Werewolf card into the center. Consequently, no player currently holds the Werewolf card.",No Werewolf,,False,Mechanical,"Hunter was the Troublemaker who swapped Zack and Jacob, the Werewolf card moved to Jacob",Contingency.Condition | Expansion.Conjunction,If | and,2
Gemma 4 31B,Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF##Retro#4 / Game9,run_1,3,"If James was the Drunk and swapped with the center, or if Justin (as the Robber) stole the Drunk role from James and then swapped with the center, Justin is the most likely player to currently hold the Werewolf card.","Justin's claims are highly inconsistent; he first claims to have stolen from Mike and seen no Seer, then later claims to have stolen from James. Mike claims to be the Seer and saw a Werewolf in the center. If James was the Drunk and swapped with the center, or if Justin (as the Robber) stole the Drunk role from James and then swapped with the center, Justin is the most likely player to currently hold the Werewolf card. Caitlynn's behavior, specifically asking to be voted out, is characteristic of the Tanner.",Justin,Minion,False,Mechanical,"If James was the Drunk and swapped with the center, or if Justin (as the Robber) stole the Drunk role from James and then swapped with the center, Justin is the most likely player to currently hold the Werewolf card.",Temporal.Asynchronous | Contingency.Condition | Expansion.Alternative | Temporal.Asynchronous,If then | If | or | then,4
Gemma 4 31B,Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF#86##November#9th#2019 / Game1,run_2,3,"If Mike was the Werewolf and was switched with Paul, Paul is now the Werewolf.","Mike is highly suspicious due to his contradictory claims about being the Seer and Copycat, specifically regarding whether he saw a werewolf in the center. Justin claims to be the Troublemaker and states he switched Mike with Paul. If Mike was the Werewolf and was switched with Paul, Paul is now the Werewolf. Therefore, voting for Paul is the most logical move to ensure a Werewolf is eliminated.",Paul,Werewolf,True,Mechanical,"If Mike was the Werewolf and was switched with Paul, Paul is now the Werewolf.",Contingency.Condition,If,1
Gemma 4 31B,Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF#13##July#29th#2017 / Game1,run_1,4,"If these claims are true, all four players hold non-werewolf roles (Drunk, Robber, Troublemaker, and Tanner), meaning the Werewolf and Minion cards are in the center.","The players' claims are highly consistent: Justin claims to be the Drunk, and Mike claims to be the Robber who stole the Drunk card from Justin. Mitchell claims to be the Troublemaker who swapped Mike and Julie. Julie's behavior, including her requests to be killed and her contradictory statements about 'seeing' the Tanner card, strongly suggests she is the Tanner. If these claims are true, all four players hold non-werewolf roles (Drunk, Robber, Troublemaker, and Tanner), meaning the Werewolf and Minion cards are in the center.",No Werewolf,,False,Mechanical,"all four players hold non-werewolf roles (Drunk, Robber, Troublemaker, and Tanner), meaning the Werewolf and Minion cards are in the center",Contingency.Condition,If,1
Gemma 4 31B,Ego4D / 3ba069be-60fa-47fc-bd7b-f85bf649a5bd / Game4,run_2,3,"If Kaelan's information was correct, the swap performed by Kevin would have transferred the Werewolf role from Jessica to Daniel.","Kaelan claimed to be the Seer and identified Jessica as the Werewolf. Kevin claimed to be the Troublemaker and stated he swapped the roles of Daniel and Jessica. If Kaelan's information was correct, the swap performed by Kevin would have transferred the Werewolf role from Jessica to Daniel. Furthermore, Daniel's claims were contradictory (claiming to be the Robber at [5] and the Minion at [59]), and he actively attempted to divert suspicion back to Jessica, which is characteristic of a Werewolf.",Daniel,Robber,False,Mechanical,the swap performed by Kevin would have transferred the Werewolf role from Jessica to Daniel,Contingency.Condition,If,1
Gemma 4 31B,Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF#4##July#14th#2016 / Game1,run_2,3,"Since the Seer's action occurs before the Drunk's action in the night order, if Mike is telling the truth, Mitchell must have swapped his card for one of the two Werewolf cards in the center, making Mitchell the Werewolf.","Mike claims to be the Seer and states he saw two Werewolves in the center. Mitchell consistently claims to be the Drunk, and the Drunk's ability is to swap their card with one from the center. Since the Seer's action occurs before the Drunk's action in the night order, if Mike is telling the truth, Mitchell must have swapped his card for one of the two Werewolf cards in the center, making Mitchell the Werewolf. Mitchell's own admission that he could be the Werewolf further supports this conclusion.",Mitchell,Tanner,False,Mechanical | Testimony,the Seer's action occurs before the Drunk's action in the night order | Mike is telling the truth,Contingency.Cause | Contingency.Condition,Since | if,2
Gemma 4 31B,Youtube / One#Night#Ultimate#Werewolf#493#Even#More#Classic#Werewolf / Game1,run_3,3,"If Brett, Dustin, and Pete are their claimed roles (Seer, Drunk, and Robber), and Katie is the Tanner, then all Werewolf cards must be in the center.","Brett claims to be the Seer and identifies Pete as the Robber, while Dustin claims to be the Drunk. Katie initially claims to be the Seer and asserts she saw two Werewolves in the center, but later admits to being the Tanner. If Brett, Dustin, and Pete are their claimed roles (Seer, Drunk, and Robber), and Katie is the Tanner, then all Werewolf cards must be in the center. In this scenario, the only way for Team Village to win is to vote 'No Werewolf'.",No Werewolf,,False,Mechanical,then all Werewolf cards must be in the center,Contingency.Condition | Contingency.Condition | Expansion.Conjunction,If then | If | and,3
Gemma 4 31B,Youtube / One#Night#Ultimate#Werewolf#492#More#Classic#Werewolf / Game1,run_1,3,"If Dustin's information is accurate, Katie swapped her role for one of the Werewolf cards in the center.","Dustin claimed to be the Seer and stated he saw two Werewolf cards in the center. Katie claimed to be the Drunk and admitted to swapping her card with one from the center. If Dustin's information is accurate, Katie swapped her role for one of the Werewolf cards in the center. Brett's claim to be the Robber who robbed Dustin's Seer card provides corroboration for Dustin's starting role, making Katie the most likely Werewolf.",Katie,Troublemaker,False,Mechanical,Katie swapped her role for one of the Werewolf cards in the center.,Contingency.Condition,If,1
Gemma 4 31B,Ego4D / 62c4bc58-3776-4791-ac30-4c9ca5619503 / Game9,run_1,3,"If Daniel were the Robber, he would have seen Jessica's card, not the Robber card he already possessed.","Daniel's claim to be the Robber is logically impossible according to the game rules. He states that when he robbed Jessica, he saw the Robber card; however, the Robber swaps their own card with another player's and then looks at the new card. If Daniel were the Robber, he would have seen Jessica's card, not the Robber card he already possessed. This contradiction indicates that Daniel is lying, making him the most likely Werewolf.",Daniel,Doppelganger,False,Mechanical,"he would have seen Jessica's card, not the Robber card he already possessed",Contingency.Condition,If,1
Gemma 4 31B,Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF##Retro#5 / Game6,run_1,2,"If Justin's claim is true, the Werewolf card was moved from Paul to Mitchell.","Paul admits to starting as the Werewolf, and Justin claims to be the Troublemaker who swapped Paul and Mitchell. If Justin's claim is true, the Werewolf card was moved from Paul to Mitchell. Mitchell denies the swap occurred, which is consistent with a Werewolf attempting to avoid elimination, while Justin insists the swap definitely happened.",Mitchell,Insomniac,False,Mechanical,the Werewolf card was moved from Paul to Mitchell,Contingency.Condition,If,1
