justification_id,sentence_id,annotation_index,category,use,evidence_span,verdict,corrected_category,corrected_use,note
2B__Ego4D__0c2659db-7bd4-4b37-9b08-4e247befe382__Game4__run_3,1,0,Testimony,,Ashley explicitly stated she was the Werewolf,ok,,,
2B__Ego4D__0c2659db-7bd4-4b37-9b08-4e247befe382__Game4__run_3,3,0,Testimony,,the player who claims the Werewolf role,ok,,,
2B__Ego4D__0c2659db-7bd4-4b37-9b08-4e247befe382__Game4__run_3,3,1,Payoff,,achieving a Team Village victory,ok,,,
2B__Ego4D__1a0d3e22-a6d6-4723-91a0-52fc2c87d5ce__Game11__greedy_t0,1,0,Uncertainty,,highly confusing due to multiple role swaps and uncertainty regarding player identities,ok,,,
2B__Ego4D__1a0d3e22-a6d6-4723-91a0-52fc2c87d5ce__Game11__greedy_t0,2,0,Uncertainty,,there is no concrete evidence or successful identification of a Werewolf,ok,,,
2B__Ego4D__1a0d3e22-a6d6-4723-91a0-52fc2c87d5ce__Game11__greedy_t0,3,0,Payoff,,"Team Village wins if they eliminate a Werewolf, and if no Werewolf is present, they win by default",ok,,,
2B__Ego4D__1a0d3e22-a6d6-4723-91a0-52fc2c87d5ce__Game11__greedy_t0,3,1,Uncertainty,,I cannot confidently accuse any player,ok,,,
2B__Ego4D__324bccd2-adff-4e9a-8ff4-03491e144ac3__Game1__greedy_t0,1,0,Uncertainty,,highly ambiguous regarding the actual roles and the presence of Werewolves,ok,,,
2B__Ego4D__324bccd2-adff-4e9a-8ff4-03491e144ac3__Game1__greedy_t0,2,0,Uncertainty,,no player has been definitively identified as a Werewolf,ok,,,
2B__Ego4D__324bccd2-adff-4e9a-8ff4-03491e144ac3__Game1__greedy_t0,2,1,Payoff,,the game rules state that Team Village wins if no Werewolves are present and no one dies,ok,,,
2B__Ego4D__324bccd2-adff-4e9a-8ff4-03491e144ac3__Game1__greedy_t0,3,0,Payoff,,maximizes the chance of a Team Village victory,ok,,,
2B__Ego4D__3ba069be-60fa-47fc-bd7b-f85bf649a5bd__Game2__greedy_t0,1,0,Uncertainty,,impossible to definitively identify a Werewolf,ok,,,
2B__Ego4D__3ba069be-60fa-47fc-bd7b-f85bf649a5bd__Game2__greedy_t0,2,0,Uncertainty,,no evidence presented in the transcript to suggest a Werewolf is present,ok,,,
2B__Ego4D__3ba069be-60fa-47fc-bd7b-f85bf649a5bd__Game2__greedy_t0,3,0,Payoff,,"if no Werewolf is believed to be present, Team Village wins if no one dies",ok,,,
2B__Ego4D__3ba069be-60fa-47fc-bd7b-f85bf649a5bd__Game4__run_2,1,0,Uncertainty,,impossible to definitively identify the Werewolf,ok,,,
2B__Ego4D__3ba069be-60fa-47fc-bd7b-f85bf649a5bd__Game4__run_2,2,0,Testimony,,Kaelan initially claimed to see the Werewolf,ok,,,
2B__Ego4D__3ba069be-60fa-47fc-bd7b-f85bf649a5bd__Game4__run_2,2,1,Uncertainty,,the information gathered is unreliable,ok,,,
2B__Ego4D__3ba069be-60fa-47fc-bd7b-f85bf649a5bd__Game4__run_2,3,0,Uncertainty,,I cannot confirm any player holds the Werewolf card,ok,,,
2B__Youtube__ONE#NIGHT#ULTIMATE#WEREWOLF##Retro#2__Game4__run_1,1,0,SocialJudgment,,Dan directly accused Mike of being the Werewolf,ok,,,
2B__Youtube__ONE#NIGHT#ULTIMATE#WEREWOLF##Retro#2__Game4__run_1,2,0,SocialJudgment,,Dan's assertion serves as the strongest lead for Team Village to pursue,ok,,,
2B__Youtube__ONE#NIGHT#ULTIMATE#WEREWOLF##Retro#2__Game4__run_1,3,0,SocialJudgment,,based on this direct accusation,ok,,,
2B__Youtube__ONE#NIGHT#ULTIMATE#WEREWOLF##Retro#2__Game4__run_1,3,1,Payoff,,maximizes the chance of winning the game by removing a Werewolf,ok,,,
2B__Youtube__ONE#NIGHT#ULTIMATE#WEREWOLF##Retro#3__Game6__run_2,2,0,SocialJudgment,,"Multiple players, including Justin and James, accuse Mike of being the Werewolf",ok,,,
2B__Youtube__ONE#NIGHT#ULTIMATE#WEREWOLF##Retro#3__Game6__run_2,2,1,Testimony,,Mike himself claims to have seen two werewolves,ok,,,
2B__Youtube__ONE#NIGHT#ULTIMATE#WEREWOLF##Retro#3__Game6__run_2,3,0,Payoff,,Team Village wins by eliminating a Werewolf,ok,,,
2B__Youtube__ONE#NIGHT#ULTIMATE#WEREWOLF##Retro#3__Game7__run_3,2,0,SocialJudgment,,James strongly accuses Mitchell of being the Werewolf,ok,,,
2B__Youtube__ONE#NIGHT#ULTIMATE#WEREWOLF##Retro#3__Game7__run_3,2,1,Behavioral,,Mitchell's subsequent distress over losing his Tanner story reinforces suspicion,ok,,,
2B__Youtube__ONE#NIGHT#ULTIMATE#WEREWOLF##Retro#3__Game7__run_3,3,0,SocialJudgment,,strong consensus in the discussion that Mitchell is the Werewolf,ok,,,
2B__Youtube__ONE#NIGHT#ULTIMATE#WEREWOLF##Retro#3__Game7__run_3,3,1,Payoff,,eliminating him is the best way for Team Village to win,ok,,,
2B__Youtube__ONE#NIGHT#ULTIMATE#WEREWOLF##Retro#4__Game9__run_3,1,0,SocialJudgment,,James and Mike both directly accuse Justin of being the Werewolf,ok,,,
2B__Youtube__ONE#NIGHT#ULTIMATE#WEREWOLF##Retro#4__Game9__run_3,1,1,Payoff,,critical condition for Team Village to win,ok,,,
2B__Youtube__ONE#NIGHT#ULTIMATE#WEREWOLF##Retro#4__Game9__run_3,2,0,Uncertainty,,highly confusing,ok,,,
2B__Youtube__ONE#NIGHT#ULTIMATE#WEREWOLF##Retro#4__Game9__run_3,2,1,SocialJudgment,,final accusations point strongly toward Justin being the Werewolf,ok,,,
2B__Youtube__ONE#NIGHT#ULTIMATE#WEREWOLF##Retro#4__Game9__run_3,3,0,Payoff,,maximizes the chance of Team Village achieving its goal of surviving the night,ok,,,
2B__Youtube__ONE#NIGHT#ULTIMATE#WEREWOLF##Retro#5__Game8__run_1,1,0,Uncertainty,,highly confusing,ok,,,
2B__Youtube__ONE#NIGHT#ULTIMATE#WEREWOLF##Retro#5__Game8__run_1,2,0,Uncertainty,,no concrete evidence or successful night action to confirm any player's identity,ok,,,
