game_id,run_1,run_2,run_3,agreement_type,n_unique_votes,vote_pattern,stochastic_majority_vote,has_stochastic_majority,n_unique_stochastic_votes,stochastic_majority_correct
Ego4D / 0a6ef9dc-a2dc-452b-a907-d6fa2ed4cae0 / Game1,Hailey,Hailey,No Werewolf,two_vs_one,2,Hailey | Hailey | No Werewolf,Hailey,True,2,False
Ego4D / 0a6ef9dc-a2dc-452b-a907-d6fa2ed4cae0 / Game2,No Werewolf,No Werewolf,No Werewolf,unanimous,1,No Werewolf | No Werewolf | No Werewolf,No Werewolf,True,1,False
Ego4D / 0c2659db-7bd4-4b37-9b08-4e247befe382 / Game4,Elliot,Ashley,Ashley,two_vs_one,2,Elliot | Ashley | Ashley,Ashley,True,2,True
Ego4D / 0c2659db-7bd4-4b37-9b08-4e247befe382 / Game5,Chris,No Werewolf,Chris,two_vs_one,2,Chris | No Werewolf | Chris,Chris,True,2,True
Ego4D / 0c2659db-7bd4-4b37-9b08-4e247befe382 / Game6,James,Elliot,James,two_vs_one,2,James | Elliot | James,James,True,2,False
Ego4D / 0c2659db-7bd4-4b37-9b08-4e247befe382 / Game7,No Werewolf,No Werewolf,No Werewolf,unanimous,1,No Werewolf | No Werewolf | No Werewolf,No Werewolf,True,1,True
Ego4D / 0c2659db-7bd4-4b37-9b08-4e247befe382 / Game8,Sian,No Werewolf,Sian,two_vs_one,2,Sian | No Werewolf | Sian,Sian,True,2,False
Ego4D / 0c2659db-7bd4-4b37-9b08-4e247befe382 / Game9,Chris,Chris,James,two_vs_one,2,Chris | Chris | James,Chris,True,2,True
Ego4D / 1a0d3e22-a6d6-4723-91a0-52fc2c87d5ce / Game10,Sean,Hunter,Hunter,two_vs_one,2,Sean | Hunter | Hunter,Hunter,True,2,False
Ego4D / 1a0d3e22-a6d6-4723-91a0-52fc2c87d5ce / Game11,No Werewolf,No Werewolf,No Werewolf,unanimous,1,No Werewolf | No Werewolf | No Werewolf,No Werewolf,True,1,False
Ego4D / 1a0d3e22-a6d6-4723-91a0-52fc2c87d5ce / Game6,Hunter,Hunter,Hunter,unanimous,1,Hunter | Hunter | Hunter,Hunter,True,1,False
Ego4D / 1a0d3e22-a6d6-4723-91a0-52fc2c87d5ce / Game7,Hunter,No Werewolf,Hunter,two_vs_one,2,Hunter | No Werewolf | Hunter,Hunter,True,2,False
Ego4D / 1a0d3e22-a6d6-4723-91a0-52fc2c87d5ce / Game8,No Werewolf,Zack,No Werewolf,two_vs_one,2,No Werewolf | Zack | No Werewolf,No Werewolf,True,2,False
Ego4D / 1a0d3e22-a6d6-4723-91a0-52fc2c87d5ce / Game9,Sean,Zack,Zack,two_vs_one,2,Sean | Zack | Zack,Zack,True,2,True
Ego4D / 2ba4023c-a8bf-43ad-ad5a-80ba222ce990 / Game10,Tyler,Tyler,Tyler,unanimous,1,Tyler | Tyler | Tyler,Tyler,True,1,True
Ego4D / 2ba4023c-a8bf-43ad-ad5a-80ba222ce990 / Game6,Clint,Clint,No Werewolf,two_vs_one,2,Clint | Clint | No Werewolf,Clint,True,2,True
