model,decoding_group,run_label,semantic_category,discourse_relation,n_justifications_with_category,n_justifications_with_both,conditional_prevalence,low_support_diagnostic
Gemma 4 2B,Stochastic,run_1,Mechanical,Comparison,4,1,0.25,True
Gemma 4 2B,Stochastic,run_1,Mechanical,Contingency,4,4,1.0,True
Gemma 4 2B,Stochastic,run_1,Mechanical,Expansion,4,3,0.75,True
Gemma 4 2B,Stochastic,run_1,Mechanical,Temporal,4,1,0.25,True
Gemma 4 2B,Stochastic,run_1,Mechanical,Any explicit,4,4,1.0,True
Gemma 4 2B,Stochastic,run_1,Testimony,Comparison,104,60,0.5769230769230769,False
Gemma 4 2B,Stochastic,run_1,Testimony,Contingency,104,42,0.40384615384615385,False
Gemma 4 2B,Stochastic,run_1,Testimony,Expansion,104,57,0.5480769230769231,False
Gemma 4 2B,Stochastic,run_1,Testimony,Temporal,104,29,0.27884615384615385,False
Gemma 4 2B,Stochastic,run_1,Testimony,Any explicit,104,103,0.9903846153846154,False
Gemma 4 2B,Stochastic,run_1,SocialJudgment,Comparison,124,72,0.5806451612903226,False
Gemma 4 2B,Stochastic,run_1,SocialJudgment,Contingency,124,62,0.5,False
Gemma 4 2B,Stochastic,run_1,SocialJudgment,Expansion,124,64,0.5161290322580645,False
Gemma 4 2B,Stochastic,run_1,SocialJudgment,Temporal,124,31,0.25,False
Gemma 4 2B,Stochastic,run_1,SocialJudgment,Any explicit,124,122,0.9838709677419355,False
Gemma 4 2B,Stochastic,run_1,Behavioral,Comparison,31,15,0.4838709677419355,False
Gemma 4 2B,Stochastic,run_1,Behavioral,Contingency,31,15,0.4838709677419355,False
Gemma 4 2B,Stochastic,run_1,Behavioral,Expansion,31,13,0.41935483870967744,False
Gemma 4 2B,Stochastic,run_1,Behavioral,Temporal,31,8,0.25806451612903225,False
Gemma 4 2B,Stochastic,run_1,Behavioral,Any explicit,31,29,0.9354838709677419,False
Gemma 4 2B,Stochastic,run_1,ClaimComparison,Comparison,17,11,0.6470588235294118,True
Gemma 4 2B,Stochastic,run_1,ClaimComparison,Contingency,17,6,0.35294117647058826,True
Gemma 4 2B,Stochastic,run_1,ClaimComparison,Expansion,17,9,0.5294117647058824,True
Gemma 4 2B,Stochastic,run_1,ClaimComparison,Temporal,17,11,0.6470588235294118,True
Gemma 4 2B,Stochastic,run_1,ClaimComparison,Any explicit,17,17,1.0,True
Gemma 4 2B,Stochastic,run_1,Payoff,Comparison,171,101,0.5906432748538012,False
Gemma 4 2B,Stochastic,run_1,Payoff,Contingency,171,98,0.5730994152046783,False
Gemma 4 2B,Stochastic,run_1,Payoff,Expansion,171,89,0.52046783625731,False
Gemma 4 2B,Stochastic,run_1,Payoff,Temporal,171,34,0.19883040935672514,False
Gemma 4 2B,Stochastic,run_1,Payoff,Any explicit,171,169,0.9883040935672515,False
Gemma 4 2B,Stochastic,run_1,Uncertainty,Comparison,114,77,0.6754385964912281,False
Gemma 4 2B,Stochastic,run_1,Uncertainty,Contingency,114,69,0.6052631578947368,False
