justification_id,model,game_id,run_label,decoding_group,n_sentences,n_sent_Mechanical,sem_Mechanical,n_sent_Testimony,sem_Testimony,n_sent_SocialJudgment,sem_SocialJudgment,n_sent_Behavioral,sem_Behavioral,n_sent_ClaimComparison,sem_ClaimComparison,n_sent_Payoff,sem_Payoff,n_sent_Uncertainty,sem_Uncertainty,n_sent_Other,sem_Other,n_disc_Comparison,disc_Comparison,n_disc_Contingency,disc_Contingency,n_disc_Expansion,disc_Expansion,n_disc_Temporal,disc_Temporal,n_sense_Comparison.Contrast,sense_Comparison.Contrast,n_sense_Comparison.Concession,sense_Comparison.Concession,n_sense_Contingency.Cause,sense_Contingency.Cause,n_sense_Contingency.Condition,sense_Contingency.Condition,n_sense_Expansion.Conjunction,sense_Expansion.Conjunction,n_sense_Expansion.Alternative,sense_Expansion.Alternative,n_sense_Expansion.Restatement,sense_Expansion.Restatement,n_sense_Temporal.Asynchronous,sense_Temporal.Asynchronous,n_sense_Temporal.Synchrony,sense_Temporal.Synchrony,n_relations,has_any_relation,vote,voted_player_end_role,is_correct,n_words,n_semantic_categories
2B__Ego4D__0a6ef9dc-a2dc-452b-a907-d6fa2ed4cae0__Game1__run_1,Gemma 4 2B,Ego4D / 0a6ef9dc-a2dc-452b-a907-d6fa2ed4cae0 / Game1,run_1,Stochastic,3,0,False,0,False,0,False,2,True,0,False,1,True,1,True,0,False,1,True,0,False,0,False,0,False,1,True,0,False,0,False,0,False,0,False,0,False,0,False,0,False,0,False,1,True,Hailey,Troublemaker,False,57,3
2B__Ego4D__0a6ef9dc-a2dc-452b-a907-d6fa2ed4cae0__Game2__run_1,Gemma 4 2B,Ego4D / 0a6ef9dc-a2dc-452b-a907-d6fa2ed4cae0 / Game2,run_1,Stochastic,3,0,False,0,False,0,False,0,False,0,False,1,True,3,True,0,False,0,False,2,True,3,True,0,False,0,False,0,False,1,True,1,True,2,True,1,True,0,False,0,False,0,False,5,True,No Werewolf,,False,82,2
2B__Ego4D__0c2659db-7bd4-4b37-9b08-4e247befe382__Game4__run_1,Gemma 4 2B,Ego4D / 0c2659db-7bd4-4b37-9b08-4e247befe382 / Game4,run_1,Stochastic,2,1,True,1,True,0,False,0,False,0,False,1,True,0,False,0,False,0,False,1,True,1,True,0,False,0,False,0,False,1,True,0,False,1,True,0,False,0,False,0,False,0,False,2,True,Elliot,Tanner,False,64,3
2B__Ego4D__0c2659db-7bd4-4b37-9b08-4e247befe382__Game5__run_1,Gemma 4 2B,Ego4D / 0c2659db-7bd4-4b37-9b08-4e247befe382 / Game5,run_1,Stochastic,3,0,False,0,False,2,True,0,False,0,False,2,True,0,False,0,False,1,True,2,True,2,True,0,False,1,True,0,False,1,True,1,True,2,True,0,False,0,False,0,False,0,False,5,True,Chris,Werewolf,True,62,2
2B__Ego4D__0c2659db-7bd4-4b37-9b08-4e247befe382__Game6__run_1,Gemma 4 2B,Ego4D / 0c2659db-7bd4-4b37-9b08-4e247befe382 / Game6,run_1,Stochastic,3,0,False,0,False,2,True,0,False,0,False,1,True,0,False,0,False,1,True,0,False,0,False,0,False,1,True,0,False,0,False,0,False,0,False,0,False,0,False,0,False,0,False,1,True,James,Troublemaker,False,53,2
2B__Ego4D__0c2659db-7bd4-4b37-9b08-4e247befe382__Game7__run_1,Gemma 4 2B,Ego4D / 0c2659db-7bd4-4b37-9b08-4e247befe382 / Game7,run_1,Stochastic,3,0,False,0,False,0,False,0,False,0,False,1,True,3,True,0,False,1,True,1,True,1,True,0,False,1,True,0,False,1,True,0,False,1,True,0,False,0,False,0,False,0,False,3,True,No Werewolf,,True,77,2
2B__Ego4D__0c2659db-7bd4-4b37-9b08-4e247befe382__Game8__run_1,Gemma 4 2B,Ego4D / 0c2659db-7bd4-4b37-9b08-4e247befe382 / Game8,run_1,Stochastic,3,0,False,0,False,2,True,0,False,0,False,1,True,0,False,0,False,0,False,1,True,0,False,0,False,0,False,0,False,1,True,0,False,0,False,0,False,0,False,0,False,0,False,1,True,Sian,Tanner,False,64,2
2B__Ego4D__0c2659db-7bd4-4b37-9b08-4e247befe382__Game9__run_1,Gemma 4 2B,Ego4D / 0c2659db-7bd4-4b37-9b08-4e247befe382 / Game9,run_1,Stochastic,3,0,False,0,False,2,True,0,False,0,False,1,True,2,True,0,False,1,True,0,False,0,False,0,False,1,True,0,False,0,False,0,False,0,False,0,False,0,False,0,False,0,False,1,True,Chris,Werewolf,True,65,3
2B__Ego4D__1a0d3e22-a6d6-4723-91a0-52fc2c87d5ce__Game10__run_1,Gemma 4 2B,Ego4D / 1a0d3e22-a6d6-4723-91a0-52fc2c87d5ce / Game10,run_1,Stochastic,4,0,False,0,False,3,True,0,False,0,False,1,True,1,True,0,False,0,False,1,True,1,True,0,False,0,False,0,False,1,True,0,False,1,True,0,False,0,False,0,False,0,False,2,True,Sean,Werewolf,True,76,3
2B__Ego4D__1a0d3e22-a6d6-4723-91a0-52fc2c87d5ce__Game11__run_1,Gemma 4 2B,Ego4D / 1a0d3e22-a6d6-4723-91a0-52fc2c87d5ce / Game11,run_1,Stochastic,3,0,False,0,False,0,False,0,False,0,False,1,True,3,True,0,False,1,True,2,True,2,True,0,False,1,True,0,False,1,True,1,True,2,True,0,False,0,False,0,False,0,False,5,True,No Werewolf,,False,70,2
