occurrence_id,justification_id,model,game_id,run_label,run_number,decoding_group,marker,category,matched_text,start,end,component_variant,gap_tokens,sentence,match_type,sentence_id,sentence_text,char_spans,alignment_status,discopy_occurrence_id,discopy_surface,discopy_raw_sense,discopy_top_level,discopy_confidence,category_changed,is_coverage_evidence,is_classification_evidence
0,0,Gemma 4 2B,Ego4D / 0a6ef9dc-a2dc-452b-a907-d6fa2ed4cae0 / Game1,run_1,1,Stochastic,and,Expansion,and,99,102,,0,,contiguous,1,"Hailey exhibits highly suspicious behavior throughout the transcript, including manipulating cards and making vague, evasive statements about the night actions.",99-102,CANDIDATE_REJECTED_NOSENSE,0.0,and,NoSense,,0.9999388456344604,,False,True
1,0,Gemma 4 2B,Ego4D / 0a6ef9dc-a2dc-452b-a907-d6fa2ed4cae0 / Game1,run_1,1,Stochastic,while,Comparison,While,161,166,,0,,contiguous,2,"While the transcript does not definitively confirm the Werewolf's identity, Team Village needs to eliminate a suspect to increase their chances of winning.",161-166,ALIGNED_CONNECTIVE,1.0,While,Comparison.Contrast,Comparison,0.7670810222625732,False,False,False
2,1,Gemma 4 2B,Ego4D / 0a6ef9dc-a2dc-452b-a907-d6fa2ed4cae0 / Game2,run_1,1,Stochastic,and,Expansion,and,71,74,,0,,contiguous,1,"The discussion transcript is heavily complicated by role swaps (Robber and Troublemaker), making it impossible to definitively determine who holds the Werewolf card.",71-74,CANDIDATE_REJECTED_NOSENSE,2.0,and,NoSense,,1.0,,False,True
3,1,Gemma 4 2B,Ego4D / 0a6ef9dc-a2dc-452b-a907-d6fa2ed4cae0 / Game2,run_1,1,Stochastic,and,Expansion,and,190,193,,0,,contiguous,2,"Players are speculating and debating theories about who might be lying or who swapped cards, indicating a lack of clear information.",190-193,CANDIDATE_REJECTED_NOSENSE,3.0,and,NoSense,,0.9998893737792968,,False,True
4,1,Gemma 4 2B,Ego4D / 0a6ef9dc-a2dc-452b-a907-d6fa2ed4cae0 / Game2,run_1,1,Stochastic,or,Expansion,or,237,239,,0,,contiguous,2,"Players are speculating and debating theories about who might be lying or who swapped cards, indicating a lack of clear information.",237-239,ALIGNED_CONNECTIVE,4.0,or,Expansion.Alternative,Expansion,0.9280335903167723,False,False,False
5,1,Gemma 4 2B,Ego4D / 0a6ef9dc-a2dc-452b-a907-d6fa2ed4cae0 / Game2,run_1,1,Stochastic,since,Contingency,Since,299,304,,0,,contiguous,3,"Since I cannot confirm the presence of a Werewolf, and the game rules state that Team Village wins if no Werewolf is present and no one dies, the safest choice is to assume no Werewolf is currently active.",299-304,ALIGNED_CONNECTIVE,5.0,Since,Contingency.Cause,Contingency,0.9987239241600036,False,False,False
6,1,Gemma 4 2B,Ego4D / 0a6ef9dc-a2dc-452b-a907-d6fa2ed4cae0 / Game2,run_1,1,Stochastic,and,Expansion,and,350,353,,0,,contiguous,3,"Since I cannot confirm the presence of a Werewolf, and the game rules state that Team Village wins if no Werewolf is present and no one dies, the safest choice is to assume no Werewolf is currently active.",350-353,ALIGNED_CONNECTIVE,6.0,and,Expansion.Conjunction,Expansion,0.989463210105896,False,False,False
7,1,Gemma 4 2B,Ego4D / 0a6ef9dc-a2dc-452b-a907-d6fa2ed4cae0 / Game2,run_1,1,Stochastic,if,Contingency,if,398,400,,0,,contiguous,3,"Since I cannot confirm the presence of a Werewolf, and the game rules state that Team Village wins if no Werewolf is present and no one dies, the safest choice is to assume no Werewolf is currently active.",398-400,ALIGNED_CONNECTIVE,7.0,if,Contingency.Condition,Contingency,0.9865972399711608,False,False,False
8,1,Gemma 4 2B,Ego4D / 0a6ef9dc-a2dc-452b-a907-d6fa2ed4cae0 / Game2,run_1,1,Stochastic,and,Expansion,and,424,427,,0,,contiguous,3,"Since I cannot confirm the presence of a Werewolf, and the game rules state that Team Village wins if no Werewolf is present and no one dies, the safest choice is to assume no Werewolf is currently active.",424-427,ALIGNED_CONNECTIVE,8.0,and,Expansion.Conjunction,Expansion,0.9994841814041138,False,False,False
9,2,Gemma 4 2B,Ego4D / 0c2659db-7bd4-4b37-9b08-4e247befe382 / Game4,run_1,1,Stochastic,and,Expansion,and,73,76,,0,,contiguous,1,"The discussion heavily suggested that Ashley claimed to be the Werewolf, and Elliot was identified as the Robber, a Village role.",73-76,ALIGNED_CONNECTIVE,9.0,and,Expansion.Conjunction,Expansion,0.9850452542304992,False,False,False
10,2,Gemma 4 2B,Ego4D / 0c2659db-7bd4-4b37-9b08-4e247befe382 / Game4,run_1,1,Stochastic,as,Temporal,as,99,101,,0,,contiguous,1,"The discussion heavily suggested that Ashley claimed to be the Werewolf, and Elliot was identified as the Robber, a Village role.",99-101,CANDIDATE_REJECTED_NOSENSE,10.0,as,NoSense,,1.0,,False,True
11,2,Gemma 4 2B,Ego4D / 0c2659db-7bd4-4b37-9b08-4e247befe382 / Game4,run_1,1,Stochastic,given,Contingency,Given,130,135,,0,,contiguous,2,"Given the high suspicion surrounding the Werewolf role and the goal of Team Village to eliminate a Werewolf, voting for Elliot is a strategic move, as he is a plausible target and potentially a Werewolf, which would secure a win for Team Village.",130-135,NOT_A_CANDIDATE_FORM_OUTSIDE_INVENTORY,,,,,,,True,False
12,2,Gemma 4 2B,Ego4D / 0c2659db-7bd4-4b37-9b08-4e247befe382 / Game4,run_1,1,Stochastic,and,Expansion,and,185,188,,0,,contiguous,2,"Given the high suspicion surrounding the Werewolf role and the goal of Team Village to eliminate a Werewolf, voting for Elliot is a strategic move, as he is a plausible target and potentially a Werewolf, which would secure a win for Team Village.",185-188,CANDIDATE_REJECTED_NOSENSE,11.0,and,NoSense,,0.9999996423721312,,False,True
13,2,Gemma 4 2B,Ego4D / 0c2659db-7bd4-4b37-9b08-4e247befe382 / Game4,run_1,1,Stochastic,for,Contingency,for,246,249,,0,,contiguous,2,"Given the high suspicion surrounding the Werewolf role and the goal of Team Village to eliminate a Werewolf, voting for Elliot is a strategic move, as he is a plausible target and potentially a Werewolf, which would secure a win for Team Village.",246-249,CANDIDATE_REJECTED_NOSENSE,12.0,for,NoSense,,1.0,,False,True
14,2,Gemma 4 2B,Ego4D / 0c2659db-7bd4-4b37-9b08-4e247befe382 / Game4,run_1,1,Stochastic,as,Temporal,as,278,280,,0,,contiguous,2,"Given the high suspicion surrounding the Werewolf role and the goal of Team Village to eliminate a Werewolf, voting for Elliot is a strategic move, as he is a plausible target and potentially a Werewolf, which would secure a win for Team Village.",278-280,ALIGNED_CONNECTIVE,13.0,as,Contingency.Cause,Contingency,0.9756450653076172,True,False,False
15,2,Gemma 4 2B,Ego4D / 0c2659db-7bd4-4b37-9b08-4e247befe382 / Game4,run_1,1,Stochastic,and,Expansion,and,306,309,,0,,contiguous,2,"Given the high suspicion surrounding the Werewolf role and the goal of Team Village to eliminate a Werewolf, voting for Elliot is a strategic move, as he is a plausible target and potentially a Werewolf, which would secure a win for Team Village.",306-309,CANDIDATE_REJECTED_NOSENSE,14.0,and,NoSense,,0.9999998807907104,,False,True
16,2,Gemma 4 2B,Ego4D / 0c2659db-7bd4-4b37-9b08-4e247befe382 / Game4,run_1,1,Stochastic,for,Contingency,for,359,362,,0,,contiguous,2,"Given the high suspicion surrounding the Werewolf role and the goal of Team Village to eliminate a Werewolf, voting for Elliot is a strategic move, as he is a plausible target and potentially a Werewolf, which would secure a win for Team Village.",359-362,CANDIDATE_REJECTED_NOSENSE,15.0,for,NoSense,,1.0,,False,True
17,3,Gemma 4 2B,Ego4D / 0c2659db-7bd4-4b37-9b08-4e247befe382 / Game5,run_1,1,Stochastic,as,Temporal,as,29,31,,0,,contiguous,1,"Chris is the primary suspect as he is directly accused of being the Werewolf by Elliot, and James also strongly suggested this possibility.",29-31,ALIGNED_CONNECTIVE,16.0,as,Contingency.Cause,Contingency,0.9487289190292358,True,False,False
18,3,Gemma 4 2B,Ego4D / 0c2659db-7bd4-4b37-9b08-4e247befe382 / Game5,run_1,1,Stochastic,and,Expansion,and,88,91,,0,,contiguous,1,"Chris is the primary suspect as he is directly accused of being the Werewolf by Elliot, and James also strongly suggested this possibility.",88-91,ALIGNED_CONNECTIVE,17.0,and,Expansion.Conjunction,Expansion,0.9690743684768676,False,False,False
19,3,Gemma 4 2B,Ego4D / 0c2659db-7bd4-4b37-9b08-4e247befe382 / Game5,run_1,1,Stochastic,also,Expansion,also,98,102,,0,,contiguous,1,"Chris is the primary suspect as he is directly accused of being the Werewolf by Elliot, and James also strongly suggested this possibility.",98-102,ALIGNED_CONNECTIVE,18.0,also,Expansion.Conjunction,Expansion,0.9980027079582214,False,False,False
20,3,Gemma 4 2B,Ego4D / 0c2659db-7bd4-4b37-9b08-4e247befe382 / Game5,run_1,1,Stochastic,while,Comparison,While,140,145,,0,,contiguous,2,"While the transcript is filled with role swaps and bluffs, targeting the most heavily accused player maximizes the chance of eliminating a Werewolf and securing Team Village's win condition.",140-145,ALIGNED_CONNECTIVE,19.0,While,Comparison.Contrast,Comparison,0.7150723338127136,False,False,False
21,3,Gemma 4 2B,Ego4D / 0c2659db-7bd4-4b37-9b08-4e247befe382 / Game5,run_1,1,Stochastic,with,Contingency,with,171,175,,0,,contiguous,2,"While the transcript is filled with role swaps and bluffs, targeting the most heavily accused player maximizes the chance of eliminating a Werewolf and securing Team Village's win condition.",171-175,NOT_A_CANDIDATE_FORM_OUTSIDE_INVENTORY,,,,,,,True,False
22,3,Gemma 4 2B,Ego4D / 0c2659db-7bd4-4b37-9b08-4e247befe382 / Game5,run_1,1,Stochastic,and,Expansion,and,187,190,,0,,contiguous,2,"While the transcript is filled with role swaps and bluffs, targeting the most heavily accused player maximizes the chance of eliminating a Werewolf and securing Team Village's win condition.",187-190,CANDIDATE_REJECTED_NOSENSE,20.0,and,NoSense,,1.0,,False,True
23,3,Gemma 4 2B,Ego4D / 0c2659db-7bd4-4b37-9b08-4e247befe382 / Game5,run_1,1,Stochastic,and,Expansion,and,288,291,,0,,contiguous,2,"While the transcript is filled with role swaps and bluffs, targeting the most heavily accused player maximizes the chance of eliminating a Werewolf and securing Team Village's win condition.",288-291,CANDIDATE_REJECTED_NOSENSE,21.0,and,NoSense,,0.9999717473983764,,False,True
24,3,Gemma 4 2B,Ego4D / 0c2659db-7bd4-4b37-9b08-4e247befe382 / Game5,run_1,1,Stochastic,if,Contingency,If,331,333,,0,,contiguous,3,"If Chris is indeed the Werewolf, this vote ensures victory.",331-333,ALIGNED_CONNECTIVE,22.0,If,Contingency.Condition,Contingency,0.8260804414749146,False,False,False
25,3,Gemma 4 2B,Ego4D / 0c2659db-7bd4-4b37-9b08-4e247befe382 / Game5,run_1,1,Stochastic,indeed,Expansion,indeed,343,349,,0,,contiguous,3,"If Chris is indeed the Werewolf, this vote ensures victory.",343-349,CANDIDATE_REJECTED_NOSENSE,23.0,indeed,NoSense,,0.99000483751297,,False,True
26,4,Gemma 4 2B,Ego4D / 0c2659db-7bd4-4b37-9b08-4e247befe382 / Game6,run_1,1,Stochastic,specifically,Expansion,specifically,85,97,,0,,contiguous,1,"Sukeshi directly accuses James of being a werewolf multiple times in the transcript, specifically stating 'James is a werewolf' (73, 75).",85-97,CANDIDATE_REJECTED_NOSENSE,24.0,specifically,NoSense,,0.543178379535675,,False,True
27,4,Gemma 4 2B,Ego4D / 0c2659db-7bd4-4b37-9b08-4e247befe382 / Game6,run_1,1,Stochastic,while,Comparison,While,138,143,,0,,contiguous,2,"While the game is chaotic due to role swaps, this explicit statement provides the strongest immediate evidence pointing toward James as a Werewolf.",138-143,ALIGNED_CONNECTIVE,25.0,While,Comparison.Contrast,Comparison,0.5680708289146423,False,False,False
28,4,Gemma 4 2B,Ego4D / 0c2659db-7bd4-4b37-9b08-4e247befe382 / Game6,run_1,1,Stochastic,as,Temporal,as,271,273,,0,,contiguous,2,"While the game is chaotic due to role swaps, this explicit statement provides the strongest immediate evidence pointing toward James as a Werewolf.",271-273,CANDIDATE_REJECTED_NOSENSE,26.0,as,NoSense,,0.9999998807907104,,False,True
29,5,Gemma 4 2B,Ego4D / 0c2659db-7bd4-4b37-9b08-4e247befe382 / Game7,run_1,1,Stochastic,while,Comparison,While,167,172,,0,,contiguous,2,"While several players make claims about their roles or who they swapped with, there is no concrete evidence that confirms any player is currently a Werewolf.",167-172,ALIGNED_CONNECTIVE,27.0,While,Comparison.Contrast,Comparison,0.7370336055755615,False,False,False
30,5,Gemma 4 2B,Ego4D / 0c2659db-7bd4-4b37-9b08-4e247befe382 / Game7,run_1,1,Stochastic,or,Expansion,or,219,221,,0,,contiguous,2,"While several players make claims about their roles or who they swapped with, there is no concrete evidence that confirms any player is currently a Werewolf.",219-221,CANDIDATE_REJECTED_NOSENSE,28.0,or,NoSense,,0.9461183547973632,,False,True
31,5,Gemma 4 2B,Ego4D / 0c2659db-7bd4-4b37-9b08-4e247befe382 / Game7,run_1,1,Stochastic,with,Contingency,with,239,243,,0,,contiguous,2,"While several players make claims about their roles or who they swapped with, there is no concrete evidence that confirms any player is currently a Werewolf.",239-243,NOT_A_CANDIDATE_FORM_OUTSIDE_INVENTORY,,,,,,,True,False
32,5,Gemma 4 2B,Ego4D / 0c2659db-7bd4-4b37-9b08-4e247befe382 / Game7,run_1,1,Stochastic,since,Contingency,Since,325,330,,0,,contiguous,3,"Since Team Village wins by eliminating a Werewolf, and I cannot confidently point to a Werewolf, I must assume no Werewolf is present to ensure Team Village's victory condition is met.",325-330,ALIGNED_CONNECTIVE,29.0,Since,Contingency.Cause,Contingency,0.9569286704063416,False,False,False
33,5,Gemma 4 2B,Ego4D / 0c2659db-7bd4-4b37-9b08-4e247befe382 / Game7,run_1,1,Stochastic,and,Expansion,and,376,379,,0,,contiguous,3,"Since Team Village wins by eliminating a Werewolf, and I cannot confidently point to a Werewolf, I must assume no Werewolf is present to ensure Team Village's victory condition is met.",376-379,ALIGNED_CONNECTIVE,30.0,and,Expansion.Conjunction,Expansion,0.9161108136177064,False,False,False
34,6,Gemma 4 2B,Ego4D / 0c2659db-7bd4-4b37-9b08-4e247befe382 / Game8,run_1,1,Stochastic,and,Expansion,and,70,73,,0,,contiguous,1,"The discussion in the transcript centers heavily on identifying roles and suspicion falling on Sian, who is repeatedly questioned as potentially being a Minion or Werewolf.",70-73,CANDIDATE_REJECTED_NOSENSE,31.0,and,NoSense,,0.9999667406082152,,False,True
35,6,Gemma 4 2B,Ego4D / 0c2659db-7bd4-4b37-9b08-4e247befe382 / Game8,run_1,1,Stochastic,as,Temporal,as,130,132,,0,,contiguous,1,"The discussion in the transcript centers heavily on identifying roles and suspicion falling on Sian, who is repeatedly questioned as potentially being a Minion or Werewolf.",130-132,CANDIDATE_REJECTED_NOSENSE,32.0,as,NoSense,,1.0,,False,True
36,6,Gemma 4 2B,Ego4D / 0c2659db-7bd4-4b37-9b08-4e247befe382 / Game8,run_1,1,Stochastic,or,Expansion,or,160,162,,0,,contiguous,1,"The discussion in the transcript centers heavily on identifying roles and suspicion falling on Sian, who is repeatedly questioned as potentially being a Minion or Werewolf.",160-162,CANDIDATE_REJECTED_NOSENSE,33.0,or,NoSense,,1.0,,False,True
37,6,Gemma 4 2B,Ego4D / 0c2659db-7bd4-4b37-9b08-4e247befe382 / Game8,run_1,1,Stochastic,and,Expansion,and,179,182,,0,,contiguous,2,"Chris and Sukeshi explicitly suggest killing her, indicating a strong belief that she is a threat.",179-182,CANDIDATE_REJECTED_NOSENSE,34.0,and,NoSense,,0.9957140684127808,,False,True
38,6,Gemma 4 2B,Ego4D / 0c2659db-7bd4-4b37-9b08-4e247befe382 / Game8,run_1,1,Stochastic,since,Contingency,Since,272,277,,0,,contiguous,3,"Since Team Village wins by eliminating a Werewolf, voting Sian out is the best strategic move based on the current public discussion.",272-277,ALIGNED_CONNECTIVE,35.0,Since,Contingency.Cause,Contingency,0.9615426659584044,False,False,False
39,7,Gemma 4 2B,Ego4D / 0c2659db-7bd4-4b37-9b08-4e247befe382 / Game9,run_1,1,Stochastic,with,Contingency,with,36,40,,0,,contiguous,1,"The discussion is highly confusing, with multiple players claiming different roles, especially the Villager role.",36-40,NOT_A_CANDIDATE_FORM_OUTSIDE_INVENTORY,,,,,,,True,False
40,7,Gemma 4 2B,Ego4D / 0c2659db-7bd4-4b37-9b08-4e247befe382 / Game9,run_1,1,Stochastic,however,Comparison,However,114,121,,0,,contiguous,2,"However, Sian and Elliot directly point suspicion toward Chris, suggesting he might be the Werewolf.",114-121,ALIGNED_CONNECTIVE,36.0,However,Comparison.Contrast,Comparison,0.7711325883865356,False,False,False
41,7,Gemma 4 2B,Ego4D / 0c2659db-7bd4-4b37-9b08-4e247befe382 / Game9,run_1,1,Stochastic,and,Expansion,and,128,131,,0,,contiguous,2,"However, Sian and Elliot directly point suspicion toward Chris, suggesting he might be the Werewolf.",128-131,CANDIDATE_REJECTED_NOSENSE,37.0,and,NoSense,,0.999980330467224,,False,True
42,7,Gemma 4 2B,Ego4D / 0c2659db-7bd4-4b37-9b08-4e247befe382 / Game9,run_1,1,Stochastic,given,Contingency,Given,215,220,,0,,contiguous,3,"Given the high level of uncertainty and the need to eliminate a Werewolf to secure a victory for Team Village, targeting the player who is most frequently implicated by other players is the safest choice.",215-220,NOT_A_CANDIDATE_FORM_OUTSIDE_INVENTORY,,,,,,,True,False
43,7,Gemma 4 2B,Ego4D / 0c2659db-7bd4-4b37-9b08-4e247befe382 / Game9,run_1,1,Stochastic,and,Expansion,and,251,254,,0,,contiguous,3,"Given the high level of uncertainty and the need to eliminate a Werewolf to secure a victory for Team Village, targeting the player who is most frequently implicated by other players is the safest choice.",251-254,CANDIDATE_REJECTED_NOSENSE,38.0,and,NoSense,,0.9999974966049194,,False,True
44,7,Gemma 4 2B,Ego4D / 0c2659db-7bd4-4b37-9b08-4e247befe382 / Game9,run_1,1,Stochastic,for,Contingency,for,308,311,,0,,contiguous,3,"Given the high level of uncertainty and the need to eliminate a Werewolf to secure a victory for Team Village, targeting the player who is most frequently implicated by other players is the safest choice.",308-311,CANDIDATE_REJECTED_NOSENSE,39.0,for,NoSense,,1.0,,False,True
45,8,Gemma 4 2B,Ego4D / 1a0d3e22-a6d6-4723-91a0-52fc2c87d5ce / Game10,run_1,1,Stochastic,and,Expansion,and,51,54,,0,,contiguous,1,"The discussion is heavily focused on role swapping and identity confusion, making it difficult to determine true roles.",51-54,CANDIDATE_REJECTED_NOSENSE,40.0,and,NoSense,,0.9999806880950928,,False,True
46,8,Gemma 4 2B,Ego4D / 1a0d3e22-a6d6-4723-91a0-52fc2c87d5ce / Game10,run_1,1,Stochastic,and,Expansion,and,152,155,,0,,contiguous,2,"Hunter explicitly suggests Sean and Jacob are the suspects, and Sean himself is mentioned as a possible Werewolf.",152-155,CANDIDATE_REJECTED_NOSENSE,41.0,and,NoSense,,0.9999998807907104,,False,True
47,8,Gemma 4 2B,Ego4D / 1a0d3e22-a6d6-4723-91a0-52fc2c87d5ce / Game10,run_1,1,Stochastic,and,Expansion,and,180,183,,0,,contiguous,2,"Hunter explicitly suggests Sean and Jacob are the suspects, and Sean himself is mentioned as a possible Werewolf.",180-183,ALIGNED_CONNECTIVE,42.0,and,Expansion.Conjunction,Expansion,0.994491696357727,False,False,False
48,8,Gemma 4 2B,Ego4D / 1a0d3e22-a6d6-4723-91a0-52fc2c87d5ce / Game10,run_1,1,Stochastic,as,Temporal,as,210,212,,0,,contiguous,2,"Hunter explicitly suggests Sean and Jacob are the suspects, and Sean himself is mentioned as a possible Werewolf.",210-212,CANDIDATE_REJECTED_NOSENSE,43.0,as,NoSense,,0.9999996423721312,,False,True
49,8,Gemma 4 2B,Ego4D / 1a0d3e22-a6d6-4723-91a0-52fc2c87d5ce / Game10,run_1,1,Stochastic,since,Contingency,Since,234,239,,0,,contiguous,3,"Since Team Village needs to eliminate a Werewolf, targeting the player most strongly suspected of holding the Werewolf card is the best course of action.",234-239,ALIGNED_CONNECTIVE,44.0,Since,Contingency.Cause,Contingency,0.9905577898025512,False,False,False
50,8,Gemma 4 2B,Ego4D / 1a0d3e22-a6d6-4723-91a0-52fc2c87d5ce / Game10,run_1,1,Stochastic,and,Expansion,and,418,421,,0,,contiguous,4,Sean's conflicting statements and the general suspicion surrounding his identity make him a high-priority target.,418-421,CANDIDATE_REJECTED_NOSENSE,45.0,and,NoSense,,0.9999562501907348,,False,True
51,9,Gemma 4 2B,Ego4D / 1a0d3e22-a6d6-4723-91a0-52fc2c87d5ce / Game11,run_1,1,Stochastic,and,Expansion,and,53,56,,0,,contiguous,1,The discussion is highly confusing due to role swaps and conflicting claims about who holds which card.,53-56,CANDIDATE_REJECTED_NOSENSE,46.0,and,NoSense,,0.9999998807907104,,False,True
52,9,Gemma 4 2B,Ego4D / 1a0d3e22-a6d6-4723-91a0-52fc2c87d5ce / Game11,run_1,1,Stochastic,while,Comparison,While,104,109,,0,,contiguous,2,"While players are speculating about the presence of a Werewolf, there is no concrete evidence or confirmed Werewolf action in the transcript.",104-109,ALIGNED_CONNECTIVE,47.0,While,Comparison.Contrast,Comparison,0.7291952967643738,False,False,False
53,9,Gemma 4 2B,Ego4D / 1a0d3e22-a6d6-4723-91a0-52fc2c87d5ce / Game11,run_1,1,Stochastic,or,Expansion,or,198,200,,0,,contiguous,2,"While players are speculating about the presence of a Werewolf, there is no concrete evidence or confirmed Werewolf action in the transcript.",198-200,CANDIDATE_REJECTED_NOSENSE,48.0,or,NoSense,,1.0,,False,True
54,9,Gemma 4 2B,Ego4D / 1a0d3e22-a6d6-4723-91a0-52fc2c87d5ce / Game11,run_1,1,Stochastic,since,Contingency,Since,246,251,,0,,contiguous,3,"Since Team Village wins if no Werewolf is present and no one dies, and I cannot definitively identify a Werewolf, the safest strategy is to assume no Werewolf is currently active.",246-251,ALIGNED_CONNECTIVE,49.0,Since,Contingency.Cause,Contingency,0.9897527694702148,False,False,False
55,9,Gemma 4 2B,Ego4D / 1a0d3e22-a6d6-4723-91a0-52fc2c87d5ce / Game11,run_1,1,Stochastic,if,Contingency,if,270,272,,0,,contiguous,3,"Since Team Village wins if no Werewolf is present and no one dies, and I cannot definitively identify a Werewolf, the safest strategy is to assume no Werewolf is currently active.",270-272,ALIGNED_CONNECTIVE,50.0,if,Contingency.Condition,Contingency,0.9918799996376038,False,False,False
56,9,Gemma 4 2B,Ego4D / 1a0d3e22-a6d6-4723-91a0-52fc2c87d5ce / Game11,run_1,1,Stochastic,and,Expansion,and,296,299,,0,,contiguous,3,"Since Team Village wins if no Werewolf is present and no one dies, and I cannot definitively identify a Werewolf, the safest strategy is to assume no Werewolf is currently active.",296-299,ALIGNED_CONNECTIVE,51.0,and,Expansion.Conjunction,Expansion,0.99960058927536,False,False,False
57,9,Gemma 4 2B,Ego4D / 1a0d3e22-a6d6-4723-91a0-52fc2c87d5ce / Game11,run_1,1,Stochastic,and,Expansion,and,313,316,,0,,contiguous,3,"Since Team Village wins if no Werewolf is present and no one dies, and I cannot definitively identify a Werewolf, the safest strategy is to assume no Werewolf is currently active.",313-316,ALIGNED_CONNECTIVE,52.0,and,Expansion.Conjunction,Expansion,0.8787733912467957,False,False,False
58,10,Gemma 4 2B,Ego4D / 1a0d3e22-a6d6-4723-91a0-52fc2c87d5ce / Game6,run_1,1,Stochastic,particularly,Expansion,particularly,59,71,,0,,contiguous,1,"The discussion heavily implies the presence of Werewolves, particularly when players debate the number of Werewolves in a deck.",59-71,NOT_A_CANDIDATE_FORM_OUTSIDE_INVENTORY,,,,,,,True,False
59,10,Gemma 4 2B,Ego4D / 1a0d3e22-a6d6-4723-91a0-52fc2c87d5ce / Game6,run_1,1,Stochastic,when,Temporal,when,72,76,,0,,contiguous,1,"The discussion heavily implies the presence of Werewolves, particularly when players debate the number of Werewolves in a deck.",72-76,CANDIDATE_REJECTED_NOSENSE,53.0,when,NoSense,,0.6103067994117737,,False,True
60,10,Gemma 4 2B,Ego4D / 1a0d3e22-a6d6-4723-91a0-52fc2c87d5ce / Game6,run_1,1,Stochastic,and,Expansion,and,135,138,,0,,contiguous,2,"Hunter and Sean explicitly claimed to be Werewolves, which makes them the primary suspects.",135-138,CANDIDATE_REJECTED_NOSENSE,54.0,and,NoSense,,0.9998075366020204,,False,True
61,10,Gemma 4 2B,Ego4D / 1a0d3e22-a6d6-4723-91a0-52fc2c87d5ce / Game6,run_1,1,Stochastic,for,Contingency,for,281,284,,0,,contiguous,3,"To maximize the chances of Team Village winning, I will vote for Hunter, as he made a direct claim about his role that could be a lie, aligning with the goal of eliminating a Werewolf.",281-284,CANDIDATE_REJECTED_NOSENSE,55.0,for,NoSense,,1.0,,False,True
62,10,Gemma 4 2B,Ego4D / 1a0d3e22-a6d6-4723-91a0-52fc2c87d5ce / Game6,run_1,1,Stochastic,as,Temporal,as,293,295,,0,,contiguous,3,"To maximize the chances of Team Village winning, I will vote for Hunter, as he made a direct claim about his role that could be a lie, aligning with the goal of eliminating a Werewolf.",293-295,ALIGNED_CONNECTIVE,56.0,as,Temporal.Synchrony,Temporal,0.7826177477836609,False,False,False
63,10,Gemma 4 2B,Ego4D / 1a0d3e22-a6d6-4723-91a0-52fc2c87d5ce / Game6,run_1,1,Stochastic,with,Contingency,with,364,368,,0,,contiguous,3,"To maximize the chances of Team Village winning, I will vote for Hunter, as he made a direct claim about his role that could be a lie, aligning with the goal of eliminating a Werewolf.",364-368,NOT_A_CANDIDATE_FORM_OUTSIDE_INVENTORY,,,,,,,True,False
64,11,Gemma 4 2B,Ego4D / 1a0d3e22-a6d6-4723-91a0-52fc2c87d5ce / Game7,run_1,1,Stochastic,although,Comparison,Although,104,112,,0,,contiguous,2,"Although subsequent discussion centered on card swaps and role confusion, Hunter remains the primary suspect based on the initial accusation.",104-112,ALIGNED_CONNECTIVE,57.0,Although,Comparison.Contrast,Comparison,0.5397620797157288,False,False,False
65,11,Gemma 4 2B,Ego4D / 1a0d3e22-a6d6-4723-91a0-52fc2c87d5ce / Game7,run_1,1,Stochastic,and,Expansion,and,158,161,,0,,contiguous,2,"Although subsequent discussion centered on card swaps and role confusion, Hunter remains the primary suspect based on the initial accusation.",158-161,CANDIDATE_REJECTED_NOSENSE,58.0,and,NoSense,,0.9999972581863404,,False,True
66,11,Gemma 4 2B,Ego4D / 1a0d3e22-a6d6-4723-91a0-52fc2c87d5ce / Game7,run_1,1,Stochastic,since,Contingency,Since,246,251,,0,,contiguous,3,"Since Team Village needs to eliminate a Werewolf to win, targeting the player who was explicitly identified as such is the most strategic move.",246-251,ALIGNED_CONNECTIVE,59.0,Since,Contingency.Cause,Contingency,0.9950640797615052,False,False,False
67,11,Gemma 4 2B,Ego4D / 1a0d3e22-a6d6-4723-91a0-52fc2c87d5ce / Game7,run_1,1,Stochastic,as,Temporal,as,354,356,,0,,contiguous,3,"Since Team Village needs to eliminate a Werewolf to win, targeting the player who was explicitly identified as such is the most strategic move.",354-356,CANDIDATE_REJECTED_NOSENSE,60.0,as,NoSense,,0.9999998807907104,,False,True
68,12,Gemma 4 2B,Ego4D / 1a0d3e22-a6d6-4723-91a0-52fc2c87d5ce / Game8,run_1,1,Stochastic,and,Expansion,and,60,63,,0,,contiguous,1,"The discussion transcript reveals significant role swapping and confusion among the players, making it impossible to definitively identify the Werewolf.",60-63,CANDIDATE_REJECTED_NOSENSE,61.0,and,NoSense,,1.0,,False,True
69,12,Gemma 4 2B,Ego4D / 1a0d3e22-a6d6-4723-91a0-52fc2c87d5ce / Game8,run_1,1,Stochastic,while,Comparison,While,153,158,,0,,contiguous,2,"While Hunter suspects Zack is the Werewolf, this is merely a claim, and the roles are highly uncertain.",153-158,ALIGNED_CONNECTIVE,62.0,While,Comparison.Contrast,Comparison,0.8461140990257263,False,False,False
