model,decoding_group,run_label,semantic_category,discourse_relation,n_justifications,support,joint_prevalence,prevalence_category,prevalence_relation,lift,low_support_diagnostic
Gemma 4 2B,Stochastic,run_1,Mechanical,Comparison,191,1,0.005235602094240838,0.020942408376963352,0.5654450261780105,0.44212962962962965,True
Gemma 4 2B,Stochastic,run_1,Mechanical,Contingency,191,4,0.020942408376963352,0.020942408376963352,0.5549738219895288,1.8018867924528301,True
Gemma 4 2B,Stochastic,run_1,Mechanical,Expansion,191,3,0.015706806282722512,0.020942408376963352,0.5235602094240838,1.4324999999999999,True
Gemma 4 2B,Stochastic,run_1,Mechanical,Temporal,191,1,0.005235602094240838,0.020942408376963352,0.2094240837696335,1.1937499999999999,True
Gemma 4 2B,Stochastic,run_1,Mechanical,Any explicit,191,4,0.020942408376963352,0.020942408376963352,0.9842931937172775,1.0159574468085106,True
Gemma 4 2B,Stochastic,run_1,Testimony,Comparison,191,60,0.31413612565445026,0.5445026178010471,0.5654450261780105,1.020299145299145,False
Gemma 4 2B,Stochastic,run_1,Testimony,Contingency,191,42,0.2198952879581152,0.5445026178010471,0.5549738219895288,0.7276850507982583,False
Gemma 4 2B,Stochastic,run_1,Testimony,Expansion,191,57,0.29842931937172773,0.5445026178010471,0.5235602094240838,1.046826923076923,False
Gemma 4 2B,Stochastic,run_1,Testimony,Temporal,191,29,0.1518324607329843,0.5445026178010471,0.2094240837696335,1.3314903846153845,False
Gemma 4 2B,Stochastic,run_1,Testimony,Any explicit,191,103,0.5392670157068062,0.5445026178010471,0.9842931937172775,1.0061886252045824,False
Gemma 4 2B,Stochastic,run_1,SocialJudgment,Comparison,191,72,0.3769633507853403,0.6492146596858639,0.5654450261780105,1.0268817204301075,False
Gemma 4 2B,Stochastic,run_1,SocialJudgment,Contingency,191,62,0.32460732984293195,0.6492146596858639,0.5549738219895288,0.9009433962264151,False
Gemma 4 2B,Stochastic,run_1,SocialJudgment,Expansion,191,64,0.33507853403141363,0.6492146596858639,0.5235602094240838,0.9858064516129033,False
