occurrence_id,model,run_label,decoding_group,justification_id,sentence_id,form,connective_surface,status,raw_sense,top_level,confidence,dimlex_category,is_discontinuous,sentence_text
10342,Gemma 4 31B,run_2,Stochastic,1765,3,if,if,accepted,Comparison.Concession,Comparison,0.3361454904079437,Comparison,False,"Even if Paul is lying, the combined claims of Justin and Tyler strongly suggest that at least one of them is a Werewolf, and Justin is the primary target of the group's consensus."
7639,Gemma 4 4B,greedy_t0,Greedy,1370,3,if,if,accepted,Comparison.Concession,Comparison,0.5955668091773987,Comparison,False,"This self-incrimination, even if a bluff, makes him the primary target for Team Village."
11433,Gemma 4 31B,run_3,Stochastic,1915,3,if,if,accepted,Comparison.Concession,Comparison,0.7572235465049744,Comparison,False,"Sukeshi's admission, even if presented confusingly, makes her the most probable Werewolf in the game."
9042,Gemma 4 31B,run_1,Stochastic,1590,3,if,if,accepted,Comparison.Concession,Comparison,0.855757474899292,Comparison,False,"Mike supports this claim, stating that even if Justin wasn't the werewolf initially, he is now due to a card swap Mike performed as the Troublemaker."
6401,Gemma 4 4B,run_3,Stochastic,1169,3,if,if,accepted,Comparison.Concession,Comparison,0.868056058883667,Comparison,False,"Given that Team Village wins only by eliminating a Werewolf, targeting the player who confessed to being one, even if they changed roles, is the most logical move."
13512,Gemma 4 31B,greedy_t0,Greedy,2200,1,if,if,accepted,Comparison.Concession,Comparison,0.8806072473526001,Comparison,False,"Paul explicitly claims to be the werewolf ('I was solo werewolf'), which is a strong indicator of his role, even if he attempts to divert the vote toward Justin."
7955,Gemma 4 4B,greedy_t0,Greedy,1423,2,if,if,accepted,Comparison.Concession,Comparison,0.8936623930931091,Comparison,False,"However, Paul is the only player who directly admitted to being a Werewolf during the discussion (Line 36), even if he attempted to cover it up later."
5827,Gemma 4 4B,run_2,Stochastic,1076,1,if,if,accepted,Comparison.Concession,Comparison,0.9042563438415528,Comparison,False,"Paul directly claimed to be the Werewolf during the discussion phase (48), which is the most concrete piece of evidence pointing toward a threat, even if it is a bluff."
5155,Gemma 4 4B,run_2,Stochastic,966,2,if,if,accepted,Comparison.Concession,Comparison,0.908697545528412,Comparison,False,"While the discussion quickly devolved into complex role swaps involving the Robber and Troublemaker, Sean maintained the narrative that Hunter was a werewolf, even if his card was switched."
12540,Gemma 4 31B,run_3,Stochastic,2065,1,if,if,accepted,Comparison.Concession,Comparison,0.9105547666549684,Comparison,False,"Mike repeatedly admits to being the Werewolf ('I was the werewolf' in [100], [114], [127], and [136]), which is a strong indicator of his role, even if he attempts to divert the vote toward Caitlynn."
5716,Gemma 4 4B,run_2,Stochastic,1056,4,if,if,accepted,Comparison.Concession,Comparison,0.9124305248260498,Comparison,False,"While the game involves complex role swaps and deception, targeting the player who has claimed the Werewolf role, even if it was through a swap, provides the strongest evidence for Team Village to eliminate a threat."
2569,Gemma 4 2B,run_3,Stochastic,503,1,if,if,accepted,Comparison.Concession,Comparison,0.9448440670967102,Comparison,False,"Paul repeatedly claimed to be the Werewolf during the discussion phase, which is a strong indicator of suspicion, even if he is lying."
2184,Gemma 4 2B,run_3,Stochastic,427,1,if,if,accepted,Comparison.Concession,Comparison,0.9464340806007384,Comparison,False,"Mitchell explicitly claims, ""I was the werewolf,"" which is a direct accusation, even if he is lying."
10007,Gemma 4 31B,run_1,Stochastic,1718,3,if,if,accepted,Contingency.Condition,Contingency,0.4767663776874542,Contingency,False,"Furthermore, Mike claims to be the Troublemaker and states he switched Justin and Mitchell (119), and Mitchell admits he was a Werewolf (166); if these claims are true, Justin is currently the Werewolf."
