model,decoding_group,run_label,category,is_substantive,n_justifications,n_present,prevalence
Gemma 4 2B,Stochastic,run_1,Mechanical,True,191,4,0.020942408376963352
Gemma 4 2B,Stochastic,run_1,Testimony,True,191,104,0.5445026178010471
Gemma 4 2B,Stochastic,run_1,SocialJudgment,True,191,124,0.6492146596858639
Gemma 4 2B,Stochastic,run_1,Behavioral,True,191,31,0.16230366492146597
Gemma 4 2B,Stochastic,run_1,ClaimComparison,True,191,17,0.08900523560209424
Gemma 4 2B,Stochastic,run_1,Payoff,True,191,171,0.8952879581151832
Gemma 4 2B,Stochastic,run_1,Uncertainty,True,191,114,0.5968586387434555
Gemma 4 2B,Stochastic,run_1,Other,False,191,0,0.0
Gemma 4 2B,Stochastic,run_2,Mechanical,True,191,7,0.03664921465968586
Gemma 4 2B,Stochastic,run_2,Testimony,True,191,99,0.518324607329843
Gemma 4 2B,Stochastic,run_2,SocialJudgment,True,191,109,0.5706806282722513
Gemma 4 2B,Stochastic,run_2,Behavioral,True,191,31,0.16230366492146597
Gemma 4 2B,Stochastic,run_2,ClaimComparison,True,191,13,0.06806282722513089
Gemma 4 2B,Stochastic,run_2,Payoff,True,191,178,0.9319371727748691
Gemma 4 2B,Stochastic,run_2,Uncertainty,True,191,114,0.5968586387434555
Gemma 4 2B,Stochastic,run_2,Other,False,191,3,0.015706806282722512
Gemma 4 2B,Stochastic,run_3,Mechanical,True,191,6,0.031413612565445025
Gemma 4 2B,Stochastic,run_3,Testimony,True,191,103,0.5392670157068062
Gemma 4 2B,Stochastic,run_3,SocialJudgment,True,191,107,0.5602094240837696
Gemma 4 2B,Stochastic,run_3,Behavioral,True,191,34,0.17801047120418848
Gemma 4 2B,Stochastic,run_3,ClaimComparison,True,191,15,0.07853403141361257
Gemma 4 2B,Stochastic,run_3,Payoff,True,191,172,0.900523560209424
Gemma 4 2B,Stochastic,run_3,Uncertainty,True,191,114,0.5968586387434555
Gemma 4 2B,Stochastic,run_3,Other,False,191,0,0.0
Gemma 4 2B,Greedy,greedy_t0,Mechanical,True,191,5,0.02617801047120419
Gemma 4 2B,Greedy,greedy_t0,Testimony,True,191,104,0.5445026178010471
Gemma 4 2B,Greedy,greedy_t0,SocialJudgment,True,191,97,0.5078534031413613
Gemma 4 2B,Greedy,greedy_t0,Behavioral,True,191,34,0.17801047120418848
Gemma 4 2B,Greedy,greedy_t0,ClaimComparison,True,191,15,0.07853403141361257
Gemma 4 2B,Greedy,greedy_t0,Payoff,True,191,172,0.900523560209424
Gemma 4 2B,Greedy,greedy_t0,Uncertainty,True,191,122,0.6387434554973822
Gemma 4 2B,Greedy,greedy_t0,Other,False,191,2,0.010471204188481676
Gemma 4 4B,Stochastic,run_1,Mechanical,True,191,15,0.07853403141361257
Gemma 4 4B,Stochastic,run_1,Testimony,True,191,148,0.774869109947644
Gemma 4 4B,Stochastic,run_1,SocialJudgment,True,191,108,0.5654450261780105
Gemma 4 4B,Stochastic,run_1,Behavioral,True,191,118,0.6178010471204188
Gemma 4 4B,Stochastic,run_1,ClaimComparison,True,191,36,0.18848167539267016
Gemma 4 4B,Stochastic,run_1,Payoff,True,191,140,0.7329842931937173
Gemma 4 4B,Stochastic,run_1,Uncertainty,True,191,76,0.39790575916230364
Gemma 4 4B,Stochastic,run_1,Other,False,191,1,0.005235602094240838
Gemma 4 4B,Stochastic,run_2,Mechanical,True,191,13,0.06806282722513089
Gemma 4 4B,Stochastic,run_2,Testimony,True,191,143,0.7486910994764397
Gemma 4 4B,Stochastic,run_2,SocialJudgment,True,191,110,0.5759162303664922
Gemma 4 4B,Stochastic,run_2,Behavioral,True,191,107,0.5602094240837696
Gemma 4 4B,Stochastic,run_2,ClaimComparison,True,191,31,0.16230366492146597
Gemma 4 4B,Stochastic,run_2,Payoff,True,191,136,0.7120418848167539
Gemma 4 4B,Stochastic,run_2,Uncertainty,True,191,88,0.4607329842931937
Gemma 4 4B,Stochastic,run_2,Other,False,191,0,0.0
Gemma 4 4B,Stochastic,run_3,Mechanical,True,191,12,0.06282722513089005
Gemma 4 4B,Stochastic,run_3,Testimony,True,191,141,0.7382198952879581
Gemma 4 4B,Stochastic,run_3,SocialJudgment,True,191,104,0.5445026178010471
Gemma 4 4B,Stochastic,run_3,Behavioral,True,191,108,0.5654450261780105
Gemma 4 4B,Stochastic,run_3,ClaimComparison,True,191,38,0.19895287958115182
Gemma 4 4B,Stochastic,run_3,Payoff,True,191,136,0.7120418848167539
