check,observed,expected,status
justifications,1144,1144,OK
unique justification ids,1144,1144,OK
duplicate justification ids,0,0,OK
games,191,191,OK
models,2,2,OK
runs,3,3,OK
justifications per model,"[571, 573]","[571, 573]",OK
justifications per model x run,"[189, 191]","[189, 191]",OK
"no duplicate (model, game, run) cell",1144,1144,OK
cells do not exceed the fully-crossed ceiling,True,True,OK
ragged cells accounted for,2,2,OK
sentences,4121,4121,OK
sentences match the input shards,4121,4121,OK
sentence count matches metadata n_sentences,0,0,OK
category assignments (labels),5134,5134,OK
labels use only frozen-schema categories,[],[],OK
empty-label sentences,323,descriptive,descriptive
max labels on one sentence,5,descriptive,descriptive
justifications with no substantive category,0,descriptive,descriptive
Other assignments,13,descriptive,descriptive
missing vote,0,0,OK
missing is_correct,0,0,OK
missing evidence_span,0,descriptive,descriptive
non-verbatim evidence spans,16,descriptive,descriptive
justifications carrying a validation flag,14,descriptive,descriptive
sentence texts repaired from source,1,descriptive,descriptive
