model,feature,representation,block,n_outer_models,selection_freq,positive_selection_freq,negative_selection_freq,median_nonzero_coef,median_selected_lambda
2B,accusation,count_overall,combined,25,0.2,0.0,0.2,-0.037304120357064215,10.0
2B,defense,count_overall,combined,25,1.0,1.0,0.0,0.11130020239150852,10.0
2B,interrogation,count_overall,combined,25,0.92,0.0,0.92,-0.06104798402894931,10.0
2B,evidence,count_overall,combined,25,0.6,0.0,0.6,-0.030258843572527797,10.0
2B,identity_declaration,count_overall,combined,25,0.96,0.0,0.96,-0.14271438684303012,10.0
2B,call_for_action,count_overall,combined,25,0.96,0.0,0.96,-0.08108068119401514,10.0
2B,werewolf_accusations_made,count_overall,combined,25,1.0,1.0,0.0,0.20364603326516956,10.0
2B,deception_accusations_made,count_overall,combined,25,0.48,0.2,0.28,-0.0033408987491418776,10.0
2B,werewolf_accusations_received,count_overall,combined,25,1.0,1.0,0.0,0.8315417181377275,10.0
2B,deception_accusations_received,count_overall,combined,25,0.2,0.08,0.12,-0.009673894236201326,10.0
2B,claims_werewolf,count_overall,combined,25,1.0,1.0,0.0,0.4819784694854133,10.0
2B,claims_tanner,count_overall,combined,25,0.28,0.28,0.0,0.01663612122168528,10.0
2B,claims_night_action_role,count_overall,combined,25,0.64,0.04,0.6,-0.03192312620988093,10.0
4B,accusation,count_overall,combined,25,0.2,0.12,0.08,0.026432301895263504,10.0
4B,defense,count_overall,combined,25,0.76,0.76,0.0,0.103143855753046,10.0
4B,interrogation,count_overall,combined,25,0.52,0.04,0.48,-0.01563647830854961,10.0
4B,evidence,count_overall,combined,25,0.52,0.04,0.48,-0.024938057852274802,10.0
4B,identity_declaration,count_overall,combined,25,0.52,0.0,0.52,-0.08867378027746453,10.0
4B,call_for_action,count_overall,combined,25,0.48,0.0,0.48,-0.029970549914545737,10.0
4B,werewolf_accusations_made,count_overall,combined,25,1.0,1.0,0.0,0.15111817830207305,10.0
4B,deception_accusations_made,count_overall,combined,25,1.0,0.0,1.0,-0.14381552945790665,10.0
4B,werewolf_accusations_received,count_overall,combined,25,1.0,1.0,0.0,0.626113129908698,10.0
4B,deception_accusations_received,count_overall,combined,25,1.0,1.0,0.0,0.16142085478976664,10.0
4B,claims_werewolf,count_overall,combined,25,1.0,1.0,0.0,0.7811908638073319,10.0
4B,claims_tanner,count_overall,combined,25,0.44,0.32,0.12,0.024446202567564784,10.0
4B,claims_night_action_role,count_overall,combined,25,0.32,0.16,0.16,0.0012150455361031407,10.0
31B,accusation,count_overall,combined,25,0.28,0.16,0.12,0.003694789221874267,10.0
31B,defense,count_overall,combined,25,0.8,0.8,0.0,0.0950500163261904,10.0
31B,interrogation,count_overall,combined,25,0.96,0.0,0.96,-0.06340427092603287,10.0
31B,evidence,count_overall,combined,25,0.72,0.0,0.72,-0.05779187079850265,10.0
31B,identity_declaration,count_overall,combined,25,0.48,0.08,0.4,-0.04525844429918233,10.0
31B,call_for_action,count_overall,combined,25,0.56,0.56,0.0,0.03814346657273639,10.0
31B,werewolf_accusations_made,count_overall,combined,25,1.0,1.0,0.0,0.17948411032264863,10.0
31B,deception_accusations_made,count_overall,combined,25,0.36,0.0,0.36,-0.0513284657438472,10.0
31B,werewolf_accusations_received,count_overall,combined,25,1.0,1.0,0.0,0.7524410096125252,10.0
31B,deception_accusations_received,count_overall,combined,25,1.0,1.0,0.0,0.20660427795257222,10.0
31B,claims_werewolf,count_overall,combined,25,1.0,1.0,0.0,0.21471062013502062,10.0
31B,claims_tanner,count_overall,combined,25,0.56,0.04,0.52,-0.006497669946053669,10.0
31B,claims_night_action_role,count_overall,combined,25,0.48,0.44,0.04,0.032440608327022565,10.0
